,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,123.91,139.36,165.96,157.22,127.72,107,107.01,92.54,197.08,147.07
1,Short-Term Investments,12,-,5,-,-,26.66,5.22,47.52,-,43.57
2,Trading Asset Securities,10.15,6.22,8.05,9.25,7.11,9.48,2.35,2.37,1.32,-
3,Cash & Short-Term Investments,146.05,145.59,179.01,166.47,134.83,143.14,114.58,142.42,198.41,190.65
4,Cash Growth,-18.41%,-12.54%,32.76%,16.30%,17.68%,0.51%,-42.25%,-25.30%,34.20%,71.28%
5,Accounts Receivable,169.64,240.57,178.21,206.36,174.82,111.29,143.66,103.26,52.33,40.03
6,Other Receivables,-,4.73,-,10.11,0.58,11.67,0.45,4.29,-,1.7
7,Receivables,169.64,245.3,178.21,216.47,175.4,122.96,144.1,107.55,52.33,41.73
8,Inventory,9.83,-,-,-,-,-,-,-,-,-
9,Prepaid Expenses,1.19,-,0.83,-,1.55,-,0.93,-,3.56,-
10,Other Current Assets,2.3,-,3.83,-,2.4,-,0.77,-,2.58,15.15
11,Total Current Assets,329.01,390.89,361.88,382.93,314.17,266.11,260.38,249.97,256.88,247.52
12,"Property, Plant & Equipment",5.92,2.92,3.61,3.97,4.18,4,5.03,4.77,4.77,4.23
13,Long-Term Deferred Tax Assets,0.24,0.43,0.25,0.05,0.21,0.13,0.19,0.28,0.28,0.31
14,Other Long-Term Assets,2.53,2.44,2.45,50.9,50.81,55.3,55.3,53.68,53.42,0.33
15,Total Assets,337.69,396.69,368.19,437.85,369.37,325.54,320.9,308.71,315.35,252.38
16,Accounts Payable,7.9,15.88,27.68,68.57,20.23,13.34,9.21,9.63,8.37,11.61
17,Accrued Expenses,23.59,23.28,26.38,27.26,25.88,8.28,11.73,17.71,26.84,6.54
18,Current Portion of Leases,3.64,2.72,2.29,2.29,2.05,1.07,1.9,0.76,1.14,1.13
19,Current Income Taxes Payable,0.35,4.48,2.75,1.94,0.28,0.01,5.4,1.24,5.85,0.53
20,Current Unearned Revenue,26.72,51.57,19.73,22.04,13.72,1.32,1.66,5.64,5.49,13.39
21,Other Current Liabilities,-,-,-,-,-,-,0.77,0.13,1.28,0.89
22,Total Current Liabilities,62.19,97.93,78.82,122.1,62.17,24.02,30.68,35.11,48.95,34.09
23,Long-Term Leases,2.19,0.18,0.18,0.36,0.45,1.12,1.12,0.19,0.53,0.07
24,Other Long-Term Liabilities,-,-,1.27,-,0.26,0.35,0.35,0.34,0.35,-
25,Total Liabilities,64.38,99.38,80.27,122.46,64.14,26.56,33.22,35.94,50.12,34.78
26,Common Stock,6.67,6.67,6.67,6.66,6.66,6.66,6.56,6.56,6.44,5.44
27,Additional Paid-In Capital,131.09,131.09,131.09,130.69,130.69,129.88,127.19,126.29,121.77,93.77
28,Retained Earnings,129.65,139.95,135.88,163.38,157.16,152.32,145.57,130.89,128.25,110.74
29,Comprehensive Income & Other,11,8.93,8.93,9.44,8.13,8.28,7.8,8.29,8.47,7.62
30,Total Common Equity,278.41,286.64,282.57,310.16,302.63,297.13,287.12,272.04,264.93,217.56
31,Minority Interest,-5.1,10.67,5.35,5.23,2.59,1.84,0.56,0.73,0.3,0.05
32,Shareholders' Equity,273.31,297.31,287.93,315.39,305.23,298.97,287.68,272.77,265.23,217.6
33,Total Liabilities & Equity,337.69,396.69,368.19,437.85,369.37,325.54,320.9,308.71,315.35,252.38
34,Total Debt,5.82,2.9,2.46,2.66,2.5,2.19,3.03,0.95,1.67,1.2
35,Net Cash (Debt),140.23,142.69,176.55,163.81,132.34,140.95,111.55,141.47,196.74,189.45
36,Net Cash Growth,-20.57%,-12.89%,33.41%,16.22%,18.63%,-0.36%,-43.30%,-25.32%,37.31%,70.20%
37,Net Cash Per Share,0.21,0.21,0.26,0.25,0.20,0.21,0.17,0.21,0.34,0.35
38,Filing Date Shares Outstanding,666.8,666.8,666.8,665.7,665.7,665.7,656.19,656.19,643.62,543.62
39,Total Common Shares Outstanding,666.8,666.8,666.8,665.7,665.7,665.7,656.19,656.19,643.62,543.62
40,Working Capital,266.81,292.96,283.06,260.84,252,242.09,229.7,214.87,207.93,213.43
41,Book Value Per Share,0.42,0.43,0.42,0.47,0.45,0.45,0.44,0.41,0.41,0.40
42,Tangible Book Value,278.41,286.64,282.57,310.16,302.63,297.13,287.12,272.04,264.93,217.56
43,Tangible Book Value Per Share,0.42,0.43,0.42,0.47,0.45,0.45,0.44,0.41,0.41,0.40
44,Land,-,-,-,-,-,-,0.16,-,3.11,-
45,Machinery,4.23,-,5.28,-,4.55,-,6.26,-,5.22,-
46,Leasehold Improvements,0.11,-,0.11,-,0.11,-,0.11,-,0.8,-
