,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,247,142,200,163,193,253,223,285,262,335,182
1,Market Cap Growth,-13.06%,-13.06%,3.62%,-35.42%,-13.43%,-11.38%,-15.04%,-14.71%,44.13%,6.15%,-33.87%
2,Enterprise Value,101,10,29,5,63,114,112,145,66,145,39
3,Last Close Price,0.37,0.21,0.30,0.24,0.29,0.38,0.34,0.43,0.40,0.52,0.34
4,PE Ratio,-,-,-8.43,-,17.46,21.82,10.56,16.80,12.85,14.29,9.07
5,PS Ratio,0.33,0.19,0.31,0.24,0.34,0.73,0.74,1.12,1.55,1.37,0.44
6,PB Ratio,0.89,0.52,0.67,0.57,0.61,0.83,0.75,0.99,0.96,1.26,0.84
7,P/TBV Ratio,0.51,0.51,0.70,0.58,0.62,0.84,0.75,0.99,0.96,1.26,0.84
8,P/FCF Ratio,-,-,-,-,7.73,-,-2.95,-,9.90,4.50,2.54
9,P/OCF Ratio,-,-,-,-,7.58,-,-2.95,-,9.28,4.46,2.50
10,EV/Sales Ratio,0.14,0.01,0.04,0.01,0.11,0.33,0.37,0.57,0.39,0.59,0.09
11,EV/EBITDA Ratio,-,-,-4.50,-,5.70,6.87,5.08,12.07,3.11,6.08,1.98
12,EV/EBIT Ratio,-,-,-3.89,-,6.12,7.23,5.27,12.88,3.21,6.24,2.04
13,EV/FCF Ratio,-2.59,-,-,-,2.54,-,-1.48,-,2.49,1.96,0.54
14,Debt / Equity Ratio,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01
15,Debt / FCF Ratio,-,-,-,-,0.11,-,-0.03,-,0.04,0.02,0.02
16,Return on Capital Employed (ROCE),-,-,-2.48%,-,3.28%,5.12%,7.05%,3.87%,7.52%,8.74%,8.71%
17,Earnings Yield,-2.56%,-4.44%,-11.86%,-13.21%,5.73%,4.58%,9.47%,5.95%,7.78%,7.00%,11.02%
18,FCF Yield,-15.85%,-27.54%,-30.69%,-0.47%,12.94%,8.79%,-33.94%,-32.38%,10.10%,22.20%,39.39%
19,Buyback Yield / Dilution,-0.09%,-0.02%,-0.17%,-0.32%,-1.00%,-3.15%,1.02%,-11.77%,-22.49%,-6.15%,-0.67%
20,Total Shareholder Return,-0.09%,-0.02%,-0.17%,-0.32%,-1.00%,-3.15%,1.02%,-11.77%,-22.49%,-6.15%,-0.67%
