,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,341.02,298.06,216.14,244.56,278.1,239.73,192.61,202.32,253.75,303.64,275.81,271.1,237.26,183.51,173.06
1,Other Revenue,-10.05,10.05,-,8.85,-3.86,3.86,-,9.21,-4.47,4.47,-,8.51,-3.67,-,1.83
2,Revenue,330.97,308.11,216.14,253.41,274.24,243.59,192.61,211.53,249.28,308.11,275.81,279.61,233.59,183.51,174.9
3,Revenue Growth (YoY),20.69%,26.49%,12.22%,19.80%,10.01%,-20.94%,-30.17%,-24.35%,6.72%,67.89%,57.70%,-,-,-,-
4,Cost of Revenue,274.38,255.15,171.5,205.97,219.59,192.07,146.32,171.33,198.08,264.03,226,233.69,175.29,137.77,132.26
5,Gross Profit,56.6,52.97,44.64,47.43,54.65,51.52,46.29,40.2,51.2,44.08,49.81,45.92,58.3,45.74,42.64
6,"Selling, General & Admin",21.47,18.42,19.71,22.13,18.82,19,17.93,18.28,16.13,16.19,14.46,8.34,17.79,17.77,16.82
7,Research & Development,9.37,8.42,5.7,6.5,7.12,6.31,6.76,7.01,7.37,6.65,5.91,11.18,6.16,4.62,4.36
8,Other Operating Expenses,0.92,0.84,0.74,0.84,0.69,-0.31,-3.73,5.18,-1.19,-0.67,0.37,5.89,-3.66,-2.87,0.84
9,Operating Expenses,32.37,29.29,26.77,29.18,28.2,28.46,19.8,28.13,20.59,22.43,22.37,28.51,23.8,19.37,22.39
10,Operating Income,24.23,23.68,17.88,18.25,26.45,23.06,26.49,12.06,30.62,21.65,27.44,17.41,34.5,26.38,20.24
11,Interest Expense,-0.13,-0.2,-0.01,-0.08,-0.11,-0.05,-0.05,-0.12,-1.04,-2.58,-1.3,-0.88,-0.64,-0.64,-0.55
12,Interest & Investment Income,1.63,5.47,3.53,4.24,3.44,5.37,3.34,2.34,0.28,-,0.79,0.03,0.06,0.12,0.09
13,Currency Exchange Gain (Loss),-0.07,0.07,-,0.37,-0.25,0.25,-,0.52,-0.23,0.23,-,-0.37,0.05,-,-0.02
14,Other Non Operating Income (Expenses),-0.02,-0.2,0.01,1.89,0.04,-0.76,-0.13,-1.22,-0.01,0.29,-0.35,0.23,-0.74,-0.34,-0.08
15,EBT Excluding Unusual Items,25.63,28.83,21.42,24.68,29.57,27.87,29.65,13.58,29.61,19.59,26.58,16.42,33.23,25.51,19.69
16,Gain (Loss) on Sale of Investments,0.45,-2.36,1.9,-,-0.28,-0.67,0.95,-0.04,-0.23,-1.96,-,-1.1,1.1,-,-
17,Gain (Loss) on Sale of Assets,0.42,-0,-,-0.54,0.38,-0,-0,1.3,-0.09,-0,-0,0.01,-0.01,-0.11,-0.05
18,Asset Writedown,-2.5,0.62,-0.63,0.99,-0.98,0.01,-0.05,0.32,-0.35,0.93,-1.13,1.14,-1.16,0.03,-0.01
19,Other Unusual Items,2.1,3.15,2.78,5.07,-0.55,0.55,-,5.28,-0,0,-,5.11,-3.87,-,1.93
20,Pretax Income,26.11,30.25,25.46,30.19,28.14,27.75,30.56,20.44,28.94,18.56,25.45,21.58,29.3,25.44,21.56
21,Income Tax Expense,2.53,2.37,3.85,5.42,2.79,2.8,3.46,1.08,4.56,2.37,2.68,1.8,3.77,3.75,3.05
22,Net Income,23.58,27.87,21.61,24.77,25.35,24.95,27.09,19.36,24.38,16.19,22.77,19.78,25.52,21.69,18.51
23,Net Income to Common,23.58,27.87,21.61,24.77,25.35,24.95,27.09,19.36,24.38,16.19,22.77,19.78,25.52,21.69,18.51
24,Net Income Growth,-6.95%,11.72%,-20.23%,27.95%,3.95%,54.08%,18.99%,-2.12%,-4.48%,-25.34%,23.03%,-,-,-,-
25,Shares Outstanding (Basic),85,85,85,85,85,85,85,21,128,64,63,64,64,64,64
26,Shares Outstanding (Diluted),85,85,85,85,85,85,85,21,128,64,63,64,64,64,64
27,Shares Change (YoY),-0.03%,0.47%,-0.86%,314.77%,-33.31%,32.16%,34.52%,-67.81%,100.73%,-0.23%,-0.62%,-,-,-,-
28,EPS (Basic),0.28,0.33,0.26,0.29,0.30,0.29,0.32,0.94,0.19,0.25,0.36,0.31,0.40,0.34,0.29
29,EPS (Diluted),0.28,0.33,0.26,0.29,0.30,0.29,0.32,0.94,0.19,0.25,0.36,0.31,0.40,0.34,0.29
