,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2749,2585,2553,2826,3425,3126,3510,3411,3410,3278,-,-,-,-,-,-
1,Market Cap Growth,-17.30%,-17.30%,-27.25%,-17.13%,0.45%,-4.65%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2161,1974,1835,2174,2773,2471,2809,2736,2736,3318,-,-,-,-,-,-
3,Last Close Price,32.33,30.40,30.03,32.25,39.08,35.67,40.05,38.44,38.43,36.94,-,-,-,-,-,-
4,PE Ratio,28.13,26.42,25.64,29.24,33.53,32.31,36.64,39.19,41.23,39.44,-,-,-,-,-,-
5,Forward PE,-,20.41,20.16,18.77,24.09,23.35,23.20,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.48,2.33,2.43,2.86,3.55,3.39,3.91,3.55,3.26,2.95,-,-,-,-,-,-
7,PB Ratio,2.44,2.29,2.32,2.44,3.02,2.82,3.24,3.10,3.18,3.04,-,-,-,-,-,-
8,P/TBV Ratio,2.34,2.34,2.33,2.46,3.03,2.83,3.26,3.12,3.20,3.06,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,56.66,65.37,-,-,32.70,44.87,57.52,-,-,-,-,-,-
10,P/OCF Ratio,68.61,-,-,50.46,59.61,-,31.96,31.68,42.22,53.18,-,-,-,-,-,-
11,EV/Sales Ratio,1.95,1.78,1.74,2.20,2.88,2.68,3.13,2.85,2.62,2.98,-,-,-,-,-,-
12,EV/EBITDA Ratio,25.78,22.03,19.94,23.75,27.63,26.17,28.51,28.14,27.87,32.06,-,-,-,-,-,-
13,EV/EBIT Ratio,27.61,23.50,21.27,25.39,29.42,28.06,30.46,30.13,29.81,34.16,-,-,-,-,-,-
14,EV/FCF Ratio,-4139.59,-,-,43.59,52.92,-,-,26.24,36.00,58.22,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.34,0.25,0.25,-,0.16,0.05
16,Debt / EBITDA Ratio,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.44,1.43,0.79,1.17,-,0.47,0.17
17,Debt / FCF Ratio,-,-,-,0.02,0.02,-,-,0.01,0.02,0.99,-,-14.50,-,-,14.84,-
18,Asset Turnover,1.02,0.97,0.67,0.80,0.90,0.81,0.63,0.68,1.00,-,-,-,-,-,-,
19,Inventory Turnover,9.23,10.02,11.59,9.65,10.57,11.67,11.22,8.07,10.22,11.05,-,-,-,-,-,-
20,Quick Ratio,5.51,5.51,6.97,8.40,7.66,8.36,10.39,8.65,7.63,5.85,1.70,-,1.69,-,1.93,-
21,Current Ratio,6.14,6.14,7.80,8.99,8.25,9.13,11.21,9.31,8.28,6.28,2.03,-,2.05,-,2.40,-
22,Return on Equity (ROE),8.46%,9.87%,7.54%,8.83%,9.24%,9.13%,9.97%,7.20%,13.16%,16.82%,24.93%,-,-,27.41%,-,
23,Return on Assets (ROA),4.69%,4.64%,3.47%,3.62%,5.45%,4.78%,5.43%,2.43%,7.68%,-,-,-,-,-,-,
24,Return on Capital (ROIC),5.42%,5.24%,3.90%,4.06%,6.02%,5.27%,6.09%,2.73%,9.14%,10.85%,15.01%,-,-,18.84%,-,
25,Return on Capital Employed (ROCE),6.92%,7.43%,7.80%,7.39%,8.28%,7.92%,8.49%,8.23%,8.53%,8.98%,24.66%,-,26.58%,-,14.26%,-
26,Earnings Yield,3.56%,3.78%,3.90%,3.42%,2.98%,3.10%,2.73%,2.55%,2.43%,2.54%,-,-,-,-,-,-
27,FCF Yield,-0.02%,-0.02%,0.98%,1.76%,1.53%,1.15%,2.97%,3.06%,2.23%,1.74%,-,-,-,-,-,-
28,Dividend Yield,2.93%,-,-,-,2.47%,-,-,-,1.26%,-,-,-,-,-,-,-
29,Payout Ratio,83.91%,-,294.52%,-,-,-,164.53%,-,1.43%,4.66%,8.49%,5.80%,4.19%,2.36%,104.75%,85.87%
30,Buyback Yield / Dilution,-23.52%,0.03%,-0.47%,0.86%,-314.77%,33.31%,-32.16%,-34.52%,67.81%,-100.73%,0.23%,0.62%,-,-,-,-
31,Total Shareholder Return,-20.58%,0.03%,-0.47%,0.86%,-312.30%,33.31%,-32.16%,-34.52%,69.06%,-100.73%,0.23%,0.62%,-,-,-,-
