,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,194.33,258.32,388.79,381.91,281.35,238.31,154.08,217.23,730.31,95.89,-,74.72,-,34.82,-
1,Trading Asset Securities,396.4,352.89,330.25,308.34,371.59,417.49,547.29,451.21,-,-,-,-,-,7,-
2,Cash & Short-Term Investments,590.74,611.21,719.04,690.25,652.94,655.8,701.37,668.44,730.31,95.89,74.72,74.72,-,41.82,48.73
3,Cash Growth,-9.53%,-6.80%,2.52%,3.26%,-10.59%,583.93%,838.69%,794.61%,-,129.30%,53.34%,-,-,-,-
4,Accounts Receivable,497.03,428.63,408.48,426.72,407.46,367.36,363.16,373.22,375.52,435.47,-,379.56,-,283.11,-
5,Other Receivables,4.05,0.49,5.6,0.14,1.76,1.61,1.15,0.25,1.62,1.57,-,3.33,-,1.13,-
6,Receivables,501.08,429.12,414.08,426.86,409.22,368.97,364.31,373.47,377.13,437.04,-,382.88,-,284.24,-
7,Inventory,112.79,106.2,69.96,72.21,83.72,66.79,70.1,74.98,59.15,84.31,-,83.96,-,64.96,-
8,Prepaid Expenses,-,-,-,0.43,-,-,-,-,-,3.62,-,3.51,-,4.02,-
9,Other Current Assets,11.97,16.99,9.57,13.15,14.54,13.92,10.51,12.91,20.63,16.41,-,9.32,-,11.34,-
10,Total Current Assets,1217,1164,1213,1203,1160,1105,1146,1130,1187,637.27,-,554.39,-,406.37,-
11,"Property, Plant & Equipment",57.81,56.42,48.42,48.42,49.06,50.26,51.25,52.61,53.34,53.73,-,61.79,-,64.96,-
12,Goodwill,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-,0.26,-,0.26,-
13,Other Intangible Assets,19.89,5.92,6,6.1,5.93,6.03,6.14,6.14,5.42,5.49,-,5.51,-,5.63,-
14,Long-Term Deferred Tax Assets,5.36,5.04,5.27,4.86,5.25,4.95,4.08,5.1,4.45,5.08,-,4.9,-,3.83,-
15,Long-Term Deferred Charges,9.35,2.25,2.02,2.22,1.66,1.92,1.73,1.97,2.35,2.82,-,2.46,-,2.79,-
16,Other Long-Term Assets,20.23,21.72,19.13,19.53,16.49,16.62,16.87,17,17.78,18.48,-,12.33,-,12.46,-
17,Total Assets,1329,1255,1294,1284,1239,1186,1227,1213,1271,723.14,-,641.64,-,496.32,-
18,Accounts Payable,124.55,83.69,69.06,70.4,57.18,39.19,60.6,75.1,63.58,159.89,-,118.64,-,101.36,-
19,Accrued Expenses,10.21,12.74,8.66,18.08,10.33,15.49,9.85,14.55,9,12.96,-,13.77,-,11.96,-
20,Short-Term Debt,-,-,-,-,-,-,-,-,54.5,133.89,-,89.51,-,49.36,-
21,Current Portion of Leases,1.17,0.47,0.47,0.5,0.58,0.6,0.52,1.04,-,-,-,0.92,-,-,-
22,Current Income Taxes Payable,7.62,1.47,8.86,4.04,6.68,2.28,5.42,1.18,10.25,2.54,-,2.5,-,3.48,-
23,Current Unearned Revenue,4,4.18,2.99,1.72,3.28,5.98,4.49,3.43,3.9,2.98,-,2.61,-,2.52,-
24,Other Current Liabilities,50.5,46.69,44.84,51.07,49.02,35.08,42.27,41.21,47.94,1.37,-,42.97,-,0.62,-
25,Total Current Liabilities,198.06,149.24,134.89,145.81,127.08,98.61,123.16,136.51,189.18,313.63,-,270.92,-,169.3,-
26,Long-Term Leases,1.49,0.34,0.37,0.49,0.22,0.35,0.5,0.5,1.64,1.85,-,1.4,-,2.78,-
27,Long-Term Unearned Revenue,2.13,2.87,2.08,2.31,1.75,1.89,2.03,2.19,2.37,2.84,-,4.05,-,4.42,-
28,Long-Term Deferred Tax Liabilities,0.66,0.18,0.19,0.23,0.24,0.22,0.33,0.48,-,-,-,-,-,-,-
29,Total Liabilities,202.35,152.62,137.53,148.84,129.29,101.08,126.02,139.67,193.2,318.32,-,276.36,-,176.5,-
30,Common Stock,85.03,85.03,58.64,58.64,58.64,58.64,58.64,58.64,58.64,43.98,-,43.98,-,43.98,-
31,Additional Paid-In Capital,647.95,647.12,672.95,672.95,672.95,672.95,672.95,672.95,696.77,63.31,-,63.31,-,63.31,-
32,Retained Earnings,389.1,365.51,419.74,398.13,373.32,347.97,364.07,337.02,317.65,293.23,-,254.26,-,209.09,-
33,Comprehensive Income & Other,5.05,4.85,4.89,5.74,4.85,4.89,4.95,4.6,4.57,4.3,-,3.73,-,3.44,-
34,Shareholders' Equity,1127,1103,1156,1135,1110,1084,1101,1073,1078,404.81,365.28,365.28,-,319.82,313.1
35,Total Liabilities & Equity,1329,1255,1294,1284,1239,1186,1227,1213,1271,723.14,-,641.64,-,496.32,-
36,Total Debt,2.66,0.81,0.84,0.99,0.8,0.95,1.02,1.54,56.14,135.75,91.83,91.83,-,52.14,15
37,Net Cash (Debt),588.07,610.4,718.2,689.26,652.13,654.85,700.36,666.9,674.17,-39.86,-17.11,-17.11,-,-10.32,33.73
38,Net Cash Growth,-9.82%,-6.79%,2.55%,3.35%,-3.27%,-,-,-,-,-,-,-,-,-,-
39,Net Cash Per Share,6.92,7.18,8.48,8.07,7.67,7.74,8.20,32.38,5.29,-0.62,-0.27,-0.27,-,-0.16,0.53
40,Filing Date Shares Outstanding,85.03,85.03,85.03,85.03,85.03,85.03,85.03,85.03,85.03,63.77,63.49,63.77,63.54,63.77,63.89
41,Total Common Shares Outstanding,85.03,85.03,85.03,85.03,85.03,85.03,85.03,85.03,85.03,63.77,63.49,63.77,63.54,63.77,63.89
42,Working Capital,1019,1014,1078,1057,1033,1007,1023,993.29,998.04,323.63,-,283.47,-,237.08,-
43,Book Value Per Share,13.26,12.97,13.60,13.35,13.05,12.75,12.94,12.62,12.67,6.35,5.73,5.73,-,5.02,4.91
44,Tangible Book Value,1107,1096,1150,1129,1104,1078,1094,1067,1072,399.06,359.5,359.5,-,313.93,307.06
45,Tangible Book Value Per Share,13.02,12.89,13.52,13.28,12.98,12.68,12.87,12.55,12.61,6.26,5.64,5.64,-,4.92,4.81
46,Buildings,-,79.17,-,69.65,-,69.65,-,69.65,-,69.65,-,76.19,-,76.19,-
47,Machinery,-,43.43,-,42.53,-,42.36,-,41.69,-,39.86,-,39.69,-,39.9,-
48,Construction In Progress,-,-,-,0.14,-,-,-,-,-,-,-,-,-,-,-
