,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,13657,11857,10141,10190,10001,14743,16599,22162,29683,25686,21529,27487,19985,28687,-,-,-,-
1,Market Cap Growth,-19.58%,-19.58%,-38.90%,-54.02%,-66.31%,-42.60%,-22.90%,-19.37%,48.53%,-10.46%,-,-,-,-,-,-,-,-
2,Enterprise Value,13097,11297,9598,9649,9494,14236,16077,21541,28728,24731,20549,26430,19947,28650,-,-,-,-
3,Last Close Price,34.07,29.58,25.30,25.42,24.95,36.78,41.41,55.39,74.19,64.20,53.81,68.70,49.95,71.70,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,654.14,2534.12,-1055.67,-,-,-,-,-
5,Forward PE,-,-,-,-,169.15,-,-,-,-,-,141.61,-,-,-,-,-,-,-
6,PS Ratio,20.95,18.19,16.78,16.60,15.26,21.04,19.82,23.83,30.56,24.65,21.96,31.48,25.40,42.28,-,-,-,-
7,PB Ratio,10.60,9.20,7.87,7.70,7.17,10.20,10.94,14.17,18.95,16.00,13.50,17.65,13.06,19.01,-,-,-,-
8,P/TBV Ratio,9.34,9.34,7.99,7.84,7.33,10.47,11.24,14.61,19.63,16.64,13.90,18.20,13.30,19.24,-,-,-,-
9,P/FCF Ratio,-,-,208.89,577.35,-,-59.25,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,120.55,210.22,-,-76.25,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,20.09,17.33,15.88,15.72,14.49,20.31,19.20,23.16,29.58,23.73,20.96,30.27,25.35,42.22,-,-,-,-
12,EV/EBITDA Ratio,-,-,-48.03,-,-,-,-,-,-,-,18279.81,-1411.32,-452.90,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-44.98,-,-,-,-,-,-,-,-3016.82,-1023.14,-397.34,-,-,-,-,-
14,EV/FCF Ratio,-,-,197.69,546.70,-,-57.21,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.04,0.09,0.09,0.07,0.01,0.00,0.01,0.01,0.01,0.04,-,-,-
16,Debt / EBITDA Ratio,-,-,0.54,-,-,-,-,-,-,-,0.09,0.13,0.21,-,2.08,-,-,-
17,Debt / FCF Ratio,-,-,0.45,1.39,-,-0.25,-,-,-,-,-,-,-,-,-,-,-,-
18,Asset Turnover,-,0.49,0.47,0.36,0.25,0.41,0.46,0.40,0.53,0.62,0.58,0.59,0.65,-,-,-,-,
19,Inventory Turnover,-,-,0.63,0.99,0.48,0.40,0.64,0.73,0.75,1.15,1.43,1.71,2.24,2.11,-,-,-,-
20,Quick Ratio,-,-,6.40,7.29,7.82,5.43,3.37,3.48,3.16,4.22,5.26,5.36,6.58,6.61,1.06,-,-,2.66
21,Current Ratio,-,-,11.62,13.50,16.02,11.39,6.75,6.97,6.12,7.34,8.02,7.50,8.70,8.29,2.68,-,-,4.07
22,Return on Equity (ROE),-14.75%,-10.96%,-19.57%,-15.68%,-16.03%,-14.93%,-7.49%,-12.87%,-0.45%,6.06%,5.19%,4.66%,-12.46%,-,-,7.14%,-,
23,Return on Assets (ROA),-,1.15%,-16.62%,-7.80%,-10.42%,-9.18%,-3.92%,-7.21%,-6.12%,2.71%,2.12%,1.76%,-11.95%,-,-,-,-,
24,Return on Capital (ROIC),-12.18%,1.26%,-17.90%,-8.40%,-11.35%,-10.05%,-4.35%,-8.25%,-7.03%,3.10%,2.41%,2.00%,-14.37%,-,-,4.21%,-,
25,Return on Capital Employed (ROCE),-,-,-16.15%,-,-,-,-,-,-,-,-0.42%,-1.64%,-3.23%,-,-31.78%,-,-,-
26,Earnings Yield,-1.50%,-1.73%,-2.14%,-2.35%,-2.02%,-1.34%,-0.84%,-0.26%,-0.03%,0.23%,0.15%,0.04%,-0.09%,-0.11%,-,-,-,-
27,FCF Yield,-,0.48%,0.17%,-0.82%,-1.69%,-2.63%,-2.03%,-1.44%,-1.34%,-1.31%,-1.16%,-1.31%,-0.77%,-,-,-,-,
28,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,3.31%,-,-,-
29,Buyback Yield / Dilution,-0.09%,0.07%,-0.01%,-0.25%,-0.15%,-0.19%,0.28%,1.03%,0.06%,48.10%,-14.83%,-15.11%,-14.36%,-122.17%,-,-,-,-
30,Total Shareholder Return,-0.09%,0.07%,-0.01%,-0.25%,-0.15%,-0.19%,0.28%,1.03%,0.06%,48.10%,-14.83%,-15.11%,-14.36%,-122.17%,-,-,-,-
