,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,155.59,180.26,173.99,141.98,106.77,189.15,216.1,187.53,240.38,282.43,256.67,258.22,181.51,174.03,171.37,149.99,44.58
1,Other Revenue,-,-1.48,1.48,-,1.24,-0.68,0.68,-,4.31,-1.37,1.37,-,1.62,-0.33,0.33,-,0.88
2,Revenue,155.59,178.78,175.47,141.98,108,188.47,216.78,187.53,244.69,281.06,258.03,258.22,183.13,173.7,171.7,149.99,45.46
3,Revenue Growth (YoY),44.06%,-5.14%,-19.06%,-24.29%,-55.86%,-32.94%,-15.99%,-27.38%,33.62%,61.81%,50.28%,72.15%,302.87%,-,-,-,-
4,Cost of Revenue,-342.67,94.56,160.83,87.28,78.54,126.49,133.62,117.54,152.3,163.24,158.93,165.14,120.21,111.84,107.84,93.74,37.48
5,Gross Profit,498.25,84.22,14.64,54.71,29.46,61.99,83.16,69.99,92.4,117.83,99.1,93.08,62.92,61.85,63.86,56.25,7.98
6,"Selling, General & Admin",-57.31,19.67,19.81,17.83,18.12,25.31,22.82,19.64,20.85,18.48,18.84,12.06,19.39,13.68,16.32,12.06,16.21
7,Research & Development,-285.43,94.24,92.99,98.2,70.11,105.01,101.04,106.21,94.87,88.13,76.38,71.13,78.22,60.84,60.48,42.95,34.72
8,Other Operating Expenses,904.57,-36.19,0.78,-11.82,13.8,-1.3,-11.15,-1.95,22.22,-8.51,-11.13,-2.03,19.37,-13.01,-2.15,-3.9,63.71
9,Operating Expenses,562.07,77.53,113.84,103.9,101.13,129.34,112.54,124.31,137.71,98.16,84.08,80.83,116.67,61.21,73.21,50.8,116.58
10,Operating Income,-63.81,6.69,-99.2,-49.2,-71.67,-67.35,-29.37,-54.32,-45.31,19.67,15.03,12.25,-53.75,0.65,-9.35,5.45,-108.6
11,Interest Expense,-7.22,-0.24,-0.27,-0.45,-1.58,-0.87,-0.88,-0.36,-0.19,-0.08,-0.13,-0.16,-0.23,-0.24,-0.2,-0.21,-
12,Interest & Investment Income,0.97,2.13,2.23,2.87,3.06,3.25,2.71,4.05,4.74,3.73,3.11,5.3,1.9,0.37,0.5,0.48,2.05
13,Currency Exchange Gain (Loss),-,0.18,-0.18,-,-3.63,3.58,-3.58,-,-3.98,0.56,-0.56,-,-0.23,0.63,-0.63,-,-3.26
14,Other Non Operating Income (Expenses),0.21,-0.54,0.51,-0.12,2.58,-2.79,3.17,-3.81,1.19,-1.41,-0.12,-0.15,0.9,-1.28,0.5,-0.13,-0.12
15,EBT Excluding Unusual Items,-69.86,8.21,-96.91,-46.9,-71.23,-64.18,-27.95,-54.45,-43.55,22.46,17.33,17.23,-51.41,0.13,-9.18,5.59,-109.93
16,Gain (Loss) on Sale of Investments,-1.66,0.72,0.44,0.49,0.58,0.7,1.16,0.84,1.26,1.77,3.05,0.09,0.03,0.01,0.01,0.18,-1.02
17,Gain (Loss) on Sale of Assets,-0.02,-,0.02,-,0,-0,0,0.05,-,-,-,-,0.06,0.55,-0.55,-,-
18,Asset Writedown,24.01,-24.01,9.3,-9.3,-5.97,5.97,-2.55,2.55,0.33,-0.33,-0.37,0.37,-1.67,1.12,-0.01,0.01,6.14
19,Other Unusual Items,-,-20.71,20.66,0.05,17.27,-0,0,-,40.18,-0.03,0.03,-,24.29,-,-,-,68.02
20,Pretax Income,-47.52,-35.79,-66.49,-55.66,-59.35,-57.5,-29.33,-51.01,-1.78,23.88,20.04,17.69,-28.7,1.81,-9.74,5.78,-36.79
21,Income Tax Expense,-,-,-,-,0.01,-0.01,-0,-,-,-,-,-,-,-,-,-,-
22,Net Income,-47.52,-35.79,-66.49,-55.66,-59.36,-57.49,-29.32,-51.01,-1.78,23.88,20.04,17.69,-28.7,1.81,-9.74,5.78,-36.79
23,Net Income to Common,-47.52,-35.79,-66.49,-55.66,-59.36,-57.49,-29.32,-51.01,-1.78,23.88,20.04,17.69,-28.7,1.81,-9.74,5.78,-36.79
24,Net Income Growth,-,-,-,-,-,-,-,-,-,1219.07%,-,206.34%,-,-,-,-,-
25,Shares Outstanding (Basic),401,401,401,401,401,401,400,400,400,400,400,400,771,350,351,350,347
26,Shares Outstanding (Diluted),401,401,401,401,401,401,400,400,400,402,404,400,771,350,351,350,347
27,Shares Change (YoY),-0.07%,0.01%,0.25%,0.15%,0.19%,-0.28%,-1.03%,-0.06%,-48.10%,14.83%,15.11%,14.36%,122.17%,-,-,-,-
28,EPS (Basic),-0.12,-0.09,-0.17,-0.14,-0.15,-0.14,-0.07,-0.13,-0.00,0.06,0.05,0.04,-0.04,0.01,-0.03,0.02,-0.11
29,EPS (Diluted),-0.12,-0.09,-0.17,-0.14,-0.15,-0.14,-0.07,-0.13,-0.00,0.06,0.05,0.04,-0.04,0.01,-0.03,0.02,-0.11
30,EPS Growth,-,-,-,-,-,-,-,-,-,1048.85%,-,167.88%,-,-,-,-,-
31,Free Cash Flow,-,13.91,1.56,-55.98,89.07,-16.99,-97.92,-223,-99.34,-30.18,-73.78,-141.72,-37.15,-65.24,-18.47,-100.82,46.39
32,Free Cash Flow Per Share,-,0.03,0.00,-0.14,0.22,-0.04,-0.24,-0.56,-0.25,-0.08,-0.18,-0.35,-0.05,-0.19,-0.05,-0.29,0.13
33,Gross Margin,320.24%,47.11%,8.34%,38.53%,27.28%,32.89%,38.36%,37.32%,37.76%,41.92%,38.41%,36.05%,34.36%,35.61%,37.19%,37.50%,17.55%
