,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,-,232.71,224.8,256.4,290.46,244.91,175,253.19,283.6,236.33,239.88,1049,1164,41.15,-,-,138.44
1,Trading Asset Securities,-,348.72,343.62,312.28,366.58,396.14,484.15,472.84,580.26,726.77,752.05,20.09,50.03,10.01,-,-,100.12
2,Cash & Short-Term Investments,581.44,581.44,568.42,568.69,657.04,641.05,659.15,726.04,863.86,963.11,991.93,1069,1214,51.16,-,238.56,238.56
3,Cash Growth,-11.51%,-9.30%,-13.77%,-21.67%,-23.94%,-33.44%,-33.55%,-32.09%,-28.83%,1782.48%,-,348.17%,408.83%,-,-,-,-
4,Accounts Receivable,-,146.56,152.83,109.01,43.59,189.76,192.61,180.91,141.35,164.78,218.13,177.52,92.47,124.45,-,-,27.1
5,Other Receivables,-,10.33,9.27,12.06,16.04,8.53,7.91,7.73,5.44,5.4,8.43,3.74,5.86,2.57,-,-,2.93
6,Receivables,-,156.89,162.09,121.06,59.62,198.29,200.52,188.63,146.79,170.18,226.55,181.26,98.33,127.02,-,-,30.03
7,Inventory,-,590.09,606.51,698.54,762.81,803.15,782.13,688,561.29,493.79,421.72,322.5,267.53,188.74,-,-,99.54
8,Prepaid Expenses,-,-,-,-,5.4,-,-,-,1.86,-,-,-,0.42,-,-,-,-
9,Other Current Assets,-,11.57,16.1,24.45,19.57,36.99,81.32,169.68,183.86,100.92,64.75,81.87,66.55,81.59,-,-,41.81
10,Total Current Assets,-,1340,1353,1413,1504,1679,1723,1772,1758,1728,1705,1655,1647,448.52,-,-,409.93
11,"Property, Plant & Equipment",-,58.37,62.53,56.24,60.96,64.51,75.52,56.84,48.65,36.21,36.96,45.56,44.97,39.23,-,-,25.39
12,Other Intangible Assets,-,19.11,24.32,29.58,36.83,40.34,47.28,54.59,61.91,45.51,47.47,28.11,18.02,16.1,-,-,5.34
13,Long-Term Deferred Charges,-,8.62,9.8,11.55,13.29,15.55,4.88,6.3,6.25,7.64,9.03,10.42,11.74,13.12,-,-,0.71
14,Other Long-Term Assets,-,10.69,10.65,14.43,14.41,9.7,9.15,0.14,1.3,10.86,7.63,6.4,8.16,2.55,-,-,1.46
15,Total Assets,-,1437,1460,1525,1630,1810,1860,1890,1876,1828,1806,1745,1730,519.51,-,-,442.83
16,Accounts Payable,-,50.99,41.35,30.07,12,45.56,74.6,134.08,149.74,145.37,163.39,142.87,124.57,107.19,-,-,43.73
17,Accrued Expenses,-,39.76,45.44,25.18,62.51,57.45,49.21,25.13,72.64,40.98,41.43,16.71,47.54,10.64,-,-,22.03
18,Short-Term Debt,-,-,-,-,30.73,100,100,84,-,-,-,-,-,7,-,-,-
19,Current Portion of Leases,-,11.38,11.2,11.75,11.76,12.08,12.11,7.26,6.41,6.72,8.34,8.95,8.87,-,-,-,-
20,Current Income Taxes Payable,-,2.55,-,3.7,-,4.26,-,6.37,-,1.73,-,6.31,-,3.67,-,-,-
21,Current Unearned Revenue,-,0.33,0.09,7.37,4.87,14.15,9.26,8.48,8.05,10.65,12.64,8.93,14.07,13.7,-,-,28.89
22,Other Current Liabilities,-,10.29,2.11,10.08,10.23,15.36,1.97,24.31,2.74,10.02,1.66,6.33,3.6,25.33,-,-,6.15
23,Total Current Liabilities,-,115.29,100.2,88.16,132.1,248.86,247.15,289.62,239.58,215.48,227.46,190.1,198.65,167.52,-,-,100.8
24,Long-Term Leases,-,10.27,13.29,16.06,18.92,21.78,24.69,14.51,10.08,0.89,2.86,3.11,5.21,6.6,-,-,-
25,Long-Term Unearned Revenue,-,23.03,23.18,25.43,33.64,21.94,23.5,19.44,20.99,17,18.36,21.4,16.85,12.33,-,-,18.43
26,Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.12,0.13,-,-,-,-,-,-,-,-,-,-
27,Total Liabilities,-,148.58,136.66,129.65,184.66,292.7,295.47,323.58,270.65,233.37,248.69,214.61,220.7,186.44,-,-,119.23
28,Common Stock,-,400.85,400.85,400.85,400.85,400.85,400.85,400.1,400.1,400.1,400.1,400.1,400.1,350,-,-,350
29,Additional Paid-In Capital,-,1256,1256,1260,1255,1267,1257,1231,1218,1206,1193,1186,1182,27.62,-,-,15.98
30,Retained Earnings,-,-368.75,-332.96,-266.47,-210.81,-151.58,-94.09,-64.63,-13.62,-11.84,-35.72,-55.76,-73.45,-44.75,-,-,-42.6
31,Comprehensive Income & Other,-,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.23,0.21,0.2,0.2,0.21,-,-,0.21
32,Shareholders' Equity,1288,1288,1324,1395,1445,1517,1564,1567,1605,1595,1557,1531,1509,333.07,-,323.59,323.59
33,Total Liabilities & Equity,-,1437,1460,1525,1630,1810,1860,1890,1876,1828,1806,1745,1730,519.51,-,-,442.83
34,Total Debt,21.65,21.65,24.49,27.81,61.4,133.86,136.79,105.77,16.49,7.61,11.2,12.06,14.08,13.6,-,-,-
35,Net Cash (Debt),559.79,559.79,543.93,540.88,595.64,507.19,522.36,620.27,847.37,955.5,980.73,1057,1200,37.57,-,238.56,238.56
36,Net Cash Growth,-6.02%,10.37%,4.13%,-12.80%,-29.71%,-46.92%,-46.74%,-41.32%,-29.37%,2443.57%,-,343.11%,402.93%,-,-,-,-
37,Net Cash Per Share,1.40,1.40,1.36,1.35,1.49,1.27,1.31,1.55,2.12,2.38,2.43,2.64,1.56,0.11,-,0.68,0.69
38,Filing Date Shares Outstanding,400.85,400.85,400.85,400.85,400.85,400.85,400.85,400.1,400.1,400.1,400.1,400.1,400.1,350,351.17,350.06,350
39,Total Common Shares Outstanding,400.85,400.85,400.85,400.85,400.85,400.85,400.85,400.1,400.1,400.1,400.1,400.1,400.1,350,351.17,350.06,350
40,Working Capital,-,1225,1253,1325,1372,1431,1476,1483,1518,1513,1477,1465,1448,281,-,-,309.13
41,Book Value Per Share,3.21,3.21,3.30,3.48,3.61,3.78,3.90,3.92,4.01,3.99,3.89,3.83,3.77,0.95,-,0.92,0.92
42,Tangible Book Value,1269,1269,1299,1365,1408,1477,1517,1512,1543,1549,1510,1503,1491,316.97,-,318.25,318.25
43,Tangible Book Value Per Share,3.17,3.17,3.24,3.41,3.51,3.68,3.78,3.78,3.86,3.87,3.77,3.76,3.73,0.91,-,0.91,0.91
44,Machinery,-,-,82.75,-,67.67,-,62.06,-,55.09,-,46.68,-,40.83,-,-,-,24.39
45,Construction In Progress,-,-,0.32,-,0.19,-,7.24,-,0.8,-,-,-,4.8,-,-,-,7.99
