,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,662.73,763.24,857.85,862.01,913.47,172.75,-,105.84,-,-,-,60.94,60.94
1,Trading Asset Securities,83.53,70,-,-,-,-,-,-,-,-,-,50,50
2,Cash & Short-Term Investments,746.26,833.24,857.85,862.01,913.47,172.75,105.84,105.84,-,-,99.66,110.94,110.94
3,Cash Growth,-18.30%,382.35%,710.49%,714.42%,-,-,6.21%,-4.59%,-,-,-,-,-
4,Accounts Receivable,470.71,474.83,443.96,467.72,408.9,385.97,-,401.48,-,-,-,304.23,304.23
5,Other Receivables,2.82,4.7,5.34,8.34,3.41,2.99,-,3.04,-,-,-,2.8,2.8
6,Receivables,473.53,479.53,449.3,476.06,412.31,388.96,-,404.52,-,-,-,307.03,307.03
7,Inventory,145.11,144.62,149.46,127.37,139.68,110.56,-,106.41,-,-,-,105.56,105.56
8,Restricted Cash,-,-,-,-,-,-,-,-,-,-,-,65.41,65.41
9,Other Current Assets,5.41,2.1,25.85,7.52,6.22,9.47,-,12.07,-,-,-,19.74,19.74
10,Total Current Assets,1370,1459,1482,1473,1472,681.74,-,628.84,-,-,-,608.68,608.68
11,"Property, Plant & Equipment",434.64,438.58,414.6,426.17,438.45,461.3,-,472.34,-,-,-,391.26,391.26
12,Long-Term Investments,1.88,1.17,1.52,1.52,1.5,1,-,0.47,-,-,-,0.37,0.37
13,Other Intangible Assets,6.33,6.43,6.52,6.61,6.71,6.81,-,7.02,-,-,-,7.53,7.53
14,Long-Term Deferred Tax Assets,6.73,7.14,3.88,3.84,5.51,5.3,-,4.53,-,-,-,3.43,3.43
15,Other Long-Term Assets,54.44,32.99,54.53,6.17,10.85,9.84,-,8.04,-,-,-,112.57,112.57
16,Total Assets,1874,1946,1963,1917,1935,1166,-,1121,-,-,-,1124,1124
17,Accounts Payable,306,305.02,301.16,296.05,277.59,308.09,-,300.41,-,-,-,361.28,361.28
18,Accrued Expenses,9.77,11.14,10.53,11.84,8.33,9.8,-,13.86,-,-,-,14.01,14.01
19,Short-Term Debt,30.02,30.02,50.05,-,15.01,15.01,-,21.02,-,-,-,54.73,54.73
20,Current Portion of Long-Term Debt,-,9.73,9.7,15.73,36.37,27.25,-,1.26,-,-,-,-,-
21,Current Income Taxes Payable,3.69,-,0.57,1.22,0.58,-,-,-,-,-,-,2.08,2.08
22,Current Unearned Revenue,1.44,0.82,0.75,0.81,0.44,0.65,-,1.34,-,-,-,1.43,1.43
23,Other Current Liabilities,0.86,56.87,0.87,0.98,0.78,0.83,-,1,-,-,-,2.42,2.42
24,Total Current Liabilities,351.79,413.6,373.64,326.63,339.11,361.63,-,338.88,-,-,-,435.96,435.96
25,Long-Term Debt,-,19.72,19.68,10.9,16.9,23.95,-,44.62,-,-,-,-,-
26,Long-Term Unearned Revenue,10.87,8.74,10.89,12.15,17.28,11.77,-,9.26,-,-,-,9.1,9.1
27,Long-Term Deferred Tax Liabilities,-,-,-,-,3.42,2.96,-,3.26,-,-,-,0.03,0.03
28,Total Liabilities,362.66,442.06,404.21,349.68,376.7,400.32,-,396.02,-,-,-,445.09,445.09
29,Common Stock,200,200,200,200,200,150,-,150,-,-,-,150,150
30,Additional Paid-In Capital,1000,1000,1000,1000,1000,266.35,-,266.35,-,-,-,266.35,266.35
31,Retained Earnings,311.32,303.39,358.92,367.23,357.63,349.31,-,308.86,-,-,-,262.41,262.41
32,Shareholders' Equity,1512,1504,1559,1568,1558,765.67,725.22,725.22,-,-,653.79,678.77,678.77
33,Total Liabilities & Equity,1874,1946,1963,1917,1935,1166,-,1121,-,-,-,1124,1124
34,Total Debt,30.02,59.47,79.44,26.63,68.28,66.22,66.89,66.89,-,-,50.83,54.73,54.73
35,Net Cash (Debt),716.24,773.77,778.41,835.38,845.19,106.53,38.95,38.95,-,-,48.82,56.21,56.21
36,Net Cash Growth,-15.26%,626.35%,1898.51%,2044.76%,-,-,-20.23%,-30.70%,-,-,-,-,-
37,Net Cash Per Share,4.33,4.03,3.75,4.28,4.90,0.68,0.27,0.27,-,-,-,0.37,0.37
38,Filing Date Shares Outstanding,200,200,200,200,200,150,200,150,149.87,-,-,150,150
39,Total Common Shares Outstanding,200,200,200,200,200,150,150,150,149.87,-,-,150,150
40,Working Capital,1019,1046,1109,1146,1133,320.1,-,289.96,-,-,-,172.72,172.72
41,Book Value Per Share,7.56,7.52,7.80,7.84,7.79,5.10,4.83,4.83,-,-,4.40,4.53,4.53
42,Tangible Book Value,1505,1497,1553,1561,1551,758.85,718.2,718.2,-,-,646.31,671.23,671.23
43,Tangible Book Value Per Share,7.53,7.49,7.76,7.80,7.76,5.06,4.79,4.79,-,-,4.35,4.47,4.47
44,Buildings,-,152.85,-,152.85,-,88.01,-,88.01,-,-,-,84.9,84.9
45,Machinery,-,951.78,-,945.7,-,915.29,-,918.66,-,-,-,717.56,717.56
46,Construction In Progress,-,73.46,-,16.28,-,105.14,-,69.74,-,-,-,62.89,62.89
