,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,186.48,180.79,137.78,197.66,161.41,193.42,174.77,184.73,192.63,208.05,156.28,179.83,179.83
1,Other Revenue,-4.45,4.45,-,9.32,-4.65,4.65,-,9.95,-5.67,5.67,-,-,-
2,Revenue,182.03,185.23,137.78,206.98,156.76,198.07,174.77,194.68,186.96,213.72,156.28,179.83,179.83
3,Revenue Growth (YoY),16.12%,-6.48%,-21.17%,6.32%,-16.15%,-7.32%,11.83%,8.26%,3.97%,-,-,-,-
4,Cost of Revenue,154.27,177.68,138.44,205.77,133.37,158.58,136.3,158.8,143.69,156.19,145,135.57,135.57
5,Gross Profit,27.76,7.55,-0.67,1.21,23.39,39.48,38.47,35.87,43.27,57.52,11.28,44.26,44.26
6,"Selling, General & Admin",8.52,8.99,7.96,8.94,9.43,7.17,8.7,11.06,7.69,12.05,-,11.39,11.39
7,Research & Development,7.22,7.16,6.66,5.98,4.62,8.66,10.15,13.31,9.73,16.67,-,8.17,8.17
8,Other Operating Expenses,-1,-1.52,-1.74,-5.29,-3.57,-1.79,-1.47,2.05,-0.33,-0.92,-,0.92,0.92
9,Operating Expenses,18.64,12.81,11.57,8.7,12.19,14.76,17.3,29.19,17.83,28.34,-,20.48,20.48
10,Operating Income,9.12,-5.26,-12.24,-7.49,11.2,24.73,21.17,6.68,25.44,29.18,11.28,23.78,23.78
11,Interest Expense,-0.41,-0.4,-,-0.27,-0.34,-0.52,-0.64,-0.52,-0.42,-1.16,-,-0.5,-0.5
12,Interest & Investment Income,4.15,4.05,4.98,5.4,1.01,0.39,0.49,0.32,0.4,0.97,-,0.68,0.68
13,Currency Exchange Gain (Loss),-0.27,0.27,-,0.19,-0.21,0.21,-,0.75,-0.5,0.5,-,-0.57,-0.57
14,Other Non Operating Income (Expenses),-0.01,-0.04,0.09,-0.7,0.21,-0.04,-0.12,-0.97,0.87,-0.29,-,-0.1,-0.1
15,EBT Excluding Unusual Items,12.59,-1.38,-7.18,-2.86,11.87,24.76,20.9,6.27,25.8,29.19,11.28,23.28,23.28
16,Gain (Loss) on Sale of Investments,0.12,-0.12,-,0.02,0,-0.03,-0.14,-,-,-,-,-0.01,-0.01
17,Gain (Loss) on Sale of Assets,1.75,-0.01,-0.02,5.52,-,0.01,-0.26,1.05,-0,0.02,-,-0.06,-0.06
18,Asset Writedown,-9.79,1.19,-1.19,4.39,-4.39,3.4,-3.4,4.39,-4.39,-0.01,-,-1.09,-1.09
19,Other Unusual Items,3.67,-2.58,0.04,4.91,1.04,-1.04,-,1.4,-,-1.53,1.53,1.68,1.68
20,Pretax Income,8.34,-2.9,-8.35,11.97,8.53,27.1,17.1,13.11,21.41,27.67,12.81,23.8,23.8
21,Income Tax Expense,0.41,-3.37,-0.04,2.38,0.2,2.42,1.34,-2.9,1.92,3.58,0.97,2.68,2.68
22,Net Income,7.93,0.47,-8.31,9.6,8.32,24.69,15.76,16.01,19.48,24.09,11.84,21.12,21.12
23,Net Income to Common,7.93,0.47,-8.31,9.6,8.32,24.69,15.76,16.01,19.48,24.09,11.84,21.12,21.12
24,Net Income Growth,-4.70%,-98.10%,-,-40.05%,-57.28%,2.48%,33.10%,-24.22%,-7.77%,-,-,-,-
25,Shares Outstanding (Basic),165,192,208,195,172,156,143,146,150,-,-,151,151
26,Shares Outstanding (Diluted),165,192,208,195,172,156,143,146,150,-,-,151,151
27,Shares Change (YoY),-4.04%,22.95%,44.91%,33.72%,15.00%,-,-,-3.31%,-0.67%,-,-,-,-
28,EPS (Basic),0.05,0.00,-0.04,0.05,0.05,0.16,0.11,0.11,0.13,-,-,0.14,0.14
29,EPS (Diluted),0.05,0.00,-0.04,0.05,0.05,0.16,0.11,0.11,0.13,-,-,0.14,0.14
30,EPS Growth,-0.68%,-98.46%,-,-55.17%,-62.86%,-,-,-21.62%,-7.15%,-,-,-,-
31,Free Cash Flow,-1.3,0.09,-44.58,-8.59,-39.4,10.71,36.03,-26.16,-13.74,-,-,-32.69,-32.69
32,Free Cash Flow Per Share,-0.01,0.00,-0.21,-0.04,-0.23,0.07,0.25,-0.18,-0.09,-,-,-0.22,-0.22
33,Dividend Per Share,-,-,-,0.280,-,-,-,-,-,-,-,0.200,0.200
34,Gross Margin,15.25%,4.08%,-0.48%,0.58%,14.92%,19.93%,22.01%,18.43%,23.14%,26.92%,7.22%,24.61%,24.61%
35,Operating Margin,5.01%,-2.84%,-8.89%,-3.62%,7.15%,12.48%,12.11%,3.43%,13.61%,13.65%,7.22%,13.22%,13.22%
36,Profit Margin,4.36%,0.25%,-6.03%,4.64%,5.31%,12.46%,9.02%,8.22%,10.42%,11.27%,7.58%,11.75%,11.75%
37,Free Cash Flow Margin,-0.72%,0.05%,-32.36%,-4.15%,-25.13%,5.41%,20.61%,-13.44%,-7.35%,-,-,-18.18%,-18.18%
38,EBITDA,35.66,20.7,14.29,19.04,36.39,51.75,46.35,31.87,45.93,54.76,31.77,41.97,41.97
39,EBITDA Margin,19.59%,11.17%,10.37%,9.20%,23.21%,26.13%,26.52%,16.37%,24.57%,25.62%,20.33%,23.34%,23.34%
