,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4850,5520,6078,6682,9278,8988,-,-,-,-,-,-,-,-
1,Market Cap Growth,-38.58%,-38.58%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4134,4746,5300,5837,8433,8881,-,-,-,-,-,-,-,-
3,Last Close Price,24.25,27.60,30.00,32.98,45.80,44.36,-,-,-,-,-,-,-,-
4,PE Ratio,500.49,569.63,602.88,-,158.95,138.75,-,-,-,-,-,-,-,-
5,PS Ratio,6.47,7.75,8.85,9.55,12.60,12.41,-,-,-,-,-,-,-,-
6,PB Ratio,3.21,3.65,4.04,4.29,5.92,5.77,-,-,-,-,-,-,-,-
7,P/TBV Ratio,3.67,3.67,4.06,4.30,5.94,5.79,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-65.73,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,87.64,87.64,570.90,222.14,100.19,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.81,6.67,7.72,8.34,11.45,12.26,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,47.69,52.92,58.61,48.05,54.93,53.39,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-299.13,-,-,-,139.25,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-76.02,-,-57.31,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.04,0.05,0.02,0.04,0.09,0.09,0.09,-,-,0.08,0.08,0.08
15,Debt / EBITDA Ratio,0.35,0.21,0.72,1.39,0.35,0.47,0.32,0.36,0.52,-,-,0.40,0.33,0.33
16,Debt / FCF Ratio,-,-,-0.64,-,-,-,9.67,-17.30,-,-,-,-,-,-
17,Asset Turnover,0.38,0.38,0.28,0.43,0.40,-,-,-,-,-,-,0.64,-,
18,Inventory Turnover,4.75,4.26,4.83,4.00,6.16,4.26,-,-,-,-,-,-,5.14,-
19,Quick Ratio,3.47,3.47,3.17,3.50,4.10,3.91,1.55,-,1.51,-,-,-,0.96,0.96
20,Current Ratio,3.90,3.90,3.53,3.97,4.51,4.34,1.89,-,1.86,-,-,-,1.40,1.40
21,Return on Equity (ROE),2.10%,0.12%,-2.12%,2.46%,2.87%,13.25%,8.69%,-,-,-,-,12.45%,-,
22,Return on Assets (ROA),1.19%,-0.67%,-1.58%,-0.97%,1.81%,-,-,-,-,-,-,5.29%,-,
23,Return on Capital (ROIC),1.47%,-0.82%,-1.89%,-1.16%,2.28%,7.61%,6.68%,-,-,-,-,8.10%,-,
24,Return on Capital Employed (ROCE),-,-1.04%,-,-,-,4.00%,9.70%,-,9.28%,-,-,-,6.91%,3.46%
25,Earnings Yield,0.20%,0.18%,0.17%,0.51%,0.63%,0.72%,-,-,-,-,-,-,-,-
26,FCF Yield,-1.12%,-0.99%,-1.52%,-1.22%,-0.01%,-0.21%,-,-,-,-,-,-,-,-
27,Dividend Yield,1.12%,-,-,-,0.61%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,600.60%,711.58%,135.22%,-,9.04%,1.43%,2.12%,4.09%,3.16%,2.69%,-,-,2.36%,2.36%
29,Buyback Yield / Dilution,-23.06%,4.04%,-22.95%,-44.91%,-33.72%,-15.00%,-,-,3.31%,0.67%,-,-,-,-
30,Total Shareholder Return,-21.93%,4.04%,-22.95%,-44.91%,-33.11%,-15.00%,-,-,3.31%,0.67%,-,-,-,-
