,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,506,470,498,608,531,571,478,462,514,365,-
1,Market Cap Growth,-22.67%,-22.67%,-6.11%,6.38%,11.02%,23.68%,-7.09%,26.67%,-,-,-
2,Enterprise Value,356,285,260,363,357,417,309,266,338,300,-
3,Last Close Price,1.25,1.08,1.15,1.35,1.11,1.20,1.00,0.97,1.08,0.73,-
4,PE Ratio,5.81,5.39,7.46,8.97,8.92,9.01,7.95,7.41,10.60,13.54,-
5,PS Ratio,0.56,0.52,0.56,0.86,0.65,0.65,0.62,0.69,0.92,0.75,-
6,PB Ratio,0.95,0.88,1.01,1.30,1.10,1.23,1.04,1.13,1.33,1.07,-
7,P/TBV Ratio,0.89,0.89,1.03,1.31,1.11,1.25,1.05,1.14,1.35,1.09,-
8,P/FCF Ratio,18.33,17.01,-,10.63,4.90,17.93,-,-,17.48,-,-
9,P/OCF Ratio,2.97,2.97,6.00,6.95,4.10,11.00,-,-,12.07,-,-
10,EV/Sales Ratio,0.40,0.32,0.29,0.51,0.44,0.47,0.40,0.40,0.60,0.61,-
11,EV/EBITDA Ratio,4.08,3.42,2.97,5.35,5.22,5.32,4.04,3.93,5.12,3.95,-
12,EV/EBIT Ratio,5.70,4.57,3.74,6.23,6.44,6.19,4.75,4.61,5.99,4.34,-
13,EV/FCF Ratio,12.89,10.33,-,6.35,3.29,13.10,-,-,11.47,-,-
14,Debt / Equity Ratio,0.36,0.36,0.26,0.32,0.32,0.32,0.22,0.01,0.02,0.02,0.05
15,Debt / FCF Ratio,6.91,6.91,-,2.65,1.42,4.58,-,-,0.24,-,5.94
16,Return on Capital Employed (ROCE),11.64%,11.64%,13.35%,12.43%,11.47%,14.58%,14.14%,14.01%,14.49%,20.07%,35.87%
17,Earnings Yield,17.20%,18.54%,13.41%,11.14%,11.21%,11.10%,12.58%,13.49%,9.43%,7.39%,-
18,FCF Yield,5.46%,5.88%,-1.73%,9.41%,20.40%,5.58%,-11.84%,10.21%,5.72%,-0.42%,-
19,Dividend Yield,18.40%,8.30%,-,-,-,-,-,-,-,-,-
20,Buyback Yield / Dilution,-,-,-,-,-,0.01%,-2.33%,-35.03%,-31.94%,-,
21,Total Shareholder Return,18.40%,8.30%,-,-,-,-,0.01%,-2.33%,-35.03%,-31.94%,-
