,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,42062,40918,44823,55420,28130,26762,27950,32882,32448,36002,35698,36765,29854,33235,29017,31769,29143,31646,37145,37844,Upgrade
1,Cash & Short-Term Investments,42062,40918,44823,55420,28130,26762,27950,32882,32448,36002,35698,36765,29854,33235,29017,31769,29143,31646,37145,37844,Upgrade
2,Cash Growth,49.53%,52.90%,60.37%,68.54%,-13.31%,-25.66%,-21.71%,-10.56%,8.69%,8.32%,23.03%,15.73%,2.44%,5.02%,-21.88%,-16.05%,-14.55%,-26.66%,-21.30%,5.24%,Upgrade
3,Accounts Receivable,2016015,1457753,1525424,1453301,1412897,1384001,1398352,1309702,1349783,1351076,1402701,1398635,1384817,1348494,1347410,1325344,1271136,1200794,1349011,1265753,Upgrade
4,Other Receivables,451553,423510,434516,1016919,424102,423623,422676,421606,415102,413847,413552,413373,413204,245444,240890,211672,221720,436075,570712,648520,Upgrade
5,Receivables,2572776,2309558,2366060,2878739,2229167,2182009,2148266,2056862,2075416,2076809,2106364,2160359,2028498,1980531,1972933,1917921,1865278,2032821,2165759,2121011,Upgrade
6,Inventory,1346964,1341739,1301843,1390836,590811,544041,554164,569952,571031,576567,601179,589099,580064,524151,526625,531262,517823,536381,540880,593656,Upgrade
7,Prepaid Expenses,-,90,171.8,744.92,190.36,436.25,209.24,405.33,176.06,7.27,-,-,5.9,11.81,17.71,9.24,19.7,78.04,237.93,402.59,Upgrade
8,Other Current Assets,2079312,2065233,1996237,1955950,736298,854217,851530,869566,844441,871011,862321,867964,865479,1091759,1079595,1047101,1038184,1784363,1808365,1738057,Upgrade
9,Total Current Assets,6041115,5757538,5709134,6281690,3584597,3607465,3582120,3529667,3523512,3560395,3605562,3654188,3503901,3629688,3608188,3528063,3450448,4385288,4552387,4490970,Upgrade
10,"Property, Plant & Equipment",3201,3328,3456,3048,3182,3316,3451,3585,3719,3001,3135,3269,3406,3543,3681,3847,4170,4803,5368,19891,Upgrade
11,Long-Term Investments,2377363,2376922,2376925,2369196,2369080,2369080,2369080,2369080,2369080,2369080,2369080,4481945,4481945,2114943,2114943,2114943,2114943,1120740,112740,112740,Upgrade
12,Other Intangible Assets,289.18,321.63,354.08,386.53,418.98,451.43,483.88,516.33,548.78,581.23,613.67,646.12,678.57,711.02,743.47,775.92,808.37,840.82,873.27,905.72,Upgrade
13,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,677711,677711,Upgrade
14,Long-Term Deferred Tax Assets,246.19,246.19,246.19,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,Upgrade
15,Other Long-Term Assets,1702846,2305814,2279222,1699934,1335714,1335548,1335459,1335529,1335599,1335500,1335498,1335500,1335231,1398219,1398192,1398199,1398206,1388412,1388419,1388429,Upgrade
16,Total Assets,10136659,10455936,10384310,10368174,7299435,7321955,7294682,7242943,7236860,7270164,7315496,9477155,9326769,7148711,7127354,7047435,6970182,6901691,6739105,6692254,Upgrade
17,Accounts Payable,179703,180408,208379,218674,224785,170045,151502,134704,134405,133420,121888,98961,109602,86700,89352,84696,84445,79842,77102,73614,Upgrade
18,Accrued Expenses,689489,775756,836304,1068892,778235,780320,807964,707231,712950,736125,805058,717966,707544,720904,704315,627389,565150,525648,466334,374180,Upgrade
19,Short-Term Debt,529943,988044,992433,878491,581760,616653,579187,566369,588001,552327,544075,1936029,1857294,13111,388037,379487,551799,400604,504428,335963,Upgrade
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,300557,300734,310691,310691,141285,135376,148578,Upgrade
21,Current Income Taxes Payable,7949,6409,3942,2955,71337,71445,72008,71806,71443,69446,69016,65592,64327,63014,62743,61846,61500,63673,63830,61695,Upgrade
22,Current Unearned Revenue,3419,5507,5507,4194,4494,4194,9296,-,4494,551805,4194,4194,4594,531404,530150,525806,540121,491378,462160,505228,Upgrade
23,Other Current Liabilities,1916244,1096306,1076776,1021178,957994,1010471,1107343,1181757,1159053,678232,1220060,1112384,1041654,1057047,675699,679517,472397,641362,469800,616250,Upgrade
24,Total Current Liabilities,3326749,3052429,3123340,3194383,2618606,2653128,2727300,2661868,2670346,2721354,2764292,3935126,3785016,2772738,2751029,2669432,2586103,2343792,2179031,2115509,Upgrade
25,Long-Term Debt,1277342,1911379,1786967,1716937,316340,306017,205773,213729,207126,192290,195454,1196424,1201161,36463,37812,40486,47613,222571,225873,246232,Upgrade
26,Long-Term Unearned Revenue,107779,73289,66348,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
27,Other Long-Term Liabilities,-,-,-,67060,-,-,-,6944,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Total Liabilities,4711870,5037096,4976656,4978381,2934946,2959145,2933074,2882541,2877472,2913644,2959746,5131550,4986177,2809201,2788841,2709918,2633716,2566364,2404904,2361740,Upgrade
29,Common Stock,5766000,5766000,5766000,5766000,4766000,4766000,4766000,4766000,4766000,4766000,4766000,4766000,4766000,4766000,4766000,4766000,4766000,4766000,4766000,4766000,Upgrade
30,Retained Earnings,100923,94987,83804,65945,60700,59021,57819,56613,55599,52731,51961,41816,36803,35721,34724,59991,58939,57801,56674,96013,Upgrade
31,Treasury Stock,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,-7.26,Upgrade
32,Comprehensive Income & Other,-462204,-462204,-462204,-462204,-462204,-462204,-462204,-462204,-462204,-462204,-462204,-462204,-462204,-462204,-462204,-488467,-488467,-488467,-488467,-531493,Upgrade
33,Total Common Equity,5404712,5398776,5387593,5369734,4364489,4362810,4361608,4360402,4359388,4356520,4355750,4345605,4340592,4339510,4338513,4337517,4336465,4335327,4334201,4330513,Upgrade
34,Minority Interest,20076,20064,20061,20059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
35,Shareholders' Equity,5424789,5418840,5407654,5389793,4364489,4362810,4361608,4360402,4359388,4356520,4355750,4345605,4340592,4339510,4338513,4337517,4336465,4335327,4334201,4330513,Upgrade
36,Total Liabilities & Equity,10136659,10455936,10384310,10368174,7299435,7321955,7294682,7242943,7236860,7270164,7315496,9477155,9326769,7148711,7127354,7047435,6970182,6901691,6739105,6692254,Upgrade
37,Total Debt,1807285,2899423,2779400,2595428,898101,922670,784961,780098,795127,744617,739529,3132453,3058455,350132,726583,730664,910104,764461,865678,730773,Upgrade
38,Net Cash (Debt),-1765223,-2858505,-2734577,-2540007,-869970,-895908,-757011,-747216,-762679,-708615,-703831,-3095688,-3028601,-316896,-697566,-698895,-880961,-732815,-828533,-692929,Upgrade
39,Net Cash Per Share,-3061.44,-4957.52,-4742.60,-4405.15,-1825.37,-1879.79,-1588.36,-1567.81,-1600.25,-1486.82,-1476.78,-6495.37,-6354.61,-664.91,-1463.63,-1466.42,-1848.43,-1537.59,-1738.43,-1453.90,Upgrade
