,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,"Property, Plant & Equipment",2953,3282.0,3226,3397.0,3229,3747,3643,2708,2632,2829
1,Cash & Equivalents,1064,1002.0,1126,1807.0,2015,1638,1133,1515,946.65,884.21
2,Accounts Receivable,365.43,549.63,482.75,356.76,250.77,126.9,125.04,101.21,103.75,93.08
3,Other Receivables,-,218.65,-,89.23,-,30.8,-,143.32,-,51.14
4,Investment In Debt and Equity Securities,1636,1679.0,1783,1588.0,1501,1510,1192,1272,865.19,934.37
5,Goodwill,3351,3469.0,3499,3455.0,3455,542.64,673.13,340.24,340.24,340.24
6,Other Intangible Assets,1367,1472.0,1460,1422.0,1338,114.42,106.83,105.65,89.06,116.19
7,Loans Receivable Current,-,81.43,9.2,64.22,9.2,-,9.2,-,9.2,-
8,Other Current Assets,1503,561.2,1164,671.28,1504,124.34,110.42,66.2,428.54,166.13
9,Trading Asset Securities,38.45,34.49,27.94,21.88,15.47,-,-,-,-,-
10,Deferred Long-Term Tax Assets,83.19,88.87,96.61,101.28,105.84,114.96,23.37,24.26,23.52,23.55
11,Deferred Long-Term Charges,0.23,0.28,0.33,0.38,-,-,-,-,-,-
12,Other Long-Term Assets,3498,3752.0,3444,3225.0,2965,1388,1534,1411,1223,914.04
13,Total Assets,15859,16191.0,16318,16199.0,16388,9338,8550,7687,6662,6352
14,Current Portion of Long-Term Debt,1195,899.88,394.54,290.45,638.47,1313,1393,733.66,570.19,232.21
15,Current Portion of Leases,11.36,11.37,11.36,10.4,9.66,3.49,5.98,6.57,6.41,5.67
16,Long-Term Debt,5000,5082.0,5234,5209.0,4310,2938,2360,2562,2284,2339
17,Long-Term Leases,23.45,20.59,24.07,23.79,20.16,5.6,6.49,6.83,9.48,17.49
18,Accounts Payable,18.21,13.68,9.49,16.72,12.16,2.96,4.53,5.78,5.44,12.84
19,Accrued Expenses,339.61,175.43,303.85,202.4,498.82,153.61,194.54,117.24,256.78,99.65
20,Current Income Taxes Payable,86.25,95.54,49.8,108.07,83.74,29.55,22.16,19.12,13.07,18.43
21,Current Unearned Revenue,-,4.89,-,4.46,-,2.65,-,3.2,-,4.23
22,Other Current Liabilities,535.37,429.44,412.44,447.22,659.51,76.71,-,100.09,47.29,115.95
23,Long-Term Unearned Revenue,4.67,8.15,-,4.92,-,-,-,-,-,-
24,Long-Term Deferred Tax Liabilities,538.53,580.84,624.46,617.5,620.3,355.21,313.55,280.97,233.86,211.29
25,Other Long-Term Liabilities,16.01,133.53,131.45,118.41,171.91,43.29,45.88,47.16,45.83,44.63
26,Total Liabilities,7769,7462.0,7196,7059.0,7025,4924,4346,3882,3473,3101
27,Common Stock,4.21,4.28,4.39,4.42,4.46,3.05,3.06,3.06,3.05,3.04
28,Additional Paid-In Capital,6171,6237.0,6386,6448.0,6565,2022,2063,2064,2059,2043
29,Retained Earnings,1814,2117.0,2256,2055.0,1999,1560,1372,1134,981.01,854.98
30,Comprehensive Income & Other,-225.08,52.51,128.84,307.03,471.74,573.64,570.1,394.79,-61.26,125.71
31,Total Common Equity,7764,8411.0,8775,8815.0,9040,4159,4009,3596,2982,3026
32,Minority Interest,326.48,318.24,347.28,325.66,322.37,255.18,195.54,209,207.3,224.86
33,Shareholders' Equity,8090,8729.0,9123,9140.0,9363,4414,4204,3805,3189,3251
34,Total Liabilities & Equity,15859,16191.0,16318,16199.0,16388,9338,8550,7687,6662,6352
35,Total Debt,6229,6014.0,5664,5533.0,4979,4260,3765,3309,2871,2594
36,Net Cash / Debt,-5126,-4978.0,-4510,-3705.0,-2949,-2621,-2632,-1793,-1924,-1710
37,Net Cash Per Share,-1.21,-1.14,-1.02,-0.83,-0.65,-0.85,-0.85,-0.58,-0.62,-0.59
38,Filing Date Shares Outstanding,4213,4268.0,4403,4417.0,4470,3053,3060,3060,3050,3037
39,Total Common Shares Outstanding,4213,4268.0,4403,4417.0,4470,3053,3060,3060,3050,3037
40,Book Value Per Share,1.67,1.8,1.82,1.83,1.86,1.28,1.22,1.18,0.98,0.96
41,Tangible Book Value,3046,3469.0,3816,3937.0,4246,3502,3229,3150,2552,2570
42,Tangible Book Value Per Share,0.55,0.64,0.70,0.72,0.78,1.06,0.97,1.03,0.84,0.81
43,Construction In Progress,-,1247.0,-,2067.0,-,1506,-,1210,-,1227
