,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,52898,43229,46090,58870,72344,94462,80331,80180,85063,55880,53444
1,Market Cap Growth,-26.57%,-26.57%,-36.29%,-37.68%,-9.94%,17.81%,-5.56%,43.49%,59.16%,-,-
2,Enterprise Value,95475,84604,84156,90295,98013,116873,102293,95704,101580,70954,72183
3,Last Close Price,12.46,10.26,10.68,13.15,15.89,20.44,25.41,25.26,26.81,17.67,16.97
4,PE Ratio,-,-,-,16.02,16.16,23.32,29.48,28.10,38.30,23.86,27.99
5,PS Ratio,11.01,8.90,6.93,7.48,8.85,13.89,18.00,19.32,22.24,13.92,15.22
6,PB Ratio,0.96,0.68,0.68,0.82,1.02,1.29,2.33,2.46,2.88,2.26,2.11
7,P/FCF Ratio,19.50,19.50,41.32,790.52,-,75.84,137.09,152.44,127.86,106.47,122.66
8,P/OCF Ratio,19.50,19.50,41.32,790.52,-,75.84,137.09,152.44,127.86,106.47,122.66
9,EV/Sales Ratio,19.65,17.41,12.66,11.47,12.00,17.18,22.91,23.05,26.55,17.67,20.56
10,EV/EBITDA Ratio,80.96,79.12,27.14,20.10,21.48,31.50,45.71,47.52,65.89,38.80,50.85
11,EV/EBIT Ratio,126.15,111.78,29.94,21.42,22.86,33.08,47.41,49.69,69.56,40.55,54.15
12,EV/FCF Ratio,38.16,38.16,75.45,1212.51,-,93.83,174.56,181.95,152.68,135.18,165.67
13,Debt / Equity Ratio,0.77,0.77,0.69,0.62,0.61,0.53,0.97,0.90,0.87,0.90,0.80
14,Debt / FCF Ratio,21.94,21.94,42.12,596.05,-,31.37,56.68,55.59,38.56,42.39,46.37
15,Earnings Yield,-4.49%,-5.00%,3.91%,6.42%,6.19%,4.29%,3.39%,3.56%,2.61%,4.19%,3.57%
16,FCF Yield,5.13%,5.13%,2.42%,0.13%,0.85%,1.32%,0.73%,0.66%,0.78%,0.94%,0.82%
17,Dividend Yield,1.01%,-,2.34%,1.91%,1.57%,0.61%,-,-,-,-,-
18,Buyback Yield / Dilution,3.62%,4.60%,2.21%,1.68%,-44.98%,-45.44%,-0.02%,-0.19%,-7.14%,-12.03%,-4.44%
19,Total Shareholder Return,4.63%,4.60%,4.55%,3.60%,-43.40%,-44.83%,-0.02%,-0.19%,-7.14%,-12.03%,-4.44%
