,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Feb '25 Feb 5, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,150,334,300,375,488,630,780,885,825,893,795
1,Market Cap Growth,-11.00%,-11.00%,-38.46%,-40.48%,-37.50%,-28.81%,-5.45%,-0.84%,3.77%,-4.80%,-15.87%
2,Enterprise Value,-18,114,264,650,719,851,999,1166,804,532,485
3,Last Close Price,0.20,0.45,0.40,0.50,0.65,0.84,1.04,1.18,1.10,1.19,1.06
4,PE Ratio,-,-,-,11.53,6.23,6.18,3.82,4.52,6.16,8.20,39.58
5,PS Ratio,0.39,0.86,0.42,0.42,0.75,0.68,0.47,0.61,0.56,0.85,2.01
6,PB Ratio,0.22,0.40,0.32,0.24,0.30,0.39,0.47,0.57,0.59,0.77,0.77
7,P/TBV Ratio,0.50,0.50,0.40,0.30,0.37,0.47,0.58,0.70,0.75,0.91,0.87
8,P/FCF Ratio,-,-,-,1.09,-,3.33,6.20,-,-,-,-13.24
9,P/OCF Ratio,-,-,0.74,1.07,-,3.31,5.95,-6.86,-,-,-13.82
10,EV/Sales Ratio,0.29,0.29,0.37,0.74,1.11,0.91,0.60,0.80,0.55,0.51,1.22
11,EV/EBITDA Ratio,-,-,-,2.25,3.50,-,3.91,3.10,1.41,1.49,7.11
12,EV/EBIT Ratio,-,-,-,2.29,3.61,-,4.06,3.19,1.43,1.52,7.85
13,EV/FCF Ratio,0.74,-,-,1.88,-,4.49,7.95,-,-,-,-8.08
14,Debt / Equity Ratio,0.00,0.00,0.00,0.10,0.11,0.12,0.24,0.26,0.32,0.24,0.34
15,Debt / FCF Ratio,-,-,-,0.45,-,0.99,3.15,-,-,-,-5.84
16,Return on Capital Employed (ROCE),-,-,-,17.75%,11.97%,-,14.65%,23.33%,40.24%,29.85%,5.36%
17,Earnings Yield,-390.21%,-175.37%,-177.10%,8.68%,16.04%,16.17%,26.18%,22.14%,16.23%,12.20%,2.53%
18,FCF Yield,-16.48%,-7.41%,135.13%,92.09%,1.63%,30.05%,16.12%,-15.67%,-36.27%,1.76%,-7.55%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-30.47%,
20,Total Shareholder Return,-,-,-,-,-,-,-,-,-,-30.47%,
