,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,34.14,35.64,25.98,18.63,18.26,25.48,19.6,14.61,15.4,19.39
1,Short-Term Investments,-,3.85,-,3.4,-,2.61,-,3.73,-,-
2,Cash & Short-Term Investments,34.14,39.48,25.98,22.03,18.26,28.08,19.6,18.34,15.4,19.39
3,Cash Growth,31.43%,79.21%,42.27%,-21.55%,-6.87%,53.09%,27.33%,-5.38%,-34.46%,17.38%
4,Accounts Receivable,188.19,191.69,268.36,248.19,243.29,216.73,245.73,244.71,354,371.02
5,Other Receivables,0.73,0.73,0.16,0.16,-,-,0.02,1.16,4.14,4.14
6,Receivables,188.92,192.41,268.52,248.35,243.29,216.73,245.75,245.87,358.14,375.15
7,Prepaid Expenses,10.98,4.21,12.09,8.57,8.08,0.74,3.78,1.03,5.91,11.1
8,Restricted Cash,-,-,2.94,-,-,-,-,-,-,3.18
9,Other Current Assets,27.95,19.93,-,-,-,-,-,-,-,-
10,Total Current Assets,261.99,256.03,309.53,278.95,269.63,245.55,269.13,265.24,379.45,408.82
11,"Property, Plant & Equipment",39.1,43.05,47.13,52.21,55.95,82.11,116.63,132.51,154.08,160.72
12,Long-Term Investments,8.23,8.12,7.88,7.77,7.64,7.53,-,7.29,-,-
13,Long-Term Deferred Tax Assets,0.15,1.23,-,-,-,-,1.16,-,-,-
14,Other Long-Term Assets,-,-,-,-,-,-,7.43,-,7.17,7.03
15,Total Assets,309.47,308.42,364.53,338.93,333.21,335.19,394.35,405.05,540.69,576.57
16,Accounts Payable,1.53,12.73,49.34,33.46,27.19,22.93,32.23,9.09,24.62,54.57
17,Short-Term Debt,7.83,7.83,7.83,7.83,7.83,7.83,-,45.37,-,102.14
18,Current Portion of Long-Term Debt,-,-,-,-,-,-,22.83,3.03,77.8,2.84
19,Current Portion of Leases,0.79,0.91,1.93,2.31,2.94,8.95,17.87,18.14,19.71,15.97
20,Current Income Taxes Payable,-,-,-,-,-,0.21,-,-,5.5,3.43
21,Current Unearned Revenue,4.16,2.26,8.86,2.3,1.34,0.62,8.19,4.26,5.51,3.35
22,Other Current Liabilities,21.91,18.16,29.37,33.28,38.05,31.22,24.88,33.09,39.91,27.86
23,Total Current Liabilities,36.22,41.89,97.33,79.19,77.34,71.76,106,112.98,173.05,210.16
24,Long-Term Debt,-,-,-,-,-,-,-,-,1.54,3.03
25,Long-Term Leases,0.34,0.04,0.18,0.88,2.03,6.52,18.82,26.51,33.95,41.72
26,Long-Term Deferred Tax Liabilities,-,-,1.67,0.64,0.73,1.08,3.86,4.53,9.13,9.13
27,Total Liabilities,36.56,41.93,99.18,80.71,80.11,79.36,128.68,144.02,217.66,264.03
28,Common Stock,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4,4,4
29,Additional Paid-In Capital,123.31,123.31,123.31,123.31,123.31,123.31,123.31,104.74,104.74,104.74
30,Retained Earnings,114.81,108.39,107.24,100.12,95,97.73,107.56,122.29,184.29,173.8
31,Comprehensive Income & Other,30,30,30,30,30,30,30,30,30,30
32,Shareholders' Equity,272.91,266.49,265.35,258.22,253.1,255.83,265.67,261.03,323.03,312.54
33,Total Liabilities & Equity,309.47,308.42,364.53,338.93,333.21,335.19,394.35,405.05,540.69,576.57
34,Total Debt,8.96,8.78,9.95,11.02,12.8,23.29,59.53,93.05,133,165.7
35,Net Cash (Debt),25.18,30.7,16.03,11.01,5.46,4.79,-39.92,-74.71,-117.6,-146.31
36,Net Cash Growth,57.12%,178.92%,193.66%,129.91%,-,-,-,-,-,-
37,Net Cash Per Share,0.05,0.06,0.03,0.02,0.01,0.01,-0.09,-0.19,-0.29,-0.37
38,Filing Date Shares Outstanding,479.6,479.6,479.6,479.6,479.6,479.6,479.6,400,400,400
39,Total Common Shares Outstanding,479.6,479.6,479.6,479.6,479.6,479.6,479.6,400,400,400
40,Working Capital,225.77,214.14,212.2,199.76,192.28,173.79,163.13,152.26,206.4,198.67
41,Book Value Per Share,0.57,0.56,0.55,0.54,0.53,0.53,0.55,0.65,0.81,0.78
42,Tangible Book Value,272.91,266.49,265.35,258.22,253.1,255.83,265.67,261.03,323.03,312.54
43,Tangible Book Value Per Share,0.57,0.56,0.55,0.54,0.53,0.53,0.55,0.65,0.81,0.78
44,Machinery,87.75,87.75,29.13,30.06,29.17,59.27,91.87,84.96,104.79,104.97
45,Leasehold Improvements,0.7,0.7,0.7,0.7,1.9,1.9,1.9,1.9,1.9,1.9
46,Order Backlog,627.5,-,-,-,-,-,-,-,-,-
