,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 3, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,86842,95648,95951,85627,85020,83502,82591,71356,63462,67561,80162,68472,61791,61184,51012,54656,45243,45547,47065,40992,43725,Upgrade
1,Market Cap Growth,14.55%,14.55%,16.18%,20.00%,33.97%,23.60%,3.03%,4.21%,2.70%,10.42%,57.14%,25.28%,36.58%,34.33%,8.39%,33.33%,3.47%,4.17%,1.64%,-22.86%,-34.84%,Upgrade
2,Enterprise Value,95728,103576,107929,95625,95018,93400,96328,84008,76795,59752,65098,55504,51636,54376,39924,43567,42829,46790,47647,34120,40856,Upgrade
3,Last Close Price,28600.00,30960.62,31058.90,26808.37,26167.08,25699.81,24104.65,20825.71,18208.99,19385.16,21924.19,18726.91,16899.90,16399.96,13673.42,13801.93,11125.26,11199.92,10938.59,9527.16,9880.02,Upgrade
4,PE Ratio,12.09,7.73,7.42,6.59,6.45,8.94,5.41,4.69,4.03,3.29,6.08,5.22,4.74,5.60,4.35,4.78,3.94,6.80,7.17,6.22,6.85,Upgrade
5,PS Ratio,0.73,0.81,0.87,0.77,0.77,0.73,0.70,0.59,0.49,0.52,0.68,0.56,0.52,0.47,0.36,0.39,0.31,0.32,0.33,0.28,0.30,Upgrade
6,PB Ratio,1.30,1.43,1.46,1.33,1.32,1.46,1.39,1.25,1.13,1.20,1.55,1.38,1.28,1.43,1.21,-,1.06,1.18,1.26,1.07,1.18,Upgrade
7,P/TBV Ratio,1.43,1.43,1.46,1.33,1.32,1.46,1.39,1.25,1.13,1.20,1.55,1.38,1.28,1.43,1.21,-,1.06,1.18,1.26,1.07,1.18,Upgrade
8,P/FCF Ratio,25.05,-,-,-,8.41,-44.55,-3.20,-,-,-,-,7.69,28.53,7.58,-,-,6.29,16.31,19.62,-,6.41,Upgrade
9,P/OCF Ratio,24.57,-,-,-,8.30,-45.86,-3.20,-,-,-,-,7.40,25.31,7.58,-,-,5.71,12.72,15.22,-,5.53,Upgrade
10,EV/Sales Ratio,0.80,0.87,0.98,0.86,0.86,0.81,0.82,0.70,0.60,0.46,0.55,0.45,0.43,0.42,0.28,0.31,0.30,0.33,0.33,0.24,0.28,Upgrade
11,EV/EBITDA Ratio,7.45,13.98,-,-,38.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,7.88,8.87,11.00,8.97,7.98,6.34,6.91,6.29,5.77,3.38,4.04,3.50,3.32,4.19,2.84,3.16,3.09,4.96,4.93,3.39,4.01,Upgrade
13,EV/FCF Ratio,27.61,-,-,-,9.40,-49.83,-3.73,-,-,-,-,6.23,23.84,6.74,-,-,5.96,16.75,19.87,-,5.99,Upgrade
14,Debt / Equity Ratio,0.20,0.20,0.20,0.23,0.19,0.29,0.27,0.32,0.32,0.35,0.26,-,-,-,-,-,-,-,0.12,0.15,-,Upgrade
15,Debt / EBITDA Ratio,1.05,0.68,-,-,1.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Debt / FCF Ratio,3.89,-,-,-,1.19,-8.89,-0.62,-,-,-,-,-,-,-,-,-,-,-,1.83,-,-,Upgrade
17,Asset Turnover,1.34,-,-,1.07,1.05,1.02,0.97,1.20,1.22,1.39,1.80,1.78,1.03,-,-,2.50,2.00,1.90,1.98,2.61,Upgrade,
18,Inventory Turnover,4.02,4.56,-,-,3.71,3.63,3.04,2.72,3.32,3.39,3.27,4.03,3.99,2.45,-,-,6.46,5.01,5.02,5.46,7.34,Upgrade
19,Quick Ratio,0.77,0.77,0.74,0.69,0.65,0.72,0.69,0.56,0.52,0.58,1.07,1.49,1.72,1.21,1.22,-,1.49,1.29,1.24,1.11,1.34,Upgrade
