,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Revenue,36226,27745,26089,28324,28335,27806,26070,32599,31639,30338,34180,33582,20028,34988,30654,43743,33485,32910,33733,42074,Upgrade
1,Revenue Growth (YoY),27.85%,-0.22%,0.07%,-13.11%,-10.44%,-8.35%,-23.73%,-2.93%,57.98%,-13.29%,11.50%,-23.23%,-40.19%,6.32%,-9.13%,3.97%,-5.54%,-1.89%,2.20%,1.88%,Upgrade
2,Cost of Revenue,25057,19751,18816,20695,21446,19878,17994,21785,23214,21683,24465,23578,14949,24742,21060,29721,23605,24729,25305,30378,Upgrade
3,Gross Profit,11169,7995,7272,7629,6889,7928,8076,10814,8425,8655,9715,10004,5079,10246,9594,14022,9880,8181,8428,11696,Upgrade
4,"Selling, General & Admin",6368,5461,5116,5448,3949,4543,4682,5810,6262,5862,6359,616.29,4515,7685,6569,7202,8208,5924,5325,9293,Upgrade
5,Operating Expenses,6368,5461,5116,5448,3949,4543,4682,5810,6262,5862,6359,616.29,4515,7685,6569,7202,8208,5924,5325,9293,Upgrade
6,Operating Income,4801,2534,2156,2181,2940,3385,3394,5004,2162,2793,3356,9388,563.94,2561,3024,6821,1671,2257,3103,2402,Upgrade
7,Interest Expense,-272.51,-252.45,-787.32,-301.98,-336.49,-370.25,-386.15,-353.24,-298.75,-114.27,-,-,-,-,-,-,-49.95,-107.64,-68.23,-18.72,Upgrade
8,Interest & Investment Income,-,-,1.56,-,18.96,10.8,3.17,1.96,8433,53.85,68.07,469.58,39.02,33.89,58.23,421.63,1.99,64.06,339.49,149.23,Upgrade
9,Currency Exchange Gain (Loss),-10.26,-,-,-6.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),-569.89,242.25,804.37,1149,-198.21,-354.92,-586.92,-412.63,-442.68,-240.16,-282.26,-685.11,24.16,-133.98,-122.63,-632.07,4.56,-203.15,-334.52,-847.45,Upgrade
11,EBT Excluding Unusual Items,3948,2524,2175,3022,2424,2671,2424,4240,9854,2492,3142,9172,627.12,2461,2960,6610,1628,2011,3039,1686,Upgrade
12,Gain (Loss) on Sale of Investments,-103.95,-,-,10209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Pretax Income,3844,2524,2175,13231,2424,2671,2424,4240,9854,2492,3142,9172,627.12,2461,2960,6610,1628,2011,3039,1686,Upgrade
14,Income Tax Expense,808,504.72,434.92,2709,484.86,602.7,484.87,851.34,1971,478.81,694.33,955.32,125.42,519.91,592.01,501.29,325.61,359.9,607.87,370.17,Upgrade
15,Net Income,3036,2019,1740,10522,1939,2068,1939,3389,7883,2014,2448,8217,501.7,1941,2368,6109,1302,1651,2431,1315,Upgrade
16,Preferred Dividends & Other Adjustments,1666,-,-,3284,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Net Income to Common,1370,2019,1740,7237,1939,2068,1939,3389,7883,2014,2448,8217,501.7,1941,2368,6109,1302,1651,2431,1315,Upgrade
18,Net Income Growth,56.55%,-2.37%,-10.30%,210.49%,-75.40%,2.70%,-20.77%,-58.76%,1471.29%,3.73%,3.37%,34.51%,-61.48%,17.59%,-2.61%,364.44%,12.06%,-2.11%,9.55%,-27.85%,Upgrade
19,Shares Outstanding (Basic),4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,Upgrade
20,Shares Outstanding (Diluted),4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,Upgrade
21,Shares Change (YoY),0.04%,0.05%,0.00%,-72.00%,-0.04%,0.03%,-0.05%,0.01%,0.00%,-0.08%,0.01%,0.02%,-0.08%,0.09%,-0.02%,21.88%,22.10%,21.92%,0.03%,0.06%,Upgrade
22,EPS (Basic),370.06,545.00,470.00,6978.65,524.00,558.50,524.00,915.00,2129.00,544.00,661.00,2219.00,135.50,524.00,639.50,1650.00,351.50,446.00,656.50,433.00,Upgrade
23,EPS (Diluted),370.06,545.00,470.00,6978.56,524.00,558.50,524.00,915.00,2129.00,544.00,661.00,2219.00,135.50,524.00,639.50,1650.00,351.50,446.00,656.50,433.00,Upgrade
24,EPS Growth,-29.38%,-2.42%,-10.31%,662.68%,-75.39%,2.67%,-20.73%,-58.77%,1471.22%,3.82%,3.36%,34.48%,-61.45%,17.49%,-2.59%,281.06%,-8.22%,-19.71%,9.51%,-27.89%,Upgrade
25,Free Cash Flow,-984.61,-,-2623,4608,3980,3838,-2322,-7371,-19971,-7309,3243,2348,3315,-,-3497,8253,3657,1860,-6578,3854,Upgrade
26,Free Cash Flow Per Share,-265.92,-,-708.72,4442.91,1075.36,1036.62,-627.33,-1990.13,-5393.68,-1974.45,875.69,633.98,895.25,-,-944.32,2229.03,986.83,502.52,-1775.97,1268.76,Upgrade
27,Dividend Per Share,-,-,-,-,500.000,-,-,1350.000,400.000,-,-,1100.000,-,400.000,-,1100.000,-,-,-,-,Upgrade
28,Dividend Growth,-,-,-,-,25.00%,-,-,22.73%,-,-,-,0%,-,-,-,-,-,-,-,-,Upgrade
29,Gross Margin,30.83%,28.81%,27.88%,26.94%,24.31%,28.51%,30.98%,33.17%,26.63%,28.53%,28.42%,29.79%,25.36%,29.28%,31.30%,32.06%,29.51%,24.86%,24.98%,27.80%,Upgrade
30,Operating Margin,13.25%,9.13%,8.26%,7.70%,10.38%,12.17%,13.02%,15.35%,6.83%,9.21%,9.82%,27.96%,2.82%,7.32%,9.87%,15.59%,4.99%,6.86%,9.20%,5.71%,Upgrade
31,Profit Margin,3.78%,7.28%,6.67%,25.55%,6.84%,7.44%,7.44%,10.40%,24.92%,6.64%,7.16%,24.47%,2.51%,5.55%,7.73%,13.97%,3.89%,5.02%,7.21%,3.13%,Upgrade
32,Free Cash Flow Margin,-2.72%,-,-10.06%,16.27%,14.05%,13.80%,-8.91%,-22.61%,-63.12%,-24.09%,9.49%,6.99%,16.55%,-,-11.41%,18.87%,10.92%,5.65%,-19.50%,9.16%,Upgrade
33,EBITDA,4974,-,-,2437,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
34,EBITDA Margin,13.73%,-,-,8.60%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
35,D&A For EBITDA,173.03,-,-,255.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
