,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,581,420,450,588,594,480,510,564,540,582,696
1,Market Cap Growth,-28.57%,-28.57%,-24.24%,22.50%,16.47%,-14.89%,-5.56%,-3.09%,-22.41%,-17.80%,-
2,Enterprise Value,774,595,619,753,768,643,616,649,765,772,876
3,Last Close Price,0.40,0.33,0.35,0.46,0.46,0.38,0.40,0.44,0.42,0.45,0.54
4,PE Ratio,-,-15.44,-,-,-,-,-,10.36,9.42,43.36,-
5,PS Ratio,1.96,1.74,2.30,3.18,3.27,1.96,1.67,1.80,1.58,1.72,2.19
6,PB Ratio,1.39,1.23,1.31,1.49,1.81,1.27,1.20,1.29,1.32,1.71,2.09
7,P/TBV Ratio,1.23,1.23,1.31,1.49,1.82,1.28,1.21,1.30,1.32,1.72,2.10
8,P/FCF Ratio,-,-,-,-,-71.83,-,-,-,-,-,-
9,P/OCF Ratio,-,-,42.74,38.74,18.19,10.92,15.24,13.20,8.57,7.74,-36.06
10,EV/Sales Ratio,3.20,2.46,3.16,4.07,4.22,2.62,2.02,2.07,2.24,2.28,2.75
11,EV/EBITDA Ratio,-,-22.23,-,-,-,-,-,-,-,45.41,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,225.45,-
13,EV/FCF Ratio,-38.94,-,-,-,-92.81,-,-,-,-,-,-
14,Debt / Equity Ratio,0.58,0.58,0.53,0.43,0.54,0.48,0.42,0.26,0.36,0.75,0.78
15,Debt / FCF Ratio,-,-,-,-,-21.27,-,-,-,-,-,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,1.00%,-
17,Earnings Yield,-4.68%,-6.47%,-11.08%,-11.41%,-13.50%,-9.63%,-1.58%,9.65%,10.62%,2.31%,-1.96%
18,FCF Yield,-3.42%,-4.73%,-1.65%,0.10%,-1.39%,-14.71%,-12.67%,-3.92%,-9.05%,-5.18%,-13.50%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.22%,-19.01%,-33.50%,
20,Total Shareholder Return,-,-,-,-,-,-,-,0.22%,-19.01%,-33.50%,
