,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,124.62,176.34,416.37,521.72,505.2,695.1,53.39,141.02,-,-,-
1,Short-Term Investments,-,32.74,-,-,-,-,-,6.97,-,-,-
2,Trading Asset Securities,315.91,367.09,233.78,256.63,242.48,89.45,0.57,0.7,-,-,-
3,Cash & Short-Term Investments,440.52,576.17,650.15,778.35,747.69,784.55,53.96,148.68,-,-,69.24
4,Cash Growth,-41.08%,-26.56%,1104.91%,423.50%,-,-,-22.07%,-,-,-,-
5,Accounts Receivable,1070,879.92,912.72,807.22,747.38,617.52,548.79,499.24,-,-,-
6,Other Receivables,4.27,11.95,3.49,12.53,3.06,6.18,2.99,9.88,-,-,-
7,Receivables,1074,891.86,916.21,819.75,750.44,623.69,551.79,509.12,-,-,-
8,Inventory,229.21,212.33,208.43,192.65,159.24,142.24,147.72,142.59,-,-,-
9,Other Current Assets,126.93,58.92,94.87,41.68,72.52,43.81,51.5,32.03,-,-,-
10,Total Current Assets,1871,1739,1870,1832,1730,1594,804.96,832.42,-,-,-
11,"Property, Plant & Equipment",370.45,362.38,376.04,375.8,250.4,250.26,235.23,233.99,-,-,-
12,Other Intangible Assets,123.21,93.73,93.72,91.67,32.36,32.46,32.75,33.04,-,-,-
13,Long-Term Accounts Receivable,-,0.02,-,0.06,-,-,-,0.06,-,-,-
14,Long-Term Deferred Tax Assets,5.02,4.88,3.9,3.43,3.05,2.55,0.21,2.35,-,-,-
15,Long-Term Deferred Charges,0.64,0.68,1.08,-,0,0.01,0.02,0.04,-,-,-
16,Other Long-Term Assets,48.95,34.26,7.23,15.05,59.93,4.29,0.56,6.52,-,-,-
17,Total Assets,2419,2235,2352,2318,2076,1884,1074,1108,-,-,-
18,Accounts Payable,627.77,496.52,564.32,614.05,457.16,328.76,305.52,340.39,-,-,-
19,Accrued Expenses,20.01,24.23,14.66,26.67,13.23,13.55,26.45,25.86,-,-,-
20,Short-Term Debt,68.6,118.6,82,82,-,-,20,41.05,-,-,-
21,Current Portion of Long-Term Debt,-,-,-,-,51.3,50.82,51.49,49.67,-,-,-
22,Current Portion of Leases,1.04,1.04,0.99,0.99,-,0.58,-,0.57,-,-,-
23,Current Income Taxes Payable,15.55,2.52,8.35,13.79,12.88,8.66,-,9.28,-,-,-
24,Current Unearned Revenue,2.22,2.41,2.03,1.64,3.32,1.93,1.43,1.06,-,-,-
25,Other Current Liabilities,22.4,9.58,62.68,6.49,16.73,8.18,16.85,14.77,-,-,-
26,Total Current Liabilities,757.59,654.9,735.03,745.62,554.61,412.49,421.75,482.65,-,-,-
27,Long-Term Debt,-,-,25,25.03,-,-,33,33.04,-,-,-
28,Long-Term Leases,1.37,1.42,1.73,1.87,0.71,0.7,1.05,1.32,-,-,-
29,Long-Term Unearned Revenue,9.47,9.98,10.47,9.93,8.49,8.93,9.38,8.92,-,-,-
30,Long-Term Deferred Tax Liabilities,13.66,14.13,11.08,7.98,6.05,5.33,6.05,7.19,-,-,-
31,Other Long-Term Liabilities,3.85,3.47,3.28,3.28,3.49,2.98,2.51,2.51,-,-,-
32,Total Liabilities,785.94,683.91,786.58,793.7,573.34,430.43,473.75,535.62,-,-,-
33,Common Stock,183.01,183.01,128.88,128.88,128.88,128.88,96.66,96.66,-,-,-
34,Additional Paid-In Capital,833.5,849.26,903.38,903.38,903.38,903.38,119.93,119.93,-,-,-
35,Retained Earnings,590.58,518.38,516.3,475.75,456.19,410.6,373.61,346.47,-,-,-
36,Treasury Stock,-,-20,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,8.02,7.17,4.49,3.68,3.24,0.8,0.37,0.37,-,-,-
38,Total Common Equity,1615,1538,1553,1512,1492,1444,590.57,563.44,-,-,469.7
39,Minority Interest,18.13,13.52,12.01,13.06,10.6,9.78,9.41,9.35,-,-,-
40,Shareholders' Equity,1633,1551,1565,1525,1502,1453,599.99,572.79,-,-,479.36
