,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,5569,3320,3558,3562,4490,4485,3150,-,-,-,-,-
1,Market Cap Growth,-25.99%,-25.99%,12.94%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5218,2878,3029,2877,3805,3762,3211,-,-,-,-,-
3,Last Close Price,30.43,18.24,19.44,19.27,24.29,24.07,22.54,-,-,-,-,-
4,PE Ratio,26.77,15.97,19.63,20.07,27.37,28.45,23.48,-,-,-,-,-
5,Forward PE,-,14.25,17.40,12.34,19.49,21.66,-,-,-,-,-,-
6,PS Ratio,3.41,2.04,2.46,2.67,3.61,3.95,3.10,-,-,-,-,-
7,PB Ratio,3.45,2.03,2.29,2.28,2.94,2.99,2.17,-,-,-,-,-
8,P/TBV Ratio,2.23,2.23,2.46,2.44,3.16,3.07,2.23,-,-,-,-,-
9,P/OCF Ratio,219.54,-,72.67,-,103.22,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.20,1.76,2.09,2.16,3.06,3.31,3.16,-,-,-,-,-
11,EV/EBITDA Ratio,21.06,10.99,13.10,12.40,17.33,18.67,19.09,-,-,-,-,-
12,EV/EBIT Ratio,24.91,12.87,15.61,14.47,20.31,22.11,23.36,-,-,-,-,-
13,Debt / Equity Ratio,0.04,0.04,0.08,0.07,0.07,0.03,0.04,0.18,0.22,-,-,0.21
14,Debt / EBITDA Ratio,0.29,0.18,0.66,0.50,0.43,0.19,0.28,0.62,0.68,-,-,1.02
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,3.24,-,-,-
16,Asset Turnover,0.91,0.70,0.52,0.72,0.69,0.78,0.79,-,-,-,-,
17,Inventory Turnover,6.30,6.87,6.09,4.52,6.80,6.65,5.80,4.23,-,-,-,-
18,Quick Ratio,2.00,2.00,2.24,2.13,2.14,2.70,3.41,1.44,1.36,-,-,-
19,Current Ratio,2.47,2.47,2.66,2.54,2.46,3.12,3.87,1.91,1.72,-,-,-
20,Return on Equity (ROE),19.25%,10.82%,10.19%,14.96%,12.55%,14.53%,18.55%,-,-,-,-,
21,Return on Assets (ROA),9.58%,3.63%,4.94%,6.25%,7.52%,6.46%,7.94%,-,-,-,-,
22,Return on Capital (ROIC),13.21%,4.98%,6.98%,8.62%,9.73%,8.64%,12.34%,-,-,-,-,
23,Return on Capital Employed (ROCE),12.61%,13.46%,12.28%,12.30%,11.91%,11.19%,9.34%,19.28%,17.38%,-,-,-
24,Earnings Yield,3.73%,6.26%,5.09%,4.98%,3.65%,3.52%,4.26%,-,-,-,-,-
25,FCF Yield,-4.50%,-7.55%,-6.35%,-6.68%,-4.09%,-2.46%,-1.94%,-,-,-,-,-
26,Dividend Yield,1.31%,-,-,-,1.65%,-,0.84%,-,-,-,-,-
27,Payout Ratio,38.10%,4.33%,96.23%,0.59%,67.36%,1.14%,2.55%,2.66%,1.57%,2.15%,69.25%,2.68%
28,Buyback Yield / Dilution,-20.27%,0.54%,-20.15%,-33.00%,-35.61%,-33.26%,-8.65%,-2.37%,-,-,-,-
29,Total Shareholder Return,-18.97%,0.54%,-20.15%,-33.00%,-33.95%,-33.26%,-7.81%,-2.37%,-,-,-,-
