,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,534.25,394.53,305.36,386.46,350.69,280.33,215.11,278.81,231.29,189.9,179.34
1,Other Revenue,-6.82,6.82,-,10.45,-6.8,6.8,-,10.89,-6.81,6.81,-
2,Revenue,527.43,401.35,305.36,396.92,343.89,287.13,215.11,289.7,224.48,196.71,179.34
3,Revenue Growth (YoY),53.37%,39.78%,41.96%,37.01%,53.20%,45.96%,19.95%,-,-,-,-
4,Cost of Revenue,379.04,320.07,226.39,298.91,250.76,210.32,153.38,215.1,172.19,154.62,140.61
5,Gross Profit,148.39,81.27,78.97,98,93.13,76.81,61.73,74.6,52.29,42.09,38.73
6,"Selling, General & Admin",28.6,23.17,20.65,21.03,19.95,21.5,12.75,14.48,14.05,10.44,12.28
7,Research & Development,22.56,20.69,15.82,19.68,16.16,14.47,11.35,13.35,10,8.23,9.16
8,Other Operating Expenses,0.5,-0.8,-2.07,-4.67,-6.81,-3.44,0.03,9.4,-0.8,-3.78,0.22
9,Operating Expenses,59.19,47.95,32.79,43.05,33.58,38.61,27.08,36.84,25.4,15.7,21.01
10,Operating Income,89.2,33.33,46.18,54.95,59.55,38.19,34.65,37.76,26.88,26.39,17.73
11,Interest Expense,-,-1.4,-0.65,-3.64,-,-,-2.63,-1.03,-0.34,-,-3.2
12,Interest & Investment Income,2.55,5.73,2.76,4.59,2.64,1.3,0.42,0.13,0.28,2.85,0.02
13,Currency Exchange Gain (Loss),-0.33,0.33,-,1.88,-2.11,2.11,-,7.54,-4.9,4.9,-
14,Other Non Operating Income (Expenses),-1.42,-0.07,-0.24,-1.52,0.73,-0.96,0.56,-9.25,9.05,-2.95,2.78
15,EBT Excluding Unusual Items,89.99,37.92,48.05,56.27,60.8,40.65,32.99,35.14,30.97,31.19,17.33
16,Gain (Loss) on Sale of Investments,0.42,-1.69,2.33,2.51,0.52,-1.28,-0.19,2.28,-2.96,-0.92,-0.28
17,Gain (Loss) on Sale of Assets,0.01,-0.01,-0.01,-0.21,-0.01,-0.04,-0.24,-0.02,0.01,0.01,-0.07
18,Asset Writedown,-8.12,7.76,-7.76,9.16,-9.16,2.29,-2.29,4.58,-4.53,1.83,-1.88
19,Other Unusual Items,2.14,1.69,1.88,-5.03,-0.75,0.75,-,9.46,-,-,-
20,Pretax Income,84.45,45.67,44.49,62.7,51.4,42.38,30.26,51.43,23.48,32.11,15.11
21,Income Tax Expense,7.82,3.54,5.16,6.09,5.02,5.09,3.06,1.76,2.64,4.09,1.31
22,Earnings From Continuing Operations,76.63,42.13,39.34,56.61,46.38,37.29,27.2,49.67,20.85,28.02,13.8
23,Minority Interest in Earnings,-4.44,-1.39,1.22,-2.23,-0.8,-0.31,-0.06,-1.69,1.25,0.41,0.39
24,Net Income,72.2,40.74,40.56,54.38,45.58,36.98,27.14,47.97,22.09,28.43,14.2
25,Net Income to Common,72.2,40.74,40.56,54.38,45.58,36.98,27.14,47.97,22.09,28.43,14.2
26,Net Income Growth,58.39%,10.17%,49.46%,13.34%,106.32%,30.06%,91.17%,-,-,-,-
27,Shares Outstanding (Basic),182,183,183,184,183,152,138,135,137,140,134
28,Shares Outstanding (Diluted),182,183,183,184,183,152,138,135,137,140,134
29,Shares Change (YoY),-0.54%,20.15%,33.00%,35.61%,33.26%,8.65%,2.37%,-,-,-,-
30,EPS (Basic),0.40,0.22,0.22,0.30,0.25,0.24,0.20,0.35,0.16,0.20,0.11
31,EPS (Diluted),0.40,0.22,0.22,0.30,0.25,0.24,0.20,0.35,0.16,0.20,0.11
32,EPS Growth,59.25%,-8.31%,12.37%,-16.42%,54.83%,19.70%,86.74%,-,-,-,-
33,Free Cash Flow,-114.52,-20.48,-93.36,-22.17,-90.02,-32.58,-39,51.14,-40.76,47.99,-19.61
34,Free Cash Flow Per Share,-0.63,-0.11,-0.51,-0.12,-0.49,-0.21,-0.28,0.38,-0.30,0.34,-0.15
35,Dividend Per Share,-,-,-,0.211,-,0.190,-,-,-,-,-
36,Gross Margin,28.13%,20.25%,25.86%,24.69%,27.08%,26.75%,28.70%,25.75%,23.29%,21.40%,21.60%
37,Operating Margin,16.91%,8.30%,15.12%,13.84%,17.32%,13.30%,16.11%,13.03%,11.98%,13.41%,9.88%
38,Profit Margin,13.69%,10.15%,13.28%,13.70%,13.25%,12.88%,12.62%,16.56%,9.84%,14.45%,7.92%
39,Free Cash Flow Margin,-21.71%,-5.10%,-30.57%,-5.59%,-26.18%,-11.35%,-18.13%,17.65%,-18.16%,24.40%,-10.93%
40,EBITDA,97.89,45.45,54.88,63.65,67.31,46.25,42.41,45.52,34.04,34.03,24.89
41,EBITDA Margin,18.56%,11.32%,17.97%,16.04%,19.57%,16.11%,19.71%,15.71%,15.17%,17.30%,13.88%
42,D&A For EBITDA,8.7,12.12,8.7,8.7,7.76,8.05,7.76,7.76,7.16,7.65,7.16
43,EBIT,89.2,33.33,46.18,54.95,59.55,38.19,34.65,37.76,26.88,26.39,17.73
44,EBIT Margin,16.91%,8.30%,15.12%,13.84%,17.32%,13.30%,16.11%,13.03%,11.98%,13.41%,9.88%
45,Effective Tax Rate,9.26%,7.74%,11.59%,9.72%,9.76%,12.01%,10.13%,3.43%,11.23%,12.74%,8.64%
46,Revenue as Reported,527.43,401.35,305.36,396.92,343.89,287.13,215.11,289.7,224.48,196.71,179.34
