,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Market Capitalization,19651,11878,11010,10250,14408,13785,16227,17851,14774,9778,11357,13025,14287,13313,7793,-,-,-,-,-,-
1,Market Cap Growth,-13.83%,-13.83%,-32.15%,-42.58%,-2.48%,40.98%,42.89%,37.05%,3.41%,-26.55%,45.73%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,17973,10364,9427,8765,12922,12294,14627,16124,13047,8115,9553,11080,12342,11413,6267,-,-,-,-,-,-
3,Last Close Price,48.31,29.17,27.04,25.00,35.14,33.62,39.71,43.41,35.93,23.78,27.62,31.34,34.38,32.04,18.75,-,-,-,-,-,-
4,PE Ratio,210.20,123.91,130.87,121.80,-,88.46,106.05,122.72,102.67,48.04,52.65,57.96,61.91,52.14,25.44,-,-,-,-,-,-
5,Forward PE,120.02,58.34,44.51,31.78,41.71,41.95,55.14,54.63,49.36,31.49,39.00,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,9.74,6.20,5.84,5.51,7.88,7.60,9.17,10.32,8.70,5.90,7.07,8.01,8.90,8.51,4.81,-,-,-,-,-,-
7,PB Ratio,7.88,4.75,4.47,4.15,5.92,5.62,6.66,7.19,6.03,4.08,4.76,5.30,5.88,5.75,3.40,-,-,-,-,-,-
8,P/TBV Ratio,5.12,5.12,4.82,4.49,6.32,6.00,7.14,7.71,6.37,4.32,5.05,5.61,6.24,6.12,3.62,-,-,-,-,-,-
9,P/FCF Ratio,94.90,57.36,103.79,-,240.34,-458.30,-,-,-180.32,-63.22,-,-,1829.48,-408.78,-,-,-,-,-,-,-
10,P/OCF Ratio,32.74,32.74,39.81,-,59.01,116.34,-,-,164.57,121.27,98.26,-,92.82,210.24,-,-,-,-,-,-,-
11,EV/Sales Ratio,9.38,5.41,5.00,4.71,7.07,6.78,8.27,9.32,7.69,4.90,5.94,6.81,7.69,7.30,3.86,-,-,-,-,-,-
12,EV/EBITDA Ratio,224.31,150.93,188.80,192.61,-,113.11,132.95,168.15,151.93,66.06,69.33,66.63,75.71,51.71,21.39,-,-,-,-,-,-
13,EV/EBIT Ratio,316.29,316.29,683.10,1677.79,-,180.92,210.01,274.25,265.48,93.82,100.74,94.71,102.41,64.09,25.09,-,-,-,-,-,-
14,EV/FCF Ratio,86.80,50.05,88.86,-,215.56,-408.73,-,-,-159.24,-52.47,-,-,1580.40,-350.45,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.06,0.12,0.02,0.11,0.17,0.13,0.02,0.04,0.07,0.05,0.01,0.01,0.02,0.00,-,-,-,-,-
16,Debt / EBITDA Ratio,1.54,0.94,0.75,2.78,-,4.71,2.01,3.14,0.39,1.70,1.09,1.78,0.06,0.18,0.20,0.10,-,-,-,-,-
17,Debt / FCF Ratio,0.60,0.60,1.51,-,1.01,-8.79,-,-,-0.73,-0.68,-,-,2.26,-0.65,-,-,-,-,-,-,-
18,Asset Turnover,0.51,0.49,0.38,0.66,0.46,0.45,0.36,0.69,0.46,0.46,0.35,0.69,0.43,0.57,0.41,-,-,-,-,-,
19,Inventory Turnover,2.83,3.03,3.06,2.36,5.12,2.04,1.97,1.77,3.97,1.86,2.40,1.97,5.98,3.61,5.18,3.59,-,-,-,-,-
20,Quick Ratio,1.69,1.69,1.74,1.71,1.67,1.59,1.62,1.79,1.81,2.09,2.30,2.62,2.46,2.82,2.86,2.33,2.08,-,-,-,1.83
21,Current Ratio,1.94,1.94,1.98,1.92,1.83,1.88,1.88,2.07,2.04,2.47,2.63,2.97,2.65,3.05,3.05,2.56,2.19,-,-,-,1.98
22,Return on Equity (ROE),4.49%,8.99%,5.36%,-3.28%,2.60%,8.98%,5.15%,8.64%,2.14%,7.96%,4.93%,18.88%,4.39%,11.09%,8.10%,-,-,-,-,-,
23,Return on Assets (ROA),1.59%,2.70%,1.21%,-3.25%,0.30%,2.09%,1.15%,1.01%,0.46%,1.54%,0.54%,3.88%,1.16%,3.74%,1.02%,-,-,-,-,-,
24,Return on Capital (ROIC),2.25%,3.73%,1.75%,-4.75%,0.42%,2.81%,1.61%,1.44%,0.63%,2.04%,0.75%,5.42%,1.57%,5.17%,1.53%,-,-,-,-,-,
25,Return on Capital Employed (ROCE),1.27%,1.27%,0.54%,0.21%,-,2.68%,2.76%,2.29%,1.94%,3.44%,3.79%,4.53%,4.78%,7.38%,10.46%,12.69%,12.89%,-,-,-,0.84%
26,Earnings Yield,0.49%,0.81%,0.76%,0.82%,0.58%,1.13%,0.94%,0.81%,0.97%,2.08%,1.90%,1.73%,1.62%,1.92%,3.93%,-,-,-,-,-,-
27,FCF Yield,1.05%,1.74%,0.96%,-0.22%,0.42%,-0.22%,-0.00%,0.26%,-0.55%,-1.58%,-0.92%,-1.18%,0.05%,-0.24%,-1.14%,-,-,-,-,-,-
28,Dividend Yield,0.30%,-,-,-,0.43%,-,-,-,0.70%,-,-,-,0.87%,-,-,-,-,-,-,-,-
29,Payout Ratio,70.04%,4.31%,112.96%,5.31%,-,20.35%,187.08%,1.84%,1.45%,37.15%,251.54%,-,-,-,129.09%,-,-,0.21%,113.67%,-,-
