,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Cash & Equivalents,1432,1361,1612,1703,1537,1598,1624,1691,1418,1452,1502,1797,1587,1827,1062,1775,-,-,-,351.41
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,925.67
2,Trading Asset Securities,372.41,310.47,275.98,327.09,209.58,293.28,307.47,209.97,410.85,372.67,416.92,460.2,377.69,121.54,467.09,35.38,-,-,-,-
3,Cash & Short-Term Investments,1804,1672,1888,2031,1747,1892,1932,1901,1829,1825,1919,2257,1965,1948,1529,1810,-,-,1681,1277
4,Cash Growth,3.29%,-11.63%,-2.28%,6.80%,-4.49%,3.67%,0.65%,-15.77%,-6.90%,-6.35%,25.50%,24.71%,-,-,-9.05%,41.73%,-,-,-,-
5,Accounts Receivable,185.02,254.26,229.79,178.8,205.16,264.81,139.14,147.77,170.14,180.83,118.54,105.61,138.54,171.64,77.46,52.56,-,-,-,23.35
6,Other Receivables,18.63,16.83,18.97,19.63,25.51,28.54,32.88,32.61,35.4,36.42,34.78,38.47,47.17,34.36,33.24,45.85,-,-,-,0.88
7,Receivables,203.65,271.09,248.76,198.43,230.67,293.35,172.02,180.38,205.54,217.24,153.32,144.08,185.71,206.01,110.7,98.41,-,-,-,24.23
8,Inventory,258.68,242.55,241.51,204.35,351.1,337.09,308.06,245.49,350.17,277.34,251.46,167.95,165.6,130.52,134.38,85.31,-,-,-,87.71
9,Other Current Assets,31.29,19.06,16.48,13.77,21.17,17.2,17.46,14.18,15.62,18.28,24.14,15,13.77,14.42,29.49,20.73,-,-,-,21.58
10,Total Current Assets,2298,2204,2394,2447,2350,2539,2429,2341,2400,2337,2348,2584,2330,2299,1804,2014,-,-,-,1411
11,"Property, Plant & Equipment",1033,986.63,916.88,885.9,877.22,834.38,799.93,772.77,749.06,721.94,703.51,680.29,620.57,613.33,579.83,552.01,-,-,-,537.7
12,Long-Term Investments,30.86,151.85,131.81,162.63,220.2,170.02,189.73,258.1,29.49,29.15,29.29,30.24,28.68,28.48,28.48,22.64,-,-,-,25.3
13,Other Intangible Assets,173.44,181.47,189.6,155.39,160.12,164.88,169.27,133.95,134.76,136.01,137.56,139.03,140.66,141.86,143.41,144.24,-,-,-,128.25
14,Long-Term Deferred Tax Assets,15.7,15.7,15.09,15.09,9.58,9.58,9.59,9.58,9.91,11.54,4.98,0.77,1.2,1.51,3.33,0.39,-,-,-,4.73
15,Long-Term Deferred Charges,52.44,37.22,19.93,57.22,37.64,21.73,7.39,40.31,31.8,23.86,15.97,9.81,2.65,3.19,3.74,4.29,-,-,-,4.54
16,Other Long-Term Assets,159.73,78.64,127.4,127.96,128.51,129.07,129.63,130.18,130.74,131.29,131.86,54.04,54.04,54.04,54.04,54.04,-,-,-,-
17,Total Assets,3763,3656,3795,3851,3783,3869,3735,3686,3486,3391,3371,3499,3178,3142,2617,2792,-,-,-,2111
18,Accounts Payable,116.82,85.94,91,91.25,96.52,127.73,119.55,125.48,115.96,73.67,24.82,33.5,8.83,9.56,20.23,27.06,-,-,-,11.62
19,Accrued Expenses,164.67,114.67,72.78,316.57,175.57,128.23,101.69,256.35,158.57,105.34,88.98,249.55,149.31,123.47,97.39,235.86,-,-,-,100.81
20,Short-Term Debt,111,149.87,296.36,50,252.62,388.95,322.29,43,60,118.69,69.13,-,-,33.84,-,-,-,-,-,-
21,Current Portion of Leases,4.56,3.89,4.04,5.11,5.14,6.22,6.08,6.5,8.57,9.91,11.78,10.41,12.43,11.23,-,-,-,-,-,-
22,Current Income Taxes Payable,9.11,-,6.67,-,8.62,-,7.17,0.01,10.07,-,5.96,0,7.78,-,9.09,3.87,-,-,-,0.02
23,Current Unearned Revenue,748.91,716.2,736.12,825.56,668.4,655.38,608.96,700.69,604.69,567.68,585.52,668.67,581.04,549.48,554.86,639.99,-,-,-,-
24,Other Current Liabilities,31.16,42.87,40.91,49.82,40.77,42.85,6.73,17.14,15.17,13.71,5.01,13.52,3.62,26.05,23.68,12.33,-,-,-,598.88
25,Total Current Liabilities,1186,1113,1248,1338,1248,1349,1172,1149,973.03,889,791.19,975.66,763.01,753.62,705.26,919.13,-,-,-,711.34
26,Long-Term Debt,-,-,-,-,-,-,-,5,30,30,30,-,-,-,-,-,-,-,-,-
27,Long-Term Leases,7.96,6.22,6.17,5.24,6.69,8.1,4.94,5.1,5.85,5.27,6.75,7.21,8.88,5.21,5.05,-,-,-,-,-
28,Long-Term Unearned Revenue,68.79,69.48,70.17,70.87,71.56,72.26,72.95,73.65,76.23,78.82,81.4,83.98,86.57,89.15,91.73,94.32,-,-,-,107.12
29,Long-Term Deferred Tax Liabilities,2.25,2.4,2.51,2.79,3.02,3.27,3.03,3.82,3.84,3.74,3.86,3.79,3.22,3.03,2.31,2.74,-,-,-,-
30,Total Liabilities,1265,1192,1327,1417,1329,1433,1253,1237,1089,1007,913.2,1071,861.68,851.02,804.36,1016,-,-,-,818.46
31,Common Stock,407.14,407.19,407.23,407.23,407.23,407.23,405.89,405.89,405.89,405.89,405.89,405.89,405.89,405.89,365.3,365.3,-,-,-,365.3
32,Additional Paid-In Capital,973.31,973.53,973.15,971.9,972.07,969.69,939.14,939.14,939.14,939.14,939.14,939.14,939.14,939.14,485.58,485.58,-,-,-,485.58
33,Retained Earnings,1144,1116,1122,1089,1109,1093,1139,1107,1054,1041,1115,1085,972.7,947.34,963.47,926.97,-,-,-,441.39
34,Treasury Stock,-28.82,-29.98,-31.09,-31.09,-31.09,-31.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Total Common Equity,2495,2467,2471,2437,2457,2439,2484,2452,2399,2386,2460,2430,2318,2292,1814,1778,-,-,1549,1292
36,Minority Interest,2.91,-2.49,-2.46,-2.72,-2.84,-2.84,-2.6,-2.33,-2.29,-1.89,-2.13,-1.81,-1.83,-1.73,-2.09,-1.94,-,-,-,0.41
37,Shareholders' Equity,2498,2464,2468,2434,2454,2436,2481,2450,2397,2384,2458,2428,2316,2291,1812,1776,-,-,1547,1293
38,Total Liabilities & Equity,3763,3656,3795,3851,3783,3869,3735,3686,3486,3391,3371,3499,3178,3142,2617,2792,-,-,-,2111
39,Total Debt,123.52,159.98,306.57,60.36,264.44,403.27,333.31,59.6,104.42,163.88,117.66,17.62,21.31,50.29,5.05,-,-,-,-,-
40,Net Cash (Debt),1681,1512,1581,1970,1482,1488,1598,1842,1725,1661,1801,2240,1943,1898,1524,1810,-,-,1681,1277
41,Net Cash Growth,13.39%,1.57%,-1.08%,6.98%,-14.04%,-10.38%,-11.28%,-17.77%,-11.26%,-12.50%,18.19%,23.74%,-,-,-9.35%,41.73%,-,-,-,-
42,Net Cash Per Share,3.82,3.85,3.86,5.68,3.32,3.77,3.99,4.09,4.67,3.96,4.44,5.76,4.51,5.37,4.18,5.15,-,-,4.72,3.70
43,Filing Date Shares Outstanding,407.14,407.19,407.23,346.76,407.23,395.27,405.89,405.89,405.89,405.89,405.89,405.89,405.89,405.89,365.3,365.3,360.52,388.32,355.91,365.3
44,Total Common Shares Outstanding,407.14,407.19,407.23,346.76,407.23,395.27,405.89,405.89,405.89,405.89,405.89,405.89,405.89,405.89,365.3,365.3,360.52,388.32,355.91,365.3
45,Working Capital,1112,1091,1146,1109,1102,1190,1257,1192,1427,1448,1557,1609,1567,1546,1099,1095,-,-,-,699.26
46,Book Value Per Share,6.13,6.06,6.07,7.03,6.03,6.17,6.12,6.04,5.91,5.88,6.06,5.99,5.71,5.65,4.97,4.87,-,-,4.24,3.54
47,Tangible Book Value,2322,2285,2281,2281,2297,2274,2315,2318,2265,2250,2323,2291,2177,2151,1671,1634,-,-,1424,1164
48,Tangible Book Value Per Share,5.70,5.61,5.60,6.58,5.64,5.75,5.70,5.71,5.58,5.54,5.72,5.64,5.36,5.30,4.57,4.47,-,-,3.90,3.19
49,Buildings,-,657.94,-,606.42,-,605.42,-,605.42,-,605.42,-,605.42,-,580.8,-,588.14,-,-,-,562.17
50,Machinery,-,102.4,-,107.87,-,107.82,-,107.66,-,99.73,-,101.78,-,85.95,-,82.41,-,-,-,58.25
51,Construction In Progress,-,438.36,-,370.01,-,302.82,-,229.7,-,170.56,-,112.82,-,76.86,-,20.44,-,-,-,1.1
