,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Operating Revenue,471.42,449.51,362.7,627.29,440.55,424.1,330.76,612.49,395.19,384.73,298.91,574.83,344.4,406.16,276.64,536.08,401.12,331.28,271.58,261.59
1,Other Revenue,-2.28,2.28,-,6.01,-3.15,3.15,-,6.44,-2.56,2.56,-,2.73,-1.02,1.02,-,0.98,-0.46,0.21,0.24,0.45
2,Revenue,469.15,451.78,362.7,633.3,437.4,427.25,330.76,618.94,392.62,387.29,298.91,577.56,343.38,407.18,276.64,537.05,400.67,331.49,271.82,262.04
3,Revenue Growth (YoY),7.26%,5.74%,9.66%,2.32%,11.40%,10.32%,10.65%,7.16%,14.34%,-4.89%,8.05%,7.54%,-14.30%,22.83%,1.77%,104.95%,-,-,-,-
4,Cost of Revenue,190.06,185.32,131.42,355.67,175.3,158.55,122.2,295.24,145.91,158.67,103.22,249.35,133.72,171.69,98.68,217.7,165.17,130.22,102.51,108.5
5,Gross Profit,279.09,266.46,231.29,277.63,262.1,268.7,208.56,323.7,246.71,228.62,195.69,328.21,209.66,235.49,177.97,319.35,235.5,201.28,169.31,153.54
6,"Selling, General & Admin",143.87,116.47,103.04,154.57,145.25,117.92,98.25,166.99,144.01,99.92,96.9,155.09,110.24,90.82,83.68,97.53,88.32,75.19,77.36,80.97
7,Research & Development,118.57,102.25,105.18,163.89,116.7,108.31,95.63,121.99,107.33,112.32,89.37,89.02,102.15,98.59,88.7,84.66,83.23,83.88,82.28,59.12
8,Other Operating Expenses,-1.61,5.68,-0.31,5.51,2.16,1.93,-1.5,16.08,-4.45,-4.03,-3.62,30.49,-12.34,-6.88,-1.72,31.44,-25.89,7.52,-3.14,1.47
9,Operating Expenses,255.48,226.16,212.85,327.2,257.46,236.97,191.43,309.25,240.38,207.75,188.2,276.41,194.99,192.46,166.95,209.97,149.12,165.57,159.33,141.77
10,Operating Income,23.61,40.3,18.43,-49.57,4.64,31.72,17.14,14.45,6.34,20.87,7.49,51.8,14.67,43.03,11.02,109.38,86.37,35.71,9.98,11.77
11,Interest Expense,-2.72,-1.82,-1.91,-1.71,-3.38,-2.48,-0.72,-1.67,-1.53,-1.77,-0.38,-1.77,-,-0.58,-0.38,-0.04,-0.16,-0.13,-0.01,-0.04
12,Interest & Investment Income,9.68,15.26,16.31,15.55,15.26,26.38,14.86,18.42,15.95,20.81,19.07,23.13,24.5,12.24,14.49,14.83,14.17,13.57,14.62,15.23
13,Other Non Operating Income (Expenses),-1.97,2.04,-0.28,1.38,-0.89,-0.1,-0.44,7.36,-6.45,2.92,-0.37,5.85,-8.19,4.3,-0.48,-8.94,2.08,-3.87,-0.64,-0.76
14,EBT Excluding Unusual Items,28.59,55.78,32.56,-34.35,15.63,55.52,30.83,38.56,14.31,42.82,25.81,79.01,30.98,58.98,24.65,115.24,102.47,45.29,23.94,26.2
15,Gain (Loss) on Sale of Investments,1.5,-3.39,-,1.24,-,-,-,-,-,-,-,-,-,-,-,-3.76,4.42,-5.46,-,-
16,Gain (Loss) on Sale of Assets,0.36,-0.34,0.04,-0.1,-0,-0.04,0.1,0.13,0.15,0.6,0.18,-0.04,-0.02,-0.02,7.1,-0.14,-0.03,-0.09,-0.03,-0.03
17,Asset Writedown,-0.02,-0.02,-0.05,-,-,-,-,-,-,-,-,-,-,-,-,4.61,-4.8,-,-,-
18,Other Unusual Items,-2.7,2.7,-,7.39,-,-,-,13.95,-,-,-,30.35,-,-,-,32.86,-24.19,24.19,-,1.37
19,Pretax Income,27.72,54.72,32.56,-25.82,15.63,55.48,30.93,52.64,14.46,43.42,25.99,109.33,30.96,58.96,31.75,148.81,77.87,63.93,23.92,27.54
20,Income Tax Expense,-0.15,-0.71,-0.28,-5.75,-0.25,0.26,-0.81,0.33,1.69,-4.74,-4.14,-2.62,5.7,2.09,-4.6,12.69,1.64,-0.62,-0.48,0.24
21,Earnings From Continuing Operations,27.87,55.43,32.84,-20.07,15.87,55.22,31.74,52.32,12.77,48.16,30.13,111.95,25.26,56.87,36.35,136.12,76.23,64.55,24.39,27.3
22,Minority Interest in Earnings,-0.18,0.03,-0.06,-0.01,0.1,0.26,0.27,0.04,0.39,-0.23,0.32,0.03,0.11,0.05,0.15,0.4,0.18,-0.16,0.52,0.31
23,Net Income,27.7,55.46,32.78,-20.08,15.97,55.48,32.01,52.36,13.16,47.93,30.45,111.98,25.37,56.93,36.5,136.52,76.41,64.39,24.91,27.62
24,Net Income to Common,27.7,55.46,32.78,-20.08,15.97,55.48,32.01,52.36,13.16,47.93,30.45,111.98,25.37,56.93,36.5,136.52,76.41,64.39,24.91,27.62
25,Net Income Growth,73.40%,-0.04%,2.40%,-,21.33%,15.76%,5.12%,-53.24%,-48.10%,-15.81%,-16.59%,-17.98%,-66.80%,-11.59%,46.51%,394.33%,-,-,-,-
26,Shares Outstanding (Basic),397,392,410,347,446,395,400,451,369,419,406,389,431,354,365,352,361,388,356,345
27,Shares Outstanding (Diluted),440,392,410,347,446,395,400,451,369,419,406,389,431,354,365,352,361,388,356,345
28,Shares Change (YoY),-1.39%,-0.71%,2.40%,-23.04%,20.92%,-5.67%,-1.45%,15.88%,-14.38%,18.48%,11.21%,10.54%,19.53%,-8.92%,2.56%,1.91%,-,-,-,-
29,EPS (Basic),0.07,0.14,0.08,-0.06,0.04,0.14,0.08,0.12,0.04,0.11,0.07,0.29,0.06,0.16,0.10,0.39,0.21,0.17,0.07,0.08
30,EPS (Diluted),0.06,0.14,0.08,-0.06,0.04,0.14,0.08,0.12,0.04,0.11,0.07,0.29,0.06,0.16,0.10,0.39,0.21,0.17,0.07,0.08
31,EPS Growth,75.84%,0.68%,0%,-,0.34%,22.72%,6.67%,-59.65%,-39.39%,-28.94%,-25.00%,-25.80%,-72.23%,-2.93%,42.86%,385.09%,-,-,-,-
32,Free Cash Flow,135.58,50.22,-402.45,423.71,34.61,-78.3,-320.07,333.68,64.29,-31.95,-447.96,260.95,114,-80.7,-286.44,220.57,57.36,95.01,-168.09,-220.93
33,Free Cash Flow Per Share,0.31,0.13,-0.98,1.22,0.08,-0.20,-0.80,0.74,0.17,-0.08,-1.10,0.67,0.26,-0.23,-0.78,0.63,0.16,0.24,-0.47,-0.64
34,Dividend Per Share,-,-,-,0.150,-,-,-,0.250,-,-,-,0.300,-,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,-40.00%,-,-,-,-16.67%,-,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,59.49%,58.98%,63.77%,43.84%,59.92%,62.89%,63.06%,52.30%,62.84%,59.03%,65.47%,56.83%,61.06%,57.83%,64.33%,59.46%,58.78%,60.72%,62.29%,58.59%
37,Operating Margin,5.03%,8.92%,5.08%,-7.83%,1.06%,7.42%,5.18%,2.33%,1.61%,5.39%,2.51%,8.97%,4.27%,10.57%,3.98%,20.37%,21.56%,10.77%,3.67%,4.49%
38,Profit Margin,5.90%,12.28%,9.04%,-3.17%,3.65%,12.99%,9.68%,8.46%,3.35%,12.38%,10.19%,19.39%,7.39%,13.98%,13.19%,25.42%,19.07%,19.43%,9.17%,10.54%
39,Free Cash Flow Margin,28.90%,11.12%,-110.96%,66.90%,7.91%,-18.33%,-96.77%,53.91%,16.37%,-8.25%,-149.86%,45.18%,33.20%,-19.82%,-103.54%,41.07%,14.32%,28.66%,-61.84%,-84.31%
40,EBITDA,32.78,48.69,27.6,-40.4,14.04,44.27,26.53,23.85,15.36,30.15,16.52,60.83,30.3,58.65,13.24,118.55,102.49,51.82,12.14,20.33
41,EBITDA Margin,6.99%,10.78%,7.61%,-6.38%,3.21%,10.36%,8.02%,3.85%,3.91%,7.78%,5.53%,10.53%,8.82%,14.40%,4.78%,22.07%,25.58%,15.63%,4.46%,7.76%
42,D&A For EBITDA,9.17,8.39,9.17,9.17,9.4,12.55,9.4,9.4,9.03,9.28,9.03,9.03,15.63,15.63,2.22,9.17,16.11,16.11,2.16,8.56
43,EBIT,23.61,40.3,18.43,-49.57,4.64,31.72,17.14,14.45,6.34,20.87,7.49,51.8,14.67,43.03,11.02,109.38,86.37,35.71,9.98,11.77
44,EBIT Margin,5.03%,8.92%,5.08%,-7.83%,1.06%,7.42%,5.18%,2.33%,1.61%,5.39%,2.51%,8.97%,4.27%,10.57%,3.98%,20.37%,21.56%,10.77%,3.67%,4.49%
45,Effective Tax Rate,-,-,-,-,-,0.46%,-,0.62%,11.67%,-,-,-,18.41%,3.54%,-,8.52%,2.11%,-,-,0.88%
46,Revenue as Reported,469.15,451.78,362.7,633.3,437.4,427.25,330.76,618.94,392.62,387.29,298.91,577.56,343.38,407.18,276.64,537.05,400.67,331.49,271.82,-
47,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.54,0.97
