,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,255.25,291.94,409.61,525.58,348.43,359.32,348.44,326.18,291.76,311.15,Upgrade
1,Revenue Growth (YoY),-37.68%,-44.45%,17.56%,46.27%,-0.00%,10.16%,19.43%,4.83%,-23.17%,-19.09%,Upgrade
2,Cost of Revenue,188,200.96,341.72,440.23,300.58,309.65,297.18,278.41,246.59,264.49,Upgrade
3,Gross Profit,67.25,90.98,67.89,85.35,47.86,49.67,51.25,47.77,45.17,46.66,Upgrade
4,"Selling, General & Admin",58.95,62.12,60.04,62.47,60.37,59.35,60.42,50.17,58.94,78.78,Upgrade
5,Other Operating Expenses,6391,1.44,-2.41,3.57,-4.24,-5.17,-5.29,-6.19,-8.28,-4.48,Upgrade
6,Operating Expenses,6450,63.55,57.64,66.03,56.12,54.19,55.12,43.98,50.67,74.05,Upgrade
7,Operating Income,-6383,27.43,10.25,19.32,-8.26,-4.52,-3.87,3.79,-5.5,-27.39,Upgrade
8,Interest Expense,-5.6,-7.98,-5.85,-6.07,-3.53,-2.02,-1.9,-2.2,-3.49,-4.66,Upgrade
9,Interest & Investment Income,0.81,0.79,0.41,0.34,2.9,0.48,0.47,0.39,0.72,0.78,Upgrade
10,Earnings From Equity Investments,-5.51,-16.87,0.95,1.52,2.37,1.97,1.56,0.35,-7.13,-4.53,Upgrade
11,Currency Exchange Gain (Loss),-,-,-,-,-,-0.65,-,0.23,-,-0.35,Upgrade
12,EBT Excluding Unusual Items,-6393,3.37,5.77,15.11,-6.53,-4.74,-3.75,2.55,-15.39,-36.15,Upgrade
13,Gain (Loss) on Sale of Investments,6400,5.7,-,-1.83,-,-,-,-,8.48,-2.59,Upgrade
14,Gain (Loss) on Sale of Assets,-,2.4,-,-,-,-,-26.34,-,-,-,Upgrade
15,Asset Writedown,1.89,-3.97,-,2.77,-,-0.29,-,2.49,-,-,Upgrade
16,Other Unusual Items,-,0.4,-,1.18,0.85,-,-,8.17,-,-,Upgrade
17,Pretax Income,8.83,7.9,5.77,17.22,-5.68,-5.03,-30.09,13.21,-6.91,-38.74,Upgrade
18,Income Tax Expense,0.4,1.64,0.28,3.23,0.12,4.21,0.42,2.46,1.67,0.47,Upgrade
19,Earnings From Continuing Operations,8.43,6.27,5.49,13.99,-5.8,-9.24,-30.51,10.75,-8.58,-39.21,Upgrade
20,Minority Interest in Earnings,0,-0.48,0.01,0.01,0.12,0.25,0.52,1.22,1.07,2.04,Upgrade
21,Net Income,8.43,5.79,5.5,14,-5.69,-8.99,-29.99,11.97,-7.52,-37.17,Upgrade
22,Net Income to Common,8.43,5.79,5.5,14,-5.69,-8.99,-29.99,11.97,-7.52,-37.17,Upgrade
23,Net Income Growth,53.38%,-58.64%,-,-,-,-,-,-,-,-,Upgrade
24,Shares Outstanding (Basic),230,230,230,230,230,230,230,230,230,230,Upgrade
25,Shares Outstanding (Diluted),230,230,230,230,230,230,230,230,230,230,Upgrade
26,EPS (Basic),0.04,0.03,0.02,0.06,-0.02,-0.04,-0.13,0.05,-0.03,-0.16,Upgrade
27,EPS (Diluted),0.04,0.03,0.02,0.06,-0.02,-0.04,-0.13,0.05,-0.03,-0.16,Upgrade
28,EPS Growth,53.39%,-58.64%,-,-,-,-,-,-,-,-,Upgrade
29,Free Cash Flow,46.5,65.3,19.37,-72.34,-42.14,-59.84,-9.34,39.74,-23.83,-10.99,Upgrade
30,Free Cash Flow Per Share,0.20,0.28,0.08,-0.31,-0.18,-0.26,-0.04,0.17,-0.10,-0.05,Upgrade
31,Dividend Per Share,0.030,0.035,0.010,0.010,-,0.025,-,0.035,-,-,Upgrade
32,Dividend Growth,200.00%,250.00%,-,-60.00%,-,-28.57%,-,-,-,-,Upgrade
33,Operating Margin,-2500.60%,9.39%,2.50%,3.68%,-2.37%,-1.26%,-1.11%,1.16%,-1.88%,-8.80%,Upgrade
34,Profit Margin,3.30%,1.98%,1.34%,2.66%,-1.63%,-2.50%,-8.61%,3.67%,-2.58%,-11.95%,Upgrade
35,Free Cash Flow Margin,18.22%,22.37%,4.73%,-13.76%,-12.09%,-16.65%,-2.68%,12.18%,-8.17%,-3.53%,Upgrade
36,EBITDA,-6382,28.57,11.34,20.37,-7.18,-3.52,-2.93,5.1,-4.53,-26.78,Upgrade
37,D&A For EBITDA,1.07,1.14,1.1,1.06,1.08,1,0.94,1.31,0.96,0.61,Upgrade
38,EBIT,-6383,27.43,10.25,19.32,-8.26,-4.52,-3.87,3.79,-5.5,-27.39,Upgrade
