,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,1100,1094,1582,1492,1699,1744,1103,1024,430.65,882.46
1,Short-Term Investments,-,6.56,-,11.91,-,4.14,-,3.03,-,2.6
2,Trading Asset Securities,-,-,-,-,-,-,428.7,-,216.99,-
3,Cash & Short-Term Investments,1100,1100,1582,1504,1699,1748,1532,1027,647.64,885.06
4,Cash Growth,-30.43%,-26.84%,-6.89%,-13.95%,10.90%,70.13%,136.51%,16.09%,-18.69%,-9.05%
5,Accounts Receivable,743.52,145.89,81.61,54.36,80.68,53.97,10.34,-,-,-
6,Other Receivables,-,17.65,-,7.13,-,22.48,-,13.37,-,2.53
7,Receivables,743.52,163.54,81.61,61.49,80.68,76.45,10.34,13.37,-,2.53
8,Inventory,10.72,16.17,5.02,9.45,5.25,3.93,-,-,-,-
9,Prepaid Expenses,-,-,-,-,-,-,-,38.25,-,21.52
10,Other Current Assets,109.29,64.08,92.6,61.41,80.83,56.93,56,-,27.14,-
11,Total Current Assets,1964,1344,1761,1636,1865,1885,1598,1079,674.78,909.11
12,"Property, Plant & Equipment",931.18,957.07,633.06,648.72,968.46,844.37,616.64,477,258.66,142.29
13,Long-Term Investments,33.2,18.95,18.66,18.53,21.1,27.85,29.86,31.77,39.33,32.19
14,Goodwill,24.69,24.69,24.69,24.69,24.69,24.69,24.69,24.69,24.69,24.69
15,Other Intangible Assets,79.78,85.45,80.11,84.3,90.83,60.41,63.77,66.41,69.98,72.19
16,Long-Term Deferred Tax Assets,55.07,59.84,50.75,54.29,46.61,51.65,-,-,-,-
17,Other Long-Term Assets,19.3,10.22,349.98,363.23,17.74,45.81,75.2,52.12,38.1,24.58
18,Total Assets,3107,2500,2918,2830,3035,2940,2408,1731,1106,1205
19,Accounts Payable,83.08,72.45,47.72,95.56,85.73,70.86,28.4,23.36,11.4,13.08
20,Accrued Expenses,140.24,125.68,-,120.65,-,75.32,-,60.58,-,91.76
21,Short-Term Debt,120,120,100,139.9,30,-,-,30,60,85
22,Current Portion of Long-Term Debt,600.1,486.65,296,370.41,268.93,39.8,23.95,14.75,2,-
23,Current Portion of Leases,9.45,9.76,9.31,8.08,13.02,9.65,9.66,5.81,6.47,7.19
24,Current Income Taxes Payable,-,-,-,-,0.25,-,5.31,3.56,-,-
25,Current Unearned Revenue,37.49,38.41,24.35,24.35,24.35,24.36,0.03,0.04,0.05,0.05
26,Other Current Liabilities,75.01,81.24,165.5,122.21,190.02,141.12,126.44,138.05,56.78,4.98
27,Total Current Liabilities,1065,934.17,642.88,881.15,612.3,361.11,193.79,276.15,136.69,202.06
28,Long-Term Debt,959.14,1166,1259,1265,1241,1027,622.54,473.06,212.86,-
29,Long-Term Leases,11.41,12.92,11.88,9.14,8.14,8.25,11.26,6.08,6.75,9.21
30,Long-Term Unearned Revenue,270.07,287.55,207.55,218.63,230.9,243.28,40.2,40.21,38.42,35.1
31,Long-Term Deferred Tax Liabilities,5.85,10.55,11.35,12.15,12.95,13.75,14.55,15.36,16.16,16.96
32,Other Long-Term Liabilities,18.8,18.3,185.31,35.33,52.63,52.34,75.97,73.57,82.45,51.25
33,Total Liabilities,2331,2430,2318,2422,2158,1705,958.31,884.42,493.33,314.58
34,Common Stock,0.21,0.2,0.2,0.18,0.18,0.18,0.17,0.15,0.14,0.14
35,Additional Paid-In Capital,6490,5951,5932,5393,5358,5342,5101,4130,3454,3454
36,Retained Earnings,-5202,-5365,-4842,-4439,-3963,-3557,-3151,-2774,-2416,-2097
37,Treasury Stock,-19.82,-21.35,-21.65,-26.55,-0,-0,-0,-0,-0,-0
38,Comprehensive Income & Other,-501.79,-504.46,-479.13,-518.51,-517.93,-550.95,-500.37,-509.81,-426.59,-467.5
39,Total Common Equity,766.4,60.42,589.89,408.66,876.85,1235,1450,846.62,612.21,890.48
40,Minority Interest,10.04,10.22,10.29,-,-,-,-,-,-,-
41,Shareholders' Equity,776.44,70.63,600.18,408.66,876.85,1235,1450,846.62,612.21,890.48
42,Total Liabilities & Equity,3107,2500,2918,2830,3035,2940,2408,1731,1106,1205
43,Total Debt,1700,1796,1676,1793,1561,1084,667.41,529.7,288.08,101.41
44,Net Cash (Debt),-599.78,-695.21,-94.53,-288.58,137.49,663.68,864.31,497.73,359.56,783.65
45,Net Cash Growth,-,-,-,-,-84.09%,33.34%,140.38%,-36.49%,-,-
