,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,5594,5096,6294,5397,5915,4764,5525
1,Revenue Growth (YoY),-11.12%,-5.58%,6.42%,13.29%,7.05%,-,-
2,Cost of Revenue,4974,4496,5582,4759,5238,4209,4924
3,Gross Profit,619.97,599.86,712.63,638.74,676.68,554.48,601.46
4,"Selling, General & Admin",465.31,406.65,388.87,416.95,403.39,381.89,376.91
5,Research & Development,66.32,71.48,74.11,86.7,86.28,74.52,65.22
6,Other Operating Expenses,-32.91,-2.21,-22.91,6.86,-28.57,-14.31,0.87
7,Operating Expenses,498.73,491.93,440.06,513.26,461.1,447.26,443
8,Operating Income,121.24,107.94,272.57,125.49,215.58,107.22,158.46
9,Interest Expense,-52.53,-37.37,-38.43,-40.24,-43.5,-44.41,-33.78
10,Interest & Investment Income,27.89,39.01,20.53,35.47,15.42,28.86,16.35
11,Earnings From Equity Investments,-4.01,-8.13,7.45,3.89,9.44,6.95,9.54
12,Currency Exchange Gain (Loss),-,1.19,-,1.18,1.7,-1.11,-0.4
13,Other Non Operating Income (Expenses),-,-7.55,-,0.57,-,-0.21,-
14,EBT Excluding Unusual Items,92.59,95.09,262.12,126.35,198.64,97.3,150.17
15,Gain (Loss) on Sale of Investments,6.72,15.41,10.4,16.29,8.45,10.5,-
16,Gain (Loss) on Sale of Assets,-,-2.25,-,-4.09,-,-0,-0.22
17,Asset Writedown,-0.05,0.04,-0.04,0.04,-0.04,-,-
18,Other Unusual Items,-,0.26,-,0.72,-,-4.43,4.21
19,Pretax Income,99.26,108.55,272.48,139.31,207.05,103.37,154.16
20,Income Tax Expense,15.31,19.11,21.93,18.73,21.5,15.8,20.36
21,Earnings From Continuing Operations,83.96,89.44,250.55,120.59,185.55,87.57,133.79
22,Minority Interest in Earnings,4.55,11.47,10.26,8.26,8.9,3.57,5.42
23,Net Income,88.51,100.91,260.81,128.85,194.45,91.14,139.21
24,Net Income to Common,88.51,100.91,260.81,128.85,194.45,91.14,139.21
25,Net Income Growth,-66.06%,-21.68%,34.12%,41.38%,39.68%,-,-
26,Shares Outstanding (Basic),1519,1569,1580,1500,1500,1500,1500
27,Shares Outstanding (Diluted),1519,1569,1580,1500,1500,1500,1500
28,Shares Change (YoY),-3.84%,4.61%,5.34%,-,-,-,-
29,EPS (Basic),0.06,0.06,0.17,0.09,0.13,0.06,0.09
30,EPS (Diluted),0.06,0.06,0.17,0.09,0.13,0.06,0.09
31,EPS Growth,-64.71%,-25.13%,27.32%,41.38%,39.68%,-,-
32,Free Cash Flow,191.04,-350,188.9,-38.31,462.51,157.85,92.15
33,Free Cash Flow Per Share,0.13,-0.22,0.12,-0.03,0.31,0.11,0.06
34,Operating Margin,2.17%,2.12%,4.33%,2.32%,3.64%,2.25%,2.87%
35,Profit Margin,1.58%,1.98%,4.14%,2.39%,3.29%,1.91%,2.52%
36,Free Cash Flow Margin,3.41%,-6.87%,3.00%,-0.71%,7.82%,3.31%,1.67%
37,EBITDA,155.82,124.33,305.25,150.93,242.76,133.33,179.28
38,D&A For EBITDA,34.58,16.39,32.68,25.45,27.18,26.11,20.81
39,EBIT,121.24,107.94,272.57,125.49,215.58,107.22,158.46
