,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,2296,2115,2075,1466,1898,564.67,-
1,Short-Term Investments,-,-,-,-,80,250,-
2,Trading Asset Securities,652.09,180.43,587.81,623.8,229.95,1040,-
3,Cash & Short-Term Investments,2948,2295,2663,2090,2207,1855,-
4,Cash Growth,10.70%,9.84%,20.62%,12.67%,-,-,-
5,Accounts Receivable,1404,1355,1312,1288,1253,1394,-
6,Other Receivables,176.68,149.56,173.71,115.27,104.92,89.08,-
7,Receivables,1580,1507,1486,1443,1376,1502,-
8,Inventory,911.51,1098,802.16,861.25,691.97,703.57,-
9,Restricted Cash,281.43,311.31,297.03,289.31,267.31,272.69,-
10,Other Current Assets,57.84,54.27,51.48,46.33,61.66,71.76,-
11,Total Current Assets,5779,5266,5299,4730,4604,4405,-
12,"Property, Plant & Equipment",1088,1067,993.59,997.19,906.32,917.65,-
13,Long-Term Investments,1011,582.26,526.54,488.6,468.6,517.6,-
14,Goodwill,-,196.05,-,170.46,170.46,170.46,-
15,Other Intangible Assets,264.46,76.56,234.84,71.3,70.94,77.27,-
16,Long-Term Deferred Tax Assets,7.22,6.93,6.32,5.79,5.57,6.84,-
17,Other Long-Term Assets,186.68,169.84,182.58,142.03,163.7,146.04,-
18,Total Assets,8577,7591,7447,6810,6580,6420,-
19,Accounts Payable,417.03,380.57,534.98,535.29,504.75,361.08,-
20,Accrued Expenses,284.52,304.36,286.83,352.11,275.69,308.46,-
21,Short-Term Debt,2757,1759,1175,1229,1280,1425,-
22,Current Portion of Long-Term Debt,7.9,9.45,9.24,2.14,9.92,10.63,-
23,Current Portion of Leases,30.72,37.1,33.15,34.24,51.37,52.05,-
24,Current Income Taxes Payable,6.87,11.92,14.89,13.89,14.77,11.67,-
25,Current Unearned Revenue,108.28,137.63,54.21,59.11,53.82,60.2,-
26,Other Current Liabilities,931.3,877.11,1084,929.45,869.16,827.83,-
27,Total Current Liabilities,4544,3518,3193,3155,3059,3057,-
28,Long-Term Debt,168.89,126.34,123.64,103.75,15.68,17.08,-
29,Long-Term Leases,388.56,475.18,462.66,433.39,492.76,518.94,-
30,Long-Term Unearned Revenue,33.2,37.37,22.47,23.26,28.33,30.85,-
31,Long-Term Deferred Tax Liabilities,8.58,9.53,7.49,7.59,8.64,11.04,-
32,Other Long-Term Liabilities,89.79,87.91,74.96,66.99,76.94,72.27,-
33,Total Liabilities,5233,4254,3884,3790,3682,3707,-
34,Common Stock,1589,1589,1589,1500,1500,1500,-
35,Retained Earnings,-,846.42,-,605.47,476.63,282.19,-
36,Comprehensive Income & Other,1646,790.01,1913,849.21,852.36,853.67,-
37,Total Common Equity,3234,3225,3502,2955,2829,2636,-
38,Minority Interest,110.23,112.12,61.55,64.81,69.64,77.1,-
39,Shareholders' Equity,3344,3337,3563,3019,2899,2713,-
40,Total Liabilities & Equity,8577,7591,7447,6810,6580,6420,-
41,Total Debt,3353,2407,1804,1803,1850,2023,-
42,Net Cash (Debt),-405.82,-112.24,858.67,287.14,357.73,-168.84,-
43,Net Cash Growth,-,-,140.03%,-,-,-,-
44,Net Cash Per Share,-0.27,-0.07,0.54,0.19,0.24,-0.11,-
45,Filing Date Shares Outstanding,1589,1589,1589,1589,1500,1500,1500
46,Total Common Shares Outstanding,1589,1589,1589,1500,1500,1500,1500
47,Working Capital,1235,1748,2106,1574,1545,1348,-
48,Book Value Per Share,2.04,2.03,2.20,1.97,1.89,1.76,-
49,Tangible Book Value,2970,2952,3267,2713,2588,2388,-
50,Tangible Book Value Per Share,1.87,1.86,2.06,1.81,1.73,1.59,-
51,Buildings,-,29.19,-,27.24,2.27,2.27,-
52,Machinery,-,143.13,-,136.62,120.44,114.15,-
53,Construction In Progress,-,144.11,-,127.94,34.33,15.71,-
54,Leasehold Improvements,-,392.49,-,317.04,311.33,296.72,-
