,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,1601,3924,9674,9023,-,-,-,-
1,Market Cap Growth,-56.51%,-56.51%,-,-,-,-,-,-
2,Enterprise Value,2155,4171,8813,8772,-,-,-,-
3,Last Close Price,1.04,2.47,5.99,5.59,-,-,-,-
4,PE Ratio,7.89,19.28,24.28,21.43,-,-,-,-
5,Forward PE,8.80,11.31,19.11,19.65,-,-,-,-
6,PS Ratio,0.14,0.34,0.77,0.71,-,-,-,-
7,PB Ratio,0.48,1.09,2.63,2.34,-,-,-,-
8,P/TBV Ratio,1.23,1.23,2.97,2.56,-,-,-,-
9,P/FCF Ratio,-,-22.97,-,55.45,-,-,-,-
10,P/OCF Ratio,904.55,904.55,-,27.71,-,-,-,-
11,EV/Sales Ratio,0.19,0.36,0.70,0.69,-,-,-,-
12,EV/EBITDA Ratio,6.09,13.86,18.62,17.80,-,-,-,-
13,EV/EBIT Ratio,9.60,16.94,21.02,20.39,-,-,-,-
14,EV/FCF Ratio,-12.62,-24.42,-,53.91,-,-,-,-
15,Debt / Equity Ratio,1.00,1.00,0.72,0.51,0.60,0.64,0.75,-
16,Debt / FCF Ratio,-,-21.10,-,11.98,-,2.98,8.09,-
17,Return on Capital Employed (ROCE),5.48%,5.68%,9.34%,9.36%,9.33%,9.17%,7.90%,-
18,Earnings Yield,12.71%,5.19%,4.12%,4.67%,-,-,-,-
19,FCF Yield,-10.67%,-4.35%,-1.83%,1.80%,-,-,-,-
20,Buyback Yield / Dilution,-0.27%,3.84%,-4.61%,-5.34%,-,-,-,-
21,Total Shareholder Return,4.28%,3.84%,-4.61%,-5.34%,-,-,-,-
