,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,645.26,630.39,528.71,690.82,723.53,684.02,688.76,660.01,708.44,631.28,486.11,460.6,577.18,541.83,441.91,489.1,511.63,426.3,426.3
1,Other Revenue,-4.54,4.54,-,9.07,-3.75,3.75,-,9.3,-6,6,-,11.84,-5.62,5.62,-,9.64,-4.87,2.43,2.43
2,Revenue,640.72,634.92,528.71,699.89,719.78,687.77,688.76,669.31,702.44,637.28,486.11,472.43,571.56,547.45,441.91,498.75,506.76,428.73,428.73
3,Revenue Growth (YoY),-10.98%,-7.68%,-23.24%,4.57%,2.47%,7.92%,41.69%,41.67%,22.90%,16.41%,10.00%,-5.28%,12.79%,27.69%,3.07%,-,-,-,-
4,Cost of Revenue,588.54,596.01,490.84,708.27,665.34,648.42,633.69,618.47,623.66,578.64,442.84,436.8,520.28,514.81,383.56,459.17,428.38,364.47,364.47
5,Gross Profit,52.18,38.92,37.87,-8.37,54.44,39.35,55.07,50.84,78.78,58.64,43.27,35.63,51.28,32.65,58.36,39.57,78.39,64.26,64.26
6,"Selling, General & Admin",33.72,32.5,32.73,38.59,35.54,30.58,31.8,41.05,32.29,27.44,23.09,36.98,10.93,21.57,22.34,11.81,30.04,26,26
7,Research & Development,2.83,2.59,2.04,4.35,1.3,0.96,2.35,1.86,2.82,0.95,1.11,0.67,1.05,1.03,1,1.14,0.78,0.9,0.9
8,Other Operating Expenses,3.13,3.27,3.02,4.01,3.31,-3.59,1.76,4.58,0.58,3.49,0.92,3.14,2.04,1.1,1.4,3.81,0.41,2.55,2.55
9,Operating Expenses,40.47,38.55,35.51,51.15,39.1,25.45,37.58,42.29,40.11,31.59,27.64,41.74,13.11,20.34,26.85,6.35,34.19,32.07,32.07
10,Operating Income,11.71,0.37,2.35,-59.52,15.34,13.9,17.49,8.55,38.67,27.05,15.63,-6.11,38.17,12.31,31.51,33.22,44.2,32.19,32.19
11,Interest Expense,-3.65,-4.7,-4.13,-,-3.79,-4.92,-3.76,-4.25,-1.08,-1.13,-2.63,-2.58,-2.94,-3.44,-3.31,-3.87,-4.12,-4.48,-4.48
12,Interest & Investment Income,1.23,2.8,2.13,4.04,1.7,1.78,2.57,1.77,1.47,1.73,1.72,1.34,0.27,0.11,0.22,0.35,0.51,0.28,0.28
13,Currency Exchange Gain (Loss),-5.24,5.24,-,2.87,-1.14,1.14,-,5.46,-3.7,3.7,-,-1.6,0.43,-0.43,-,-2.64,-,-,-
14,Other Non Operating Income (Expenses),5.39,-2.52,1.42,-0.19,3.69,-0.51,-2.16,-14.75,8.81,-1.44,-0.44,-2.45,-0.32,0.71,0.51,-4.89,1.34,-0.12,-0.12
