,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1769,1765,1521,1890,2503,2576,2566,3132,3086,2624,3132,3390,4260,-,-,-,-,-,-,-
1,Market Cap Growth,-31.50%,-31.50%,-40.74%,-39.66%,-18.89%,-1.83%,-18.07%,-7.61%,-27.56%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1993,1978,1694,2067,2680,2676,2610,3074,3028,2472,2978,3036,3906,-,-,-,-,-,-,-
3,Last Close Price,8.91,8.89,7.66,9.52,12.61,12.88,12.83,15.48,15.25,12.97,15.38,16.64,20.91,-,-,-,-,-,-,-
4,PE Ratio,-,-33.11,-28.82,-,-,114.77,51.03,41.26,38.94,39.67,51.05,81.06,-,-,-,-,-,-,-,-
5,Forward PE,74.25,18.06,18.06,18.06,18.06,18.06,17.82,22.21,22.36,19.44,23.73,30.27,38.04,-,-,-,-,-,-,-
6,PS Ratio,0.72,0.70,0.59,0.72,0.90,0.93,0.93,1.16,1.24,1.14,1.45,1.63,2.10,-,-,-,-,-,-,-
7,PB Ratio,1.65,1.64,1.43,1.78,2.35,2.30,2.26,2.70,2.68,2.29,2.81,3.08,3.91,-,-,-,-,-,-,-
8,P/TBV Ratio,1.72,1.72,1.49,1.86,2.46,2.40,2.36,2.81,2.79,2.38,2.90,3.17,4.03,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-21.02,-,-,-,-,-,-15.86,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,18.88,18.88,-,9.27,12.61,15.89,20.05,23.38,52.08,29.37,30.01,-,42.06,-,-,-,-,-,-,-
11,EV/Sales Ratio,0.80,0.79,0.66,0.78,0.96,0.97,0.95,1.14,1.21,1.08,1.37,1.46,1.92,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,77.33,101.96,93.24,75.40,-,26.52,21.27,23.66,23.93,22.40,27.28,32.36,35.82,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-43.86,-40.86,-74.00,-,48.41,33.20,33.50,33.69,32.85,39.85,50.61,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-45.84,-,-,-,-22.50,-,-,-,-,-,-15.08,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.68,0.68,0.73,0.48,0.57,0.57,0.43,0.36,0.33,0.30,0.25,0.23,0.17,0.27,0.62,0.60,0.60,-,-,1.00
16,Debt / EBITDA Ratio,28.26,6.80,9.33,7.35,-,6.29,3.94,3.76,4.99,1.81,1.89,2.61,17.93,1.62,3.95,1.87,1.79,-,-,2.26
17,Debt / FCF Ratio,-,-,-,-,-5.14,-,-,-,-,-,-1.38,-,-,-,7.44,-,-,-,-,33.04
18,Asset Turnover,1.09,1.13,0.98,1.28,1.35,1.34,1.38,1.38,1.54,1.50,1.20,1.16,1.61,-,-,-,-,-,-,
19,Inventory Turnover,6.24,6.15,6.52,6.46,9.19,6.69,6.02,6.02,6.60,7.88,8.45,6.49,6.06,6.86,-,-,-,-,-,-
20,Quick Ratio,0.58,0.58,0.58,0.49,0.63,0.62,0.57,0.67,0.71,0.88,1.04,1.18,1.23,1.36,0.37,-,0.46,-,-,-
21,Current Ratio,0.91,0.91,0.90,0.88,0.87,1.02,1.08,1.23,1.25,1.41,1.56,1.78,1.86,1.91,0.97,-,0.92,-,-,-
22,Return on Equity (ROE),2.52%,0.61%,-2.25%,-20.37%,2.58%,1.85%,2.92%,0.51%,12.42%,11.17%,4.30%,-4.25%,14.85%,8.90%,21.55%,-,-,-,-,
23,Return on Assets (ROA),1.24%,0.04%,0.27%,-6.82%,1.80%,1.70%,2.19%,1.10%,5.30%,3.98%,2.41%,-0.93%,6.73%,-,-,-,-,-,-,
24,Return on Capital (ROIC),1.61%,0.05%,0.36%,-8.65%,2.27%,2.18%,2.82%,1.42%,6.72%,4.93%,2.97%,-1.14%,8.44%,3.74%,9.99%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-3.92%,-3.63%,-2.44%,-,4.65%,6.57%,7.48%,7.47%,6.24%,6.40%,5.16%,-,10.28%,22.05%,-,27.73%,-,-,-
26,Earnings Yield,-3.01%,-3.02%,-3.47%,-2.60%,-1.39%,0.87%,1.96%,2.42%,2.57%,2.52%,1.96%,1.23%,1.33%,-,-,-,-,-,-,-
