,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,503.62,563.72,338.1,465.55,465.41,383.63,372.58,397.36,400.93,425.38,407.05,474.45,652.32,151.76,-,136.01,-,-,-
1,Cash & Short-Term Investments,503.62,563.72,338.1,465.55,465.41,383.63,372.58,397.36,400.93,425.38,407.05,474.45,652.32,151.76,136.01,136.01,-,-,128.38
2,Cash Growth,8.21%,46.95%,-9.25%,17.16%,16.08%,-9.82%,-8.47%,-16.25%,-38.54%,180.29%,199.29%,248.84%,-,-,5.94%,-,-,-,-
3,Accounts Receivable,174.83,110.47,112.67,150.34,111.97,90.73,116.67,106.64,160.17,121.26,115.73,78.78,64.83,77.81,-,83.28,-,-,-
4,Other Receivables,28.14,29.35,37.03,45.92,32.32,33.67,40.56,47.1,47.21,60.47,52.26,37.28,33.76,-6.11,-,48.07,-,-,-
5,Receivables,202.96,139.82,149.7,196.26,144.29,124.4,157.24,153.74,207.38,181.73,167.99,116.05,98.59,112.24,-,131.35,-,-,-
6,Inventory,394.92,370.65,360.83,246.77,369.5,425.75,436.47,405.25,344.78,288.3,259.64,286.03,290.82,315.78,-,255.58,-,-,-
7,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,0.11,-,0.24,-,0.01,-,-,-
8,Other Current Assets,8.55,10.81,22.84,4.54,19.8,19.29,6.99,14.74,19.71,18.17,28.57,19.71,12.05,11.79,-,12.99,-,-,-
9,Total Current Assets,1110,1085,871.47,913.13,998.99,953.08,973.27,971.09,972.8,913.58,863.25,896.35,1054,591.82,-,535.93,-,-,-
10,"Property, Plant & Equipment",1128,1132,1140,1156,972.09,955.86,905.38,879.26,822.52,752.59,628.7,594.22,530.05,486.34,-,493.42,-,-,-
11,Other Intangible Assets,45.58,45.91,46.24,46.57,46.9,47.23,44.8,45.12,45.43,32.76,32.98,33.21,33.62,33.65,-,34.1,-,-,-
12,Long-Term Deferred Tax Assets,40.07,39.51,38.75,39.45,17.4,14.04,14.41,14.81,10.94,10.78,6.89,6.03,1.47,4.7,-,2.16,-,-,-
13,Long-Term Deferred Charges,37.76,39.11,36.33,34.42,35.51,34.88,34.99,33.29,31.35,29.92,29.33,28.96,30.24,30.34,-,27.65,-,-,-
14,Other Long-Term Assets,4.41,4.77,6.45,5.01,100.2,76.52,44.2,35.92,13.6,12.8,87.24,36.55,22.98,14.9,-,0.42,-,-,-
15,Total Assets,2366,2347,2139,2194,2171,2082,2017,1979,1897,1752,1648,1595,1672,1162,-,1094,-,-,-
