,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,6622,7133,4283,5992,3277,6178,5176,6590,1834,-,3359,-,3096,1985,2899,4069,3884,3147,3041,3633,Upgrade
1,Cash & Short-Term Investments,6622,7133,4283,5992,3277,6178,5176,6590,1834,-,3359,-,3096,1985,2899,4069,3884,3147,3041,3633,Upgrade
2,Cash Growth,102.06%,15.46%,-17.26%,-9.07%,78.68%,-,54.11%,-,-40.77%,-,15.88%,-,-20.27%,-36.94%,-4.69%,11.99%,13.13%,-49.15%,3.85%,41.22%,Upgrade
3,Accounts Receivable,836099,367083,778081,779870,670327,688473,874724,730500,985712,-,535898,-,131457,42243,99727,4212,104333,309749,31635,69684,Upgrade
4,Other Receivables,7254,16100,36236,18555,28737,9704,13974,27681,7395,-,24122,-,14448,8290,7375,5290,4830,10176,6704,6623,Upgrade
5,Receivables,843353,383183,814317,798425,699064,698177,888698,758181,993107,-,560021,-,145906,50533,107102,9502,109164,319925,38339,76307,Upgrade
6,Inventory,181453,318309,163539,75425,73791,89490,112796,94758,192521,-,268685,-,611994,820649,893990,1082638,733228,735387,747781,760456,Upgrade
7,Prepaid Expenses,32945,186503,33414,34236,38923,33325,21031,24263,28373,-,45470,-,61959,28060,20890,15760,32566,10911,10955,23046,Upgrade
8,Other Current Assets,-,1282,3755,2034,-,642.61,193.51,-,42.4,-,321.8,-,-,5652,5216,9885,1639,3822,3363,1278,Upgrade
9,Total Current Assets,1064373,896409,1019307,916113,815055,827812,1027894,883792,1215879,-,877856,-,822956,906879,1030097,1121853,880480,1073193,803479,864720,Upgrade
10,"Property, Plant & Equipment",1360303,1398134,1467994,1554375,1647152,1622870,1700274,1927525,2032065,-,2227399,-,2416316,2376604,2471366,2401266,2439362,2446664,2492805,2526939,Upgrade
11,Other Intangible Assets,-,-,2115,2131,2147,2163,2178,2194,2210,-,2242,-,2274,2290,2306,2321,2337,2353,2369,2385,Upgrade
12,Long-Term Deferred Tax Assets,38705,38705,38705,38705,38705,29474,29474,29474,29474,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Other Long-Term Assets,115724,96492,93314,92796,91550,83841,89984,91822,93617,-,234541,-,233631,230227,232095,217330,239131,253585,293560,237301,Upgrade
14,Total Assets,2579104,2429740,2621435,2604120,2594609,2566159,2849805,2934808,3373244,-,3342038,-,3475176,3516000,3735863,3742770,3561311,3775795,3592214,3631344,Upgrade
15,Accounts Payable,-,430554,332222,348370,406803,348407,273463,301469,376865,-,379131,-,387675,318530,301799,370921,349096,342886,379838,436963,Upgrade
16,Accrued Expenses,158201,137766,162439,102448,170541,172456,174648,128150,195156,-,180983,-,110533,119200,111862,65780,96023,85714,100513,105360,Upgrade
17,Short-Term Debt,966653,896911,939310,1068821,979989,750269,941072,869381,1089968,-,841251,-,998389,888572,988983,1032154,869393,1075949,707827,431929,Upgrade
18,Current Income Taxes Payable,116098,26298,58097,37358,29818,58717,68486,59857,144668,-,54520,-,61871,77259,72689,27501,42617,42094,40557,43621,Upgrade
19,Other Current Liabilities,700067,287111,326712,219303,30796,318615,347813,315697,223362,-,285837,-,23426,162431,131440,88426,23546,204681,209679,259917,Upgrade
20,Total Current Liabilities,1941019,1778640,1818781,1776300,1617947,1648464,1805482,1674555,2030018,-,1741723,-,1581894,1565992,1606773,1584783,1380675,1751324,1438415,1277790,Upgrade
21,Long-Term Debt,107200,235715,283172,236783,402147,378502,537488,758962,854287,-,1142112,-,1412572,1486635,1677157,1622711,1706299,1588386,1864875,1893625,Upgrade
22,Other Long-Term Liabilities,6190,-,36.37,36.37,36.37,55.76,152.71,95.45,113.93,-,152.71,-,191.49,210.89,230.28,59250,269.06,-,-,321.49,Upgrade
23,Total Liabilities,2054409,2014355,2101989,2013120,2020130,2027021,2343124,2433612,2884420,-,2883988,-,2994658,3052838,3284160,3266744,3087243,3339710,3303290,3171736,Upgrade
24,Common Stock,369991,369991,369991,369991,369991,369991,369991,369991,369991,-,369991,-,369991,369991,369991,369991,369991,369991,369991,369991,Upgrade
25,Retained Earnings,154789,45479,149539,221094,204572,169231,136775,131289,118918,-,88143,-,110611,93255,81797,106120,104161,66178,-80983,89702,Upgrade
26,Comprehensive Income & Other,-84.67,-84.67,-84.67,-84.67,-84.67,-84.67,-84.67,-84.67,-84.67,-,-84.67,-,-84.67,-84.67,-84.67,-84.67,-84.67,-84.67,-84.67,-84.67,Upgrade
27,Shareholders' Equity,524695,415385,519446,591000,574479,539138,506681,501196,488825,-,458050,-,480517,463162,451703,476027,474068,436085,288923,459608,Upgrade
28,Total Liabilities & Equity,2579104,2429740,2621435,2604120,2594609,2566159,2849805,2934808,3373244,-,3342038,-,3475176,3516000,3735863,3742770,3561311,3775795,3592214,3631344,Upgrade
29,Total Debt,1073853,1132625,1222483,1305604,1382137,1128771,1478561,1628343,1944255,-,1983364,-,2410961,2375207,2666140,2654866,2575692,2664335,2572702,2325553,Upgrade
30,Net Cash (Debt),-1067231,-1125492,-1218200,-1299612,-1378859,-1122593,-1473384,-1621753,-1942421,-,-1980005,-,-2407865,-2373223,-2663241,-2650797,-2571808,-2661188,-2569661,-2321920,Upgrade
31,Net Cash Per Share,-28845.81,-30415.47,-32929.61,-35128.56,-37260.41,-30333.04,-39792.52,-43784.73,-52492.81,-,-53485.51,-,-65068.81,-64204.35,-71921.96,-71725.12,-69537.95,-71922.11,-69456.76,-62279.32,Upgrade
32,Filing Date Shares Outstanding,37,37,37,37,37,37,37,37,37,36.85,37,36.99,37,37,37,37,36.98,37,37,37.28,Upgrade
33,Total Common Shares Outstanding,37,37,37,37,37,37,37,37,37,36.85,37,36.99,37,37,37,37,36.98,37,37,37.28,Upgrade
34,Working Capital,-876646,-882231,-799474,-860187,-802892,-820652,-777588,-790763,-814140,-,-863867,-,-758939,-659113,-576676,-462929,-500195,-678131,-634936,-413070,Upgrade
35,Book Value Per Share,14181.29,11226.90,14039.40,15973.35,15526.82,14571.64,13694.41,13546.15,13211.79,-,12380.02,-,12987.26,12518.19,12208.49,12865.89,12818.10,11786.36,7809.47,12327.77,Upgrade
36,Tangible Book Value,524695,415385,517331,588869,572332,536975,504503,499001,486614,-,455808,-,478243,460872,449398,473705,471731,433732,286554,457223,Upgrade
37,Tangible Book Value Per Share,14181.29,11226.90,13982.24,15915.76,15468.80,14513.19,13635.53,13486.84,13152.05,-,12319.42,-,12925.81,12456.30,12146.17,12803.15,12754.90,11722.76,7745.43,12263.80,Upgrade
38,Buildings,1699769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
39,Machinery,3183404,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
40,Construction In Progress,88176,73400,73146,73145,73145,72870,72842,72870,72870,-,77522,-,77123,723152,715678,626087,614562,785879,849850,843086,Upgrade
