,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1128710,347555,755494,581010,513350,902054,970381,835673,1164305,642530,963655,840501,864509,724665,854374,227391,501192,791039,432716,468737,Upgrade
1,Revenue Growth (YoY),119.87%,-61.47%,-22.14%,-30.47%,-55.91%,40.39%,0.70%,-0.57%,34.68%,-11.33%,12.79%,269.63%,72.49%,-8.39%,97.44%,-51.49%,-11.63%,29.13%,-26.26%,-31.50%,Upgrade
2,Cost of Revenue,947978,410481,669755,502775,387165,784597,851005,741504,1009102,571604,854132,758776,756518,642762,760364,165343,377486,558152,493289,399630,Upgrade
3,Gross Profit,180732,-62926,85739,78236,126185,117457,119376,94169,155203,70926,109523,81725,107990,81902,94010,62048,123706,232887,-60573,69107,Upgrade
4,"Selling, General & Admin",45253,37360,44876,41228,57087,52738,52319,35270,67881,35226,53024,37092,45802,32220,33547,19072,32130,28564,33987,32055,Upgrade
5,Operating Expenses,45253,37360,44876,41228,57087,52738,52319,35270,67881,35226,53024,37092,45802,32220,33547,19072,32130,28564,33987,32055,Upgrade
6,Operating Income,135479,-100286,40863,37008,69098,64719,67057,58899,87322,35700,56499,44633,62188,49682,60463,42976,91576,204322,-94560,37052,Upgrade
7,Interest Expense,-14137,-13340,-22805,-18504,-20248,-20125,-32432,-38235,-44566,-32369,-44369,-37892,-49652,-49652,-49652,-41201,-47186,-47186,-47186,-35313,Upgrade
8,Interest & Investment Income,11.83,9.62,1318,11.03,1282,1277,18.84,33.46,828.01,7.85,1025,628.26,5029,10.49,3205,7.06,1304,8.42,1005,11.7,Upgrade
9,Other Non Operating Income (Expenses),-4142,1322,1618,1231,-5308,-5301,-5624,-5234,-8826,1688,-606.44,619.59,4728,11418,943.08,176.63,-9867,-2064,561.09,299.39,Upgrade
10,EBT Excluding Unusual Items,117212,-112294,20994,19747,44824,40571,29020,15464,34758,5026,12548,7989,22293,11459,14960,1959,35827,155081,-140180,2051,Upgrade
11,Pretax Income,117212,-112294,20994,19747,44824,40571,29020,15464,34758,5026,12548,7989,22293,11459,14960,1959,35827,155081,-140180,2051,Upgrade
12,Income Tax Expense,9400,-8165,4199,3949,9483,8114,5804,3093,8005,788.21,4107,-,4938,-,-,-,-2156,2156,-,410.11,Upgrade
13,Net Income,107812,-104129,16795,15797,35341,32457,23216,12371,26754,4238,8440,7989,17355,11459,14960,1959,37983,152925,-140180,1640,Upgrade
14,Net Income to Common,107812,-104129,16795,15797,35341,32457,23216,12371,26754,4238,8440,7989,17355,11459,14960,1959,37983,152925,-140180,1640,Upgrade
15,Net Income Growth,205.06%,-,-27.66%,27.69%,32.10%,665.81%,175.05%,54.85%,54.15%,-63.01%,-43.58%,307.85%,-54.31%,-92.51%,-,19.41%,6088.28%,1034.55%,-,-74.87%,Upgrade
16,Shares Outstanding (Basic),37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,Upgrade
17,Shares Outstanding (Diluted),37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,Upgrade
18,Shares Change (YoY),-0.02%,-0.01%,-0.09%,-0.12%,0.01%,0.42%,0.02%,0.15%,-0.00%,-0.30%,-0.03%,0.07%,0.06%,-0.10%,0.09%,-0.87%,2.43%,-0.08%,0.13%,0.53%,Upgrade
19,EPS (Basic),2914.00,-2814.00,454.00,427.00,955.00,877.00,627.00,334.00,723.00,115.00,228.00,216.00,469.00,310.00,404.00,53.00,1027.00,4133.00,-3789.00,44.00,Upgrade
20,EPS (Diluted),2914.00,-2814.00,454.00,427.00,955.00,877.00,627.00,334.00,723.00,115.00,228.00,216.00,469.00,310.00,404.00,53.00,1027.00,4133.00,-3789.00,44.00,Upgrade
21,EPS Growth,205.13%,-,-27.59%,27.84%,32.09%,662.61%,175.00%,54.63%,54.16%,-62.90%,-43.56%,307.55%,-54.33%,-92.50%,-,20.45%,5941.18%,1035.44%,-,-75.00%,Upgrade
22,Free Cash Flow,58249,92697,81400,79236,-256281,350781,126151,342834,-,162813,-,280196,-34652,290523,-12977,-78988,87489,-91527,-225542,-18257,Upgrade
23,Free Cash Flow Per Share,1574.40,2505.07,2200.35,2141.75,-6925.40,9478.27,3407.02,9255.97,-,4417.77,-,7575.87,-936.42,7859.71,-350.45,-2137.25,2365.58,-2473.63,-6096.29,-489.70,Upgrade
24,Gross Margin,16.01%,-18.11%,11.35%,13.47%,24.58%,13.02%,12.30%,11.27%,13.33%,11.04%,11.37%,9.72%,12.49%,11.30%,11.00%,27.29%,24.68%,29.44%,-14.00%,14.74%,Upgrade
25,Operating Margin,12.00%,-28.85%,5.41%,6.37%,13.46%,7.17%,6.91%,7.05%,7.50%,5.56%,5.86%,5.31%,7.19%,6.86%,7.08%,18.90%,18.27%,25.83%,-21.85%,7.90%,Upgrade
26,Profit Margin,9.55%,-29.96%,2.22%,2.72%,6.88%,3.60%,2.39%,1.48%,2.30%,0.66%,0.88%,0.95%,2.01%,1.58%,1.75%,0.86%,7.58%,19.33%,-32.40%,0.35%,Upgrade
27,Free Cash Flow Margin,5.16%,26.67%,10.77%,13.64%,-49.92%,38.89%,13.00%,41.02%,-,25.34%,-,33.34%,-4.01%,40.09%,-1.52%,-34.74%,17.46%,-11.57%,-52.12%,-3.89%,Upgrade
28,EBITDA,223905,-3679,143379,129606,69724,142459,304274,163436,206838,152924,159355,153022,241257,147289,162442,142381,185762,293748,-10579,114508,Upgrade
29,EBITDA Margin,19.84%,-1.06%,18.98%,22.31%,13.58%,15.79%,31.36%,19.56%,17.76%,23.80%,16.54%,18.21%,27.91%,20.33%,19.01%,62.62%,37.06%,37.13%,-2.44%,24.43%,Upgrade
30,D&A For EBITDA,88427,96607,102516,92599,626.65,77740,237216,104537,119515,117224,102856,108389,179069,97607,101979,99406,94186,89426,83982,77456,Upgrade
31,EBIT,135479,-100286,40863,37008,69098,64719,67057,58899,87322,35700,56499,44633,62188,49682,60463,42976,91576,204322,-94560,37052,Upgrade
32,EBIT Margin,12.00%,-28.85%,5.41%,6.37%,13.46%,7.17%,6.91%,7.05%,7.50%,5.56%,5.86%,5.31%,7.19%,6.86%,7.08%,18.90%,18.27%,25.83%,-21.85%,7.90%,Upgrade
33,Effective Tax Rate,8.02%,-,20.00%,20.00%,21.16%,20.00%,20.00%,20.00%,23.03%,15.68%,32.73%,-,22.15%,-,-,-,-,1.39%,-,20.00%,Upgrade
34,Revenue as Reported,1128710,347555,755494,581010,513350,902054,970381,835673,1164305,642530,963655,840501,864509,724665,854374,227391,501192,791039,432716,468737,Upgrade
