,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,410690,340392,410690,451389,532787,447689,418090,451389,403290,288593,492088,558687,732583,665984,895379,562387,277493,236794,199795,210895,210895,Upgrade
1,Market Cap Growth,-23.97%,-23.97%,-1.77%,0%,32.11%,55.13%,-15.04%,-19.21%,-44.95%,-56.67%,-45.04%,-0.66%,164.00%,181.25%,348.15%,166.67%,31.58%,-3.03%,-10.00%,-8.06%,-19.72%,Upgrade
2,Enterprise Value,1477921,1465884,1628890,1751002,1911647,1570282,1891474,2073142,2242674,2127976,2472093,2686318,3140448,3039207,3558620,3213183,2938681,2897982,2769456,2532815,2514619,Upgrade
3,Last Close Price,11100.00,9200.00,11100.00,12200.00,13527.27,11366.67,10615.15,11460.61,10008.43,7162.00,12212.12,13864.89,17538.79,15944.35,21436.30,12865.71,6348.21,5417.14,4570.71,4824.64,4365.15,Upgrade
4,PE Ratio,11.30,9.38,-,4.50,4.99,4.33,4.41,6.78,7.79,6.09,12.94,12.35,14.15,14.56,13.49,2.71,5.27,4.52,13.32,-,8.40,Upgrade
5,PS Ratio,0.15,0.12,0.19,0.16,0.18,0.14,0.11,0.12,0.11,0.08,0.15,0.16,0.22,0.25,0.39,0.24,0.14,0.11,0.09,0.10,0.09,Upgrade
6,PB Ratio,0.78,0.65,0.99,0.87,0.90,0.78,0.78,0.89,0.80,0.59,-,1.22,-,1.39,1.93,1.25,0.58,0.50,0.46,0.73,0.46,Upgrade
7,P/TBV Ratio,0.65,0.65,0.99,0.87,0.90,0.78,0.78,0.89,0.81,0.59,-,1.23,-,1.39,1.94,1.25,0.59,0.50,0.46,0.74,0.46,Upgrade
8,P/FCF Ratio,1.32,1.09,-139.32,1.77,1.78,-,0.51,0.71,0.80,-,1.21,-,1.40,-,3.13,-,-,-0.96,-,-,-,Upgrade
9,P/OCF Ratio,0.84,0.84,6.18,1.52,1.59,-,0.50,0.69,0.78,-,0.76,-,0.79,1.07,1.47,2.09,-,-9.81,-,-,0.42,Upgrade
10,EV/Sales Ratio,0.53,0.52,0.74,0.64,0.64,0.49,0.49,0.57,0.62,0.59,0.75,0.79,0.96,1.14,1.54,1.35,1.51,1.32,1.23,1.22,1.12,Upgrade
11,EV/EBITDA Ratio,3.00,2.97,-,3.61,2.96,2.31,2.32,2.51,3.29,3.17,3.50,3.83,4.46,4.38,5.58,4.10,4.81,4.97,5.29,-,4.68,Upgrade
12,EV/EBIT Ratio,13.06,12.97,-,8.27,8.04,6.04,6.80,8.33,9.41,9.49,12.42,12.61,14.47,14.12,14.54,8.05,12.03,12.16,13.56,-,12.14,Upgrade
13,EV/FCF Ratio,4.74,4.70,-552.57,6.86,6.37,-,2.31,3.28,4.44,-,6.05,-,6.00,-,12.44,-,-,-11.69,-,-,-,Upgrade
14,Debt / Equity Ratio,2.05,2.05,2.73,2.35,2.21,2.41,2.09,2.92,3.25,3.98,-,4.33,-,5.02,5.13,5.90,5.58,5.43,6.11,8.90,5.06,Upgrade
15,Debt / EBITDA Ratio,2.18,1.20,-,2.13,2.52,4.96,1.98,1.21,2.49,2.35,-,3.11,-,2.50,4.03,4.10,4.66,3.47,2.27,-,5.08,Upgrade
16,Debt / FCF Ratio,3.45,3.45,-384.22,4.79,4.35,-,1.38,2.34,3.22,-,-,-,-,-,8.30,-,-,-10.39,-,-,-,Upgrade
17,Asset Turnover,1.80,0.55,1.16,0.89,0.80,1.33,1.34,-,-,-,-,-,0.99,0.80,0.91,-,0.55,0.86,0.48,0.52,Upgrade,
18,Inventory Turnover,19.83,15.17,6.82,22.42,26.96,18.97,31.03,32.80,-,-,-,-,-,4.22,3.00,3.08,-,2.06,3.01,2.62,2.15,Upgrade
19,Quick Ratio,0.44,0.44,0.22,0.45,0.45,0.43,0.43,0.50,0.46,0.49,-,0.32,-,0.09,0.03,0.07,0.01,0.08,0.18,0.03,0.06,Upgrade
20,Current Ratio,0.55,0.55,0.50,0.56,0.52,0.50,0.50,0.57,0.53,0.60,-,0.50,-,0.52,0.58,0.64,0.71,0.64,0.61,0.56,0.68,Upgrade
21,Return on Equity (ROE),91.75%,-89.11%,12.10%,10.84%,25.39%,24.83%,18.43%,-,-,-,-,-,14.71%,10.02%,12.90%,-,33.39%,168.74%,-149.82%,1.44%,Upgrade,
22,Return on Assets (ROA),13.52%,-9.93%,3.91%,3.56%,6.69%,5.97%,5.80%,-,-,-,-,-,4.45%,3.43%,4.04%,-,6.24%,13.87%,-6.55%,2.56%,Upgrade,
23,Return on Capital (ROIC),21.53%,-15.24%,5.62%,4.80%,9.53%,8.86%,8.15%,-,-,-,-,-,5.43%,4.17%,4.84%,-,7.44%,17.14%,-8.37%,3.34%,Upgrade,
24,Return on Capital Employed (ROCE),17.73%,17.72%,-,26.37%,28.74%,26.60%,30.29%,23.84%,18.92%,16.69%,-,13.31%,-,11.37%,12.55%,18.76%,11.32%,10.93%,10.09%,-,8.80%,Upgrade
25,Earnings Yield,8.85%,10.66%,-8.81%,22.24%,20.05%,23.09%,22.67%,14.75%,12.85%,16.43%,7.73%,8.10%,7.07%,6.87%,7.41%,36.95%,18.99%,22.12%,7.51%,-59.01%,11.91%,Upgrade
26,FCF Yield,75.87%,91.54%,-0.72%,56.52%,56.29%,125.86%,196.07%,139.97%,125.38%,-,82.98%,-,71.40%,24.61%,31.95%,-17.07%,-111.20%,-104.66%,-297.25%,-228.50%,-100.68%,Upgrade
27,Dividend Yield,7.34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Payout Ratio,0.00%,-,-,-,-,-,-,-,179.45%,-,523.79%,-,-,-,-,-,-,-,-,-,-,Upgrade
29,Buyback Yield / Dilution,-0.02%,0.02%,0.01%,0.09%,0.12%,-0.01%,-0.42%,-0.02%,-0.15%,0.00%,0.30%,0.03%,-0.07%,-0.06%,0.10%,-0.09%,0.87%,-2.43%,0.08%,-0.13%,-0.53%,Upgrade
30,Total Shareholder Return,7.32%,0.02%,0.01%,0.09%,0.12%,-0.01%,-0.42%,-0.02%,-0.15%,0.00%,0.30%,0.03%,-0.07%,-0.06%,0.10%,-0.09%,0.87%,-2.43%,0.08%,-0.13%,-0.53%,Upgrade
