,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,269.68,149.78,206.26,156.31,140.82,132.65,100.64,129.94,132.56,132.65,104.61,144.44,173.72,167.37,122.16,142.11,142.11,74.47,74.47
1,Other Revenue,-48.38,48.38,-,15.85,-2.2,2.2,-,4.79,-2.81,2.81,-,7.83,-4.3,4.3,-,1.47,1.47,0.72,0.72
2,Revenue,221.3,198.16,206.26,172.16,138.62,134.84,100.64,134.73,129.74,135.46,104.61,152.27,169.41,171.67,122.16,143.58,143.58,75.19,75.19
3,Revenue Growth (YoY),59.65%,46.96%,104.95%,27.78%,6.84%,-0.46%,-3.80%,-11.52%,-23.41%,-21.09%,-14.36%,6.05%,17.99%,128.31%,62.46%,-,-,-,-
4,Cost of Revenue,226.41,190.79,199.93,168.52,124.77,128.33,93.64,125.22,105.9,110.59,82.49,128.37,127.96,140.25,99.95,112.59,112.59,58.56,58.56
5,Gross Profit,-5.1,7.38,6.33,3.64,13.85,6.52,6.99,9.51,23.84,24.88,22.13,23.9,41.45,31.42,22.21,31,31,16.63,16.63
6,"Selling, General & Admin",16.38,12.36,16.24,17.44,14.33,13.39,12.9,10,10.96,6.78,10.18,7.15,12.27,5.21,9.39,9.14,9.14,6.9,6.9
7,Research & Development,8.4,11.79,9.55,8.6,11.22,9.9,8.64,8.62,8.86,7.16,4.99,7.33,4.76,5.13,4.71,4.61,4.61,4.45,4.45
8,Other Operating Expenses,-15.75,0.98,0.87,4.72,0.73,0.79,-2.34,11.38,0.91,-7.95,-0.78,10.78,-1.7,-3.94,-0.01,1.12,1.12,0.71,0.71
9,Operating Expenses,12.23,28.01,24.32,32.68,27.88,24.15,17.77,31.5,20.43,7.28,12.61,24.02,17,8.39,11.05,16.75,16.75,11.19,11.19
10,Operating Income,-17.33,-20.64,-17.99,-29.05,-14.03,-17.63,-10.78,-21.99,3.42,17.6,9.52,-0.13,24.46,23.03,11.16,14.24,14.24,5.44,5.44
11,Interest Expense,-0.77,-1.83,-0.82,-0.74,-0.39,-0.39,-0.33,-0.32,-0.32,-0.6,-0.67,-2.09,-1.85,-2.14,-0.79,-1.35,-1.35,-0.88,-0.88
12,Interest & Investment Income,0.58,0.25,1.04,0.97,1.49,1.63,2.05,2.82,2.71,2.49,1.4,-,0.86,0.07,0.28,0.12,0.12,0.18,0.18
13,Currency Exchange Gain (Loss),-4.42,4.42,-,0.38,-1.41,1.41,-,0.19,-0.09,0.09,-,-0.06,0.06,-0.06,-,-0.04,-0.04,0.01,0.01
14,Other Non Operating Income (Expenses),0.49,0.65,-0.93,-1.61,0.62,-0.25,0.3,-0.43,-0.1,0.72,-0.18,0.31,0.53,-0.51,-0.56,-0.13,-0.13,0.41,0.41
15,EBT Excluding Unusual Items,-21.45,-17.15,-18.7,-30.04,-13.71,-15.23,-8.75,-19.74,5.61,20.3,10.07,-1.96,24.06,20.39,10.08,12.85,12.85,5.16,5.16
16,Impairment of Goodwill,-,-,-,-12.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-0.67,-0.24,0.24,0.68,-,0,-0.03,0.03,-0,-0,0,0
18,Gain (Loss) on Sale of Assets,-0.01,0.17,-,-,-,-,-,0.01,-,-,-0,-0.02,-,-,-,-0,-0,-,-
19,Asset Writedown,0.04,-0.03,0.02,3.6,-3.61,0.05,-0.05,0.23,-0.23,-0.03,-,2.32,-2.32,0.8,-0.8,-,-,-0.01,-0.01
20,Other Unusual Items,-10.62,0.02,10.6,4.47,-0.04,0.04,-,12.04,-0.15,0.15,-,9.33,-0.1,0.1,-,3.15,3.15,1.35,1.35
21,Pretax Income,-32.04,-16.99,-8.08,-34.02,-17.36,-15.14,-8.8,-8.13,4.99,20.66,10.74,9.67,21.65,21.25,9.31,16,16,6.51,6.51
22,Income Tax Expense,-11.82,-1.9,0.81,-10.06,-2.67,-2.1,-2.05,-8.24,-0.26,2.97,1.54,-0.55,2.63,2.96,2.17,0.74,0.74,1.41,1.41
23,Earnings From Continuing Operations,-20.21,-15.08,-8.9,-23.96,-14.69,-13.04,-6.75,0.11,5.24,17.7,9.21,10.22,19.02,18.29,7.14,15.26,15.26,5.1,5.1
24,Minority Interest in Earnings,1.63,0.03,2.15,-0.22,2.07,-0.38,0.15,-,-,-,-,-,-,-,-,-,-,-,-
25,Net Income,-18.58,-15.06,-6.75,-24.17,-12.63,-13.42,-6.61,0.11,5.24,17.7,9.21,10.22,19.02,18.29,7.14,15.26,15.26,5.1,5.1
26,Net Income to Common,-18.58,-15.06,-6.75,-24.17,-12.63,-13.42,-6.61,0.11,5.24,17.7,9.21,10.22,19.02,18.29,7.14,15.26,15.26,5.1,5.1
27,Net Income Growth,-,-,-,-,-,-,-,-98.94%,-72.43%,-3.21%,28.89%,-33.04%,24.63%,258.68%,40.10%,-,-,-,-
28,Shares Outstanding (Basic),96,96,96,98,96,96,96,92,96,96,96,72,72,72,72,72,72,72,72
29,Shares Outstanding (Diluted),96,96,96,98,96,96,96,92,96,96,96,72,72,72,72,72,72,72,72
30,Shares Change (YoY),-0.03%,0.04%,-0.02%,6.21%,0.04%,0.02%,-0.03%,27.58%,33.39%,33.30%,33.32%,0.36%,-0.03%,0.05%,0.00%,-,-,-,-
31,EPS (Basic),-0.19,-0.16,-0.07,-0.25,-0.13,-0.14,-0.07,0.00,0.05,0.18,0.10,0.14,0.26,0.25,0.10,0.21,0.21,0.07,0.07
32,EPS (Diluted),-0.19,-0.16,-0.07,-0.25,-0.13,-0.14,-0.07,0.00,0.05,0.18,0.10,0.14,0.26,0.25,0.10,0.21,0.21,0.07,0.07
33,EPS Growth,-,-,-,-,-,-,-,-99.17%,-79.33%,-27.39%,-3.32%,-33.27%,24.67%,258.51%,40.10%,-,-,-,-
34,Free Cash Flow,-40.78,3.37,-56.03,-99.85,-5.14,-24.19,-21.26,-49.65,-1.75,-36.38,-24.03,12.9,-36.46,1.67,16.11,-19.25,-19.25,-5.88,-5.88
35,Free Cash Flow Per Share,-0.43,0.04,-0.59,-1.02,-0.05,-0.25,-0.22,-0.54,-0.02,-0.38,-0.25,0.18,-0.51,0.02,0.22,-0.27,-0.27,-0.08,-0.08
36,Dividend Per Share,-,-,-,-,-,-,-,0.100,-,-,-,0.300,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,-,-,-,-66.67%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,-2.31%,3.72%,3.07%,2.11%,9.99%,4.83%,6.95%,7.06%,18.38%,18.36%,21.15%,15.69%,24.47%,18.30%,18.18%,21.59%,21.59%,22.12%,22.12%
39,Operating Margin,-7.83%,-10.42%,-8.72%,-16.87%,-10.12%,-13.07%,-10.71%,-16.32%,2.63%,12.99%,9.10%,-0.08%,14.44%,13.42%,9.14%,9.92%,9.92%,7.23%,7.23%
40,Profit Margin,-8.40%,-7.60%,-3.27%,-14.04%,-9.11%,-9.95%,-6.57%,0.08%,4.04%,13.06%,8.80%,6.71%,11.23%,10.65%,5.85%,10.63%,10.63%,6.78%,6.78%
41,Free Cash Flow Margin,-18.43%,1.70%,-27.16%,-58.00%,-3.71%,-17.94%,-21.13%,-36.85%,-1.35%,-26.86%,-22.97%,8.47%,-21.52%,0.97%,13.19%,-13.40%,-13.40%,-7.81%,-7.81%
42,EBITDA,-5.75,-8.03,-6.41,-17.46,-6.79,-8.78,-3.55,-14.76,10.36,24.39,16.47,6.82,29.47,30.23,16.17,19.37,19.37,10.07,10.07
43,EBITDA Margin,-2.60%,-4.05%,-3.11%,-10.14%,-4.90%,-6.51%,-3.52%,-10.95%,7.99%,18.00%,15.74%,4.48%,17.39%,17.61%,13.24%,13.49%,13.49%,13.39%,13.39%
44,D&A For EBITDA,11.58,12.61,11.58,11.58,7.23,8.85,7.23,7.23,6.94,6.79,6.94,6.94,5.01,7.2,5.01,5.13,5.13,4.63,4.63
45,EBIT,-17.33,-20.64,-17.99,-29.05,-14.03,-17.63,-10.78,-21.99,3.42,17.6,9.52,-0.13,24.46,23.03,11.16,14.24,14.24,5.44,5.44
46,EBIT Margin,-7.83%,-10.42%,-8.72%,-16.87%,-10.12%,-13.07%,-10.71%,-16.32%,2.63%,12.99%,9.10%,-0.08%,14.44%,13.42%,9.14%,9.92%,9.92%,7.23%,7.23%
47,Effective Tax Rate,-,-,-,-,-,-,-,-,-,14.36%,14.32%,-,12.16%,13.94%,23.31%,4.60%,4.60%,21.66%,21.66%
48,Revenue as Reported,221.3,198.16,206.26,172.16,138.62,134.84,100.64,134.73,129.74,135.46,104.61,152.27,169.41,171.67,122.16,143.58,143.58,75.19,75.19
