,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4063,2439,2125,1635,2240,2298,2201,2130,1803,1856,2277,2728,3417,-,-,-,-,-,-,-
1,Market Cap Growth,6.13%,6.13%,-3.44%,-23.26%,24.23%,23.80%,-3.32%,-21.92%,-47.22%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4092,2330,2134,1524,2129,2029,2079,1700,1373,1420,1780,2730,3419,-,-,-,-,-,-,-
3,Last Close Price,42.40,25.45,22.18,17.06,23.38,23.98,22.97,22.13,18.74,19.28,23.66,27.99,35.05,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,55.91,43.81,40.55,48.09,62.51,-,-,-,-,-,-,-
5,PS Ratio,5.12,3.06,2.97,2.51,4.10,4.52,4.40,4.26,3.57,3.56,4.05,4.56,5.55,-,-,-,-,-,-,-
6,PB Ratio,4.67,2.77,2.36,1.78,2.42,2.42,2.29,2.16,1.85,1.90,2.35,2.78,3.52,-,-,-,-,-,-,-
7,P/TBV Ratio,2.89,2.89,2.47,1.87,2.54,2.58,2.43,2.30,1.87,1.92,2.37,2.81,3.55,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-13.48,-,-,-,-,-,-,-,-,-,-591.05,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-44.35,-,-,49.57,41.45,126.09,-,37.55,-,232.87,76.32,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.13,2.92,2.98,2.34,3.90,3.99,4.16,3.40,2.72,2.72,3.17,4.56,5.55,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,24.46,23.07,32.90,41.35,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,46.69,34.60,47.99,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-21.17,-,-13.54,-,-,-,-,-,-,-,-,-,-591.34,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.18,0.18,0.16,0.16,0.04,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.12,-,0.24,0.19,0.19,0.19,0.01,0.01
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,0.27,0.10,0.51,2.82,-,0.73,1.01,0.85,0.85,0.10,0.10
16,Debt / FCF Ratio,-,-,-0.93,-,-,-,-,-,-,-,-,-,-19.99,-,-4.26,-2.32,-,-,-,-
17,Asset Turnover,0.50,0.49,0.58,0.54,0.47,0.46,0.34,0.47,0.45,0.47,0.34,-,-,-,-,0.95,1.06,0.63,-,
18,Inventory Turnover,2.10,1.71,2.16,3.32,3.76,3.81,3.86,2.76,3.51,2.69,2.84,2.30,-,-,-,-,4.61,4.88,2.70,-
19,Quick Ratio,0.54,0.54,0.80,0.88,1.39,1.58,3.29,2.48,4.33,4.54,4.33,4.39,2.83,-,1.02,-,1.19,1.19,1.28,1.28
20,Current Ratio,1.32,1.32,1.45,1.64,2.11,3.10,4.10,4.60,5.29,5.66,5.38,5.35,3.31,-,1.54,-,1.65,1.65,1.98,1.98
21,Return on Equity (ROE),-9.08%,-6.65%,-3.87%,-10.23%,-6.15%,-5.35%,-2.76%,0.04%,2.16%,7.26%,3.77%,-,-,20.94%,8.49%,18.14%,19.00%,6.66%,-,
22,Return on Assets (ROA),-2.44%,-3.22%,-3.15%,-5.73%,-2.96%,-3.75%,-2.30%,-4.77%,0.74%,3.78%,1.91%,-,-,-,-,5.88%,6.56%,2.84%,-,
23,Return on Capital (ROIC),-4.16%,-4.89%,-4.44%,-7.56%,-3.62%,-4.46%,-2.72%,-5.57%,0.87%,4.41%,2.27%,-,-,13.51%,6.94%,8.85%,10.00%,4.39%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,3.03%,5.17%,5.64%,-,-,14.91%,-,10.40%,6.64%,3.16%,1.58%
25,Earnings Yield,-1.59%,-2.65%,-2.76%,-3.48%,-2.54%,-1.42%,-0.67%,0.77%,1.79%,2.28%,2.47%,2.08%,1.60%,-,-,-,-,-,-,-
26,FCF Yield,-4.76%,-7.93%,-7.42%,-11.33%,-6.72%,-4.36%,-4.40%,-5.12%,-6.20%,-2.65%,-3.69%,-1.68%,-0.17%,-,-,-,-,-,-,-
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,0.53%,-,-,-,0.86%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,8.98%,159.84%,3.94%,4.71%,4.12%,2.72%,7.06%,1.00%,1.00%,71.61%,71.61%
29,Buyback Yield / Dilution,-1.50%,0.03%,-0.04%,0.02%,-6.21%,-0.04%,-0.02%,0.03%,-27.58%,-33.39%,-33.30%,-33.32%,-0.36%,0.03%,-0.05%,-0.00%,-,-,-,-
30,Total Shareholder Return,-1.50%,0.03%,-0.04%,0.02%,-6.21%,-0.04%,-0.02%,0.03%,-27.04%,-33.39%,-33.30%,-33.32%,0.50%,0.03%,-0.05%,-0.00%,-,-,-,-
