,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,75,177,-,-,-
1,Enterprise Value,107,235,-,-,-
2,Last Close Price,0.15,0.34,-,-,-
3,PS Ratio,0.33,1.01,-,-,-
4,PB Ratio,0.88,2.05,-,-,-
5,P/TBV Ratio,2.05,2.05,-,-,-
6,EV/Sales Ratio,0.62,1.35,-,-,-
7,EV/EBITDA Ratio,4.50,9.98,-,-,-
8,EV/EBIT Ratio,13.07,15.73,-,-,-
9,Debt / Equity Ratio,0.85,0.85,0.85,-,1.54
10,Debt / EBITDA Ratio,3.09,4.09,4.09,-,2.02
11,Debt / FCF Ratio,-,-,-,-,12.64
12,Asset Turnover,0.73,-,-,-,
13,Inventory Turnover,-,1.62,-,-,-
14,Quick Ratio,0.62,0.62,0.62,-,-
15,Current Ratio,1.25,1.25,1.25,-,-
16,Return on Equity (ROE),-21.98%,-,-,-,
17,Return on Assets (ROA),1.27%,-,-,-,
18,Return on Capital (ROIC),1.73%,-,-,-,
19,Return on Capital Employed (ROCE),8.32%,15.19%,14.07%,-,-
20,Earnings Yield,-10.74%,-3.28%,-,-,-
21,FCF Yield,-24.04%,-2.32%,-,-,-
