,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,39.81,39.81,47.61,47.61
1,Cost of Revenue,25.84,25.84,28.79,28.79
2,Gross Profit,13.97,13.97,18.82,18.82
3,"Selling, General & Admin",11.98,11.98,11.41,11.41
4,Research & Development,0.91,0.91,1.25,1.25
5,Operating Expenses,12.86,12.86,12.44,12.44
6,Operating Income,1.11,1.11,6.37,6.37
7,Interest Expense,-1.15,-1.15,-1.15,-1.15
8,Interest & Investment Income,0,0,0,0
9,Currency Exchange Gain (Loss),0.18,0.18,-1.96,-1.96
10,Other Non Operating Income (Expenses),0.01,0.01,0.02,0.02
11,EBT Excluding Unusual Items,0.15,0.15,3.28,3.28
12,Gain (Loss) on Sale of Investments,0.11,0.11,0.12,0.12
13,Gain (Loss) on Sale of Assets,-,-,0,0
14,Other Unusual Items,-4.18,-4.18,-1.96,-1.96
15,Pretax Income,-3.91,-3.91,1.44,1.44
16,Income Tax Expense,0.82,0.82,-0.39,-0.39
17,Net Income,-4.73,-4.73,1.83,1.83
18,Net Income to Common,-4.73,-4.73,1.83,1.83
19,Shares Outstanding (Basic),396,396,375,375
20,Shares Outstanding (Diluted),396,396,375,375
21,EPS (Basic),-0.01,-0.01,0.00,0.00
22,EPS (Diluted),-0.01,-0.01,0.00,0.00
23,Free Cash Flow,-8.83,-8.83,6.78,6.78
24,Free Cash Flow Per Share,-0.02,-0.02,0.02,0.02
25,Gross Margin,35.09%,35.09%,39.53%,39.53%
26,Operating Margin,2.78%,2.78%,13.39%,13.39%
27,Profit Margin,-11.88%,-11.88%,3.85%,3.85%
28,Free Cash Flow Margin,-22.18%,-22.18%,14.24%,14.24%
29,EBITDA,2.8,2.8,8.99,8.99
30,EBITDA Margin,7.03%,7.03%,18.88%,18.88%
31,D&A For EBITDA,1.69,1.69,2.62,2.62
32,EBIT,1.11,1.11,6.37,6.37
33,EBIT Margin,2.78%,2.78%,13.39%,13.39%
