,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,348.35,351.6,432.98,417.77,154.88,152.81,156.24,225.53,113.51,539.18
1,Short-Term Investments,-,6.76,-,3.18,-,2.58,-,2.6,-,-
2,Trading Asset Securities,-,-,-,40.28,-,-,-,-,241.05,32.14
3,Cash & Short-Term Investments,348.35,358.36,432.98,461.23,154.88,155.38,156.24,228.13,354.56,571.32
4,Cash Growth,-19.55%,-22.30%,179.56%,196.83%,-0.87%,-31.89%,-55.93%,-60.07%,-,-
5,Accounts Receivable,222.45,140.71,83.97,58.4,80.6,23.69,6.47,2.44,7.96,9.19
6,Other Receivables,0.26,44.99,2.94,39.16,3.9,79.92,3.44,1.72,3.21,3.67
7,Receivables,222.72,185.7,86.91,97.56,84.5,103.6,9.91,4.16,12.96,12.86
8,Inventory,114.04,131.92,109.57,111.43,56.82,40.85,19.73,13.34,11.07,22.68
9,Prepaid Expenses,-,5.79,-,0.42,-,2.92,-,-,-,0.01
10,Restricted Cash,-,4.37,-,3,-,-,-,-,-,-
11,Other Current Assets,35.21,7.03,48.3,3.16,78.44,3.21,20.99,3.6,28.84,7.49
12,Total Current Assets,720.32,693.18,677.74,676.8,374.63,305.96,206.87,249.23,407.43,614.36
13,"Property, Plant & Equipment",722.49,710.06,614.65,480.34,369.67,323.4,312.72,311.01,332.07,328.67
14,Long-Term Investments,-,-,0.4,-,0.86,1.48,8.82,8.08,9.35,7.99
15,Other Intangible Assets,8.09,8.84,3.99,4.65,4.86,5.12,3.1,3.23,2.84,2.39
16,Other Long-Term Assets,5.76,14.03,67.73,100.25,62.26,74.29,101.71,69.65,62.25,63.95
17,Total Assets,1457,1426,1365,1262,812.28,710.26,633.22,641.18,813.93,1017
18,Accounts Payable,30.32,35.71,42.27,25.98,76.01,28.21,21.99,18.01,-,-
19,Accrued Expenses,210.52,221.97,167.51,99.72,13.97,19.9,13.27,11.41,50,31.85
20,Short-Term Debt,-,-,-,-,-,-,-,-,-,60
21,Current Portion of Long-Term Debt,68.09,41.6,41.1,75.5,185,146.19,50.74,-,-,-
22,Current Portion of Leases,0.75,1.17,1.7,1.55,1.62,1.46,0.99,1.32,1.65,2.78
23,Current Income Taxes Payable,1.54,1.66,1.63,2.54,-,-,-,-,-,-
24,Current Unearned Revenue,19.16,12.06,7.19,19.56,35.73,22.2,24.41,9.1,4.47,2.59
25,Other Current Liabilities,41.66,68.32,51.16,50.49,60.14,42.84,18.3,12.91,7.53,49.57
26,Total Current Liabilities,372.03,382.49,312.56,275.35,372.47,260.81,129.7,52.74,63.65,146.79
27,Long-Term Debt,314.92,302.69,287.38,212.13,59.78,59.78,21.44,-,-,-
28,Long-Term Leases,0.12,0.19,0.12,0.35,0.74,1.14,1.08,6.08,6.2,12.3
29,Long-Term Unearned Revenue,-,11,-,11,-,11,-,-,-,-
30,Other Long-Term Liabilities,45.69,43.05,56.41,47.77,51.13,42.45,-,-,-,-
31,Total Liabilities,732.77,739.42,656.47,546.59,484.11,375.17,152.22,58.83,69.84,159.09
32,Common Stock,2297,2297,2297,2297,1893,1893,1893,1874,1874,1874
33,Retained Earnings,-1652,-1683,-1661,-1646,-1611,-1596,-1457,-1342,-1182,-1053
34,Comprehensive Income & Other,78.11,72.47,71.24,61.91,46.6,37.8,44.68,49.5,51.92,36.93
35,Total Common Equity,723.89,686.69,708.05,713.88,328.17,335.09,481,582.36,744.09,858.28
36,Minority Interest,-,-,-,1.56,-,-,-,-,-,-
37,Shareholders' Equity,723.89,686.69,708.05,715.44,328.17,335.09,481,582.36,744.09,858.28
38,Total Liabilities & Equity,1457,1426,1365,1262,812.28,710.26,633.22,641.18,813.93,1017
39,Total Debt,383.88,345.65,330.3,289.53,247.14,208.57,74.24,7.41,7.84,75.07
40,Net Cash (Debt),-35.53,12.71,102.68,171.7,-92.26,-53.18,82,220.73,346.72,496.25
41,Net Cash Growth,-,-92.60%,-,-,-,-,-76.35%,-55.52%,-,-
42,Net Cash Per Share,-0.05,0.02,0.14,0.24,-0.16,-0.09,0.14,0.39,0.61,1.31
43,Filing Date Shares Outstanding,772.79,772.79,772.79,772.79,615.23,615.23,601.53,600.47,570,570
44,Total Common Shares Outstanding,772.79,772.79,772.79,772.79,615.23,615.23,601.53,600.47,570,570
45,Working Capital,348.29,310.69,365.18,401.45,2.16,45.16,77.17,196.48,343.78,467.58
46,Book Value Per Share,0.94,0.89,0.92,0.92,0.53,0.54,0.80,0.97,1.31,1.51
47,Tangible Book Value,715.8,677.85,704.06,709.23,323.31,329.97,477.9,579.13,741.25,855.89
48,Tangible Book Value Per Share,0.93,0.88,0.91,0.92,0.53,0.54,0.79,0.96,1.30,1.50
49,Buildings,-,197.7,-,110.9,-,119.74,-,150.55,-,148.47
50,Machinery,-,392.91,-,221.5,-,215.69,-,191.35,-,163.87
51,Construction In Progress,-,220.24,-,241.41,-,65.98,-,45.55,-,59.7
