,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1615,1692,1522,1723,1855,1956,2627,2689,2648,2679,2508
1,Market Cap Growth,-9.14%,-1.79%,-17.92%,-11.92%,-29.40%,-27.24%,-0.79%,0.37%,5.58%,-,-
2,Enterprise Value,1630,1678,1411,1531,1963,2022,2528,2430,2268,2124,3246
3,Last Close Price,2.09,2.19,1.97,2.23,2.40,3.18,4.27,4.47,4.41,4.70,4.40
4,PE Ratio,39.28,175.69,-,-,-,-,-,-,-,-,-
5,PS Ratio,1.24,1.62,1.77,2.71,3.71,7.10,28.04,68.59,99.14,72.39,49.48
6,PB Ratio,1.79,2.18,2.01,2.25,2.29,5.09,6.39,4.65,3.83,3.28,2.61
7,P/TBV Ratio,1.80,2.20,2.04,2.27,2.31,5.17,6.49,4.68,3.85,3.29,2.62
8,P/OCF Ratio,-,72.19,-,17.06,27.38,-31.72,-,-,-,-,-
9,EV/Sales Ratio,1.39,1.61,1.64,2.41,3.93,7.34,26.99,61.99,84.90,57.39,64.04
10,EV/EBITDA Ratio,21.26,20.15,72.14,-113.48,-,-15.19,-,-,-,-,-
11,EV/EBIT Ratio,46.07,58.30,-,-,-,-,-,-,-,-,-
12,Debt / Equity Ratio,0.54,0.53,0.50,0.47,0.40,0.75,0.62,0.15,0.01,0.01,0.09
13,Return on Capital Employed (ROCE),3.04%,2.47%,-,-,-,-,-,-,-,-,-
14,Earnings Yield,2.29%,0.57%,-2.73%,-3.09%,-3.04%,-9.70%,-12.21%,-12.27%,-12.94%,-12.81%,-13.35%
15,FCF Yield,-7.53%,-10.19%,-13.38%,-10.91%,-10.04%,-13.43%,-13.34%,-12.72%,-11.50%,-12.83%,
16,Buyback Yield / Dilution,4.14%,-,-3.10%,-26.08%,-22.28%,-0.65%,-0.80%,-0.26%,-50.99%,-94.30%,-
17,Total Shareholder Return,4.14%,-,-3.10%,-26.08%,-22.28%,-0.65%,-0.80%,-0.26%,-50.99%,-94.30%,-
