,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,82,69,68,82,92,123,92,117,117,92,92,Upgrade
1,Market Cap Growth,-16.15%,-16.15%,-25.56%,-33.47%,0%,5.22%,-21.74%,27.78%,27.07%,-32.08%,-57.41%,Upgrade
2,Enterprise Value,-19,-1,-12,16,33,62,27,46,90,64,28,Upgrade
3,Last Close Price,0.16,0.14,0.12,0.14,0.16,0.22,0.16,0.21,0.21,0.16,0.16,Upgrade
4,PE Ratio,8.10,6.95,7.57,24.24,-41.64,-,-,-,-,-,-,Upgrade
5,PS Ratio,0.37,0.32,0.43,0.93,2.28,8.01,8.93,15.21,18.26,0.70,0.32,Upgrade
6,PB Ratio,1.27,1.07,0.99,1.34,1.54,2.14,1.50,1.64,1.49,1.00,0.83,Upgrade
7,P/TBV Ratio,1.11,1.11,1.00,1.35,1.56,2.15,1.50,1.65,1.50,1.00,0.83,Upgrade
8,P/FCF Ratio,2.19,1.85,2.72,2.11,5.51,-251.81,-,-,-,-,-,Upgrade
9,P/OCF Ratio,1.75,1.75,2.47,2.00,5.22,153.27,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,-,-,-,0.18,0.82,4.05,2.61,5.96,13.99,0.49,0.10,Upgrade
11,EV/EBITDA Ratio,-,-,-,-7.15,-,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-5.95,-,-,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,-0.52,-,-,0.40,1.99,-127.21,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.18,0.18,0.21,0.18,0.13,0.10,0.16,0.19,0.18,0.14,0.24,Upgrade
15,Debt / FCF Ratio,0.31,0.31,0.58,0.28,0.45,-12.04,-,-,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),4.02%,4.41%,1.97%,-3.92%,-,-,-,-,-,-,-,Upgrade
17,Earnings Yield,12.13%,14.38%,13.21%,4.13%,-2.40%,-11.95%,-19.53%,-17.59%,-28.05%,-57.25%,-49.10%,Upgrade
18,FCF Yield,45.71%,54.18%,36.81%,47.49%,18.15%,-0.40%,-11.49%,-14.53%,-35.18%,-98.69%,-70.56%,Upgrade
19,Dividend Yield,4.83%,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-0.55%,Upgrade,
21,Total Shareholder Return,4.83%,-,-,-,-,-,-,-,-,-,-0.55%,Upgrade
