,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1722,1463,1397,1500,1918,2034,2213,1801,1744,1713,2265,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-28.06%,-28.06%,-36.86%,-16.69%,9.95%,18.76%,-2.30%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1990,1748,1695,1725,2143,1978,2119,1625,1568,1456,2328,-,-,-,-,-,-,-,-,-
3,Last Close Price,12.18,10.35,9.89,10.55,13.48,14.30,15.14,12.32,11.94,11.72,14.87,-,-,-,-,-,-,-,-,-
4,PE Ratio,-,-91.51,-,-,-,53.08,40.23,38.07,34.36,32.83,50.11,-,-,-,-,-,-,-,-,-
5,PS Ratio,2.98,2.54,2.63,3.00,4.15,4.56,4.92,4.14,4.01,3.61,4.92,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.86,2.17,2.12,2.30,2.90,2.95,3.71,2.83,2.78,2.79,3.37,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,3.33,3.33,3.32,3.68,4.63,4.63,4.26,3.22,3.18,3.18,3.80,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-62.19,-11.16,-,-15.44,-,-34.71,-,-81.40,-39.01,-,-,-,-,-,-,-,-,-,-
