,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,78.57,36.63,34.93,72.81,91.95,155.03,153.01,147.64,156.93,373.07,-,28.3,-,31.16,-,51.68,51.68,81.34,81.34
1,Trading Asset Securities,-,-,-,-,-,0.3,1,50,50,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,78.57,36.63,34.93,72.81,91.95,155.32,154.01,197.64,206.93,373.07,28.3,28.3,-,31.16,51.68,51.68,51.68,81.34,81.34
3,Cash Growth,-14.56%,-76.42%,-77.32%,-63.16%,-55.56%,-58.37%,444.26%,598.42%,-,1097.28%,-45.24%,-45.24%,-,-61.69%,-36.47%,-,-,-,-
4,Accounts Receivable,99.21,96.84,73.3,40.07,62.93,52.34,41.39,15.52,44.85,45.57,-,55.47,-,37.73,-,22.26,22.26,23.95,23.95
5,Other Receivables,6.1,7.25,3.71,2.74,0.99,0.75,1.78,2.13,1.11,4.47,-,7.33,-,6.78,-,3.77,3.77,1.07,1.07
6,Receivables,105.31,104.09,77.01,42.81,63.92,53.09,43.17,17.64,45.95,50.04,-,62.8,-,44.5,-,26.03,26.03,25.02,25.02
7,Inventory,131.13,133.5,122.19,124.68,117.88,93.59,94.5,81.97,76.85,95.13,-,93.27,-,88.68,-,76.07,76.07,59.51,59.51
8,Prepaid Expenses,-,-,-,-,-,-,-,0.46,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,61.84,59.84,66.68,69.17,57.98,32.54,33.61,33.25,18.88,17.82,-,13.35,-,9.32,-,6.3,6.3,5.64,5.64
10,Total Current Assets,376.85,334.07,300.82,309.47,331.73,334.54,325.29,330.96,348.62,536.06,-,197.72,-,173.67,-,160.08,160.08,171.5,171.5
11,"Property, Plant & Equipment",545.8,555.34,541.67,577.53,516.7,367.71,357.79,300.6,282.6,266.17,-,205.04,-,145.76,-,97.95,97.95,90.47,90.47
12,Long-Term Investments,-,-,-,-,-,1.67,-,0.77,1.86,-,-,-,-,-,-,-,-,-,-
13,Goodwill,19.03,19.03,19.03,19.03,18.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,144.64,145.9,147.12,148.62,146.54,77.11,77.75,78.22,75.91,75.75,-,74.79,-,76.26,-,77.52,77.52,67.29,67.29
15,Long-Term Deferred Tax Assets,4.71,4.31,6.03,6.72,4.94,4.86,3.34,5.33,4.13,3.87,-,4.81,-,3.89,-,4.04,4.04,5.37,5.37
16,Long-Term Deferred Charges,3.95,3.84,18.19,4.05,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Other Long-Term Assets,21.5,23.2,24.38,3.88,-,50.54,3.37,3.4,0.08,1.78,-,2.41,-,1.26,-,3.65,3.65,1.99,1.99
18,Total Assets,1116,1086,1057,1069,1035,836.42,767.55,719.28,713.2,883.63,-,484.76,-,400.84,-,343.24,343.24,336.63,336.63
19,Accounts Payable,122.53,138.92,103.44,121.05,51.22,47.22,43.45,35.78,30.76,55.92,-,38.45,-,42.54,-,35.85,35.85,27.57,27.57
20,Accrued Expenses,16.7,15.09,11.54,26.13,11.57,11.18,7.55,11.83,10.25,8.8,-,11.92,-,10,-,11.15,11.15,7.8,7.8
21,Short-Term Debt,80.05,60.05,90.08,63.05,120.09,93.86,54.13,9.81,24.84,108.13,-,83.11,-,40.05,-,17.02,17.02,61.09,61.09
22,Current Portion of Long-Term Debt,-,47.23,-,31.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Current Portion of Leases,63.77,4.4,45.34,4.22,2.53,3.83,3.41,3.75,2.41,2.37,-,2.32,-,1.67,-,-,-,-,-
24,Current Income Taxes Payable,2.07,0.1,3.06,5.51,4.54,1.85,1.13,0.37,4.21,-,-,2.38,-,2.95,-,4.82,4.82,6.43,6.43
25,Current Unearned Revenue,20.3,18.89,10.92,20.65,9.48,10.01,6.42,14.52,11.5,9.28,-,18.05,-,9.26,-,11.95,11.95,7.33,7.33
26,Other Current Liabilities,2.86,2.03,1.76,4.73,27.66,60.74,1.9,1.94,1.82,11.95,-,0.54,-,0.44,-,0.26,0.26,1.4,1.4
27,Total Current Liabilities,308.28,286.7,266.14,276.58,227.09,228.69,117.99,78,85.79,196.45,-,156.77,-,106.91,-,81.06,81.06,111.62,111.62
28,Long-Term Debt,126.11,130.9,116.86,107.48,108.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Long-Term Leases,4.54,4.4,4.45,4.4,1.32,1.3,2.62,2.57,3.84,5.14,-,5.97,-,4.21,-,-,-,-,-
30,Long-Term Unearned Revenue,3.25,3.42,3.59,3.77,3.94,4.12,4.09,4.26,4.43,4.6,-,3.4,-,3.71,-,2.79,2.79,2,2
31,Long-Term Deferred Tax Liabilities,0.07,0.11,0.81,0.39,5.97,6.28,5.64,7.01,5.04,5.04,-,5.4,-,2.22,-,2.53,2.53,1.75,1.75
32,Other Long-Term Liabilities,-,-,14.55,14.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Total Liabilities,442.25,425.53,406.39,407.17,347,240.39,130.34,91.85,99.1,211.23,-,171.54,-,117.05,-,86.39,86.39,115.37,115.37
34,Common Stock,141.76,141.76,101.36,101.36,101.36,72.4,72.4,72.4,72.4,72.4,-,54.3,-,54.3,-,54.3,54.3,54.3,54.3
35,Additional Paid-In Capital,402.33,400.63,421.5,419.45,419.42,446.17,441.94,441.54,441.11,440.72,-,116.77,-,116.12,-,115.4,115.4,114.66,114.66
36,Retained Earnings,60.34,45.32,52.72,57.77,79.36,73.96,119.81,110.92,97.56,156.46,-,139.83,-,111.37,-,85.36,85.36,50.55,50.55
37,Treasury Stock,-5.02,-5.02,-5.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,3.37,3.19,3.55,3.03,3.93,3.49,3.05,2.56,3.02,2.81,-,2.32,-,2.01,-,1.79,1.79,1.75,1.75
39,Total Common Equity,602.78,585.88,574.11,581.61,604.06,596.03,637.2,627.43,614.09,672.39,313.22,313.22,-,283.8,256.85,256.85,256.85,221.26,221.26
40,Minority Interest,71.43,74.27,76.74,80.53,84.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Shareholders' Equity,674.22,660.15,650.85,662.14,688.44,596.03,637.2,627.43,614.09,672.39,313.22,313.22,-,283.8,256.85,256.85,256.85,221.26,221.26
42,Total Liabilities & Equity,1116,1086,1057,1069,1035,836.42,767.55,719.28,713.2,883.63,-,484.76,-,400.84,-,343.24,343.24,336.63,336.63
43,Total Debt,274.47,246.97,256.72,210.38,232.62,98.98,60.16,16.13,31.09,115.63,91.4,91.4,-,45.93,17.02,17.02,17.02,61.09,61.09
44,Net Cash (Debt),-195.91,-210.35,-221.79,-137.57,-140.66,56.34,93.85,181.51,175.84,257.44,-63.1,-63.1,-,-14.77,34.65,34.65,34.65,20.25,20.25
45,Net Cash Growth,-,-,-,-,-,-78.12%,-,-,-,-,-,-,-,-,71.16%,-,-,-,-
46,Net Cash Per Share,-1.26,-1.66,-1.56,-0.97,-0.99,0.40,0.66,1.18,1.37,2.15,-0.59,-0.58,-,-0.14,-,0.33,0.33,0.22,0.22
47,Filing Date Shares Outstanding,141.39,141.39,141.39,141.9,141.9,141.9,141.9,141.9,141.9,141.9,106.46,106.43,105.56,106.43,-,106.43,106.43,106.43,106.43
48,Total Common Shares Outstanding,141.39,141.39,141.39,141.9,141.9,141.9,141.9,141.9,141.9,141.9,106.46,106.43,105.56,106.43,-,106.43,106.43,106.43,106.43
49,Working Capital,68.56,47.36,34.68,32.89,104.64,105.85,207.3,252.95,262.83,339.61,-,40.95,-,66.75,-,79.02,79.02,59.89,59.89
50,Book Value Per Share,4.26,4.14,4.06,4.10,4.26,4.20,4.49,4.42,4.33,4.74,2.94,2.94,-,2.67,2.41,2.41,2.41,2.08,2.08
