,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,13063180,13007592,15397876,16009344,17982718,15731404,14341704,13619060,11284364,9922458,11005600,8387442,14402639,12486498,9601759,9264855,9517533,6822303,4864049,4202875,2842626,Upgrade
1,Market Cap Growth,-17.31%,-17.31%,7.36%,17.55%,59.36%,58.54%,30.31%,62.37%,-21.65%,-20.53%,14.62%,-9.47%,51.33%,83.02%,97.40%,120.44%,234.81%,7.64%,-36.36%,-41.14%,-58.52%,Upgrade
2,Enterprise Value,13437991,12290995,15060203,16378381,18026776,16384019,15515219,15171501,13087095,11775515,12920205,10244691,16156358,14504933,11500446,11325920,11750331,8158825,6187057,5648333,4147202,Upgrade
3,Last Close Price,23500.00,23400.00,27700.00,28800.00,32350.00,28300.00,25800.00,24500.00,20300.00,17850.00,19800.00,15090.91,25909.09,22462.12,17272.73,16666.67,17121.21,12272.73,8750.00,7560.61,5113.64,Upgrade
4,PE Ratio,23.05,18.24,22.58,23.44,25.64,26.35,0.04,0.04,0.03,0.03,-,-,-,-922.45,-283.57,-146.83,-,-,23.96,21.94,11.51,Upgrade
5,Forward PE,18.30,13.12,14.24,14.67,20.06,22.43,27.05,30.16,39.57,19.70,27.45,17.93,30.55,42.20,44.09,47.57,63.13,33.21,42.96,30.79,14.33,Upgrade
6,PS Ratio,1.73,1.37,1.87,2.13,2.74,2.64,0.00,0.00,0.00,0.00,2.01,1.64,3.12,3.11,2.77,2.47,2.31,1.30,0.84,0.75,0.54,Upgrade
7,PB Ratio,1.38,0.80,0.99,1.01,1.17,1.05,0.96,0.95,0.79,0.00,0.77,0.60,1.04,0.89,0.69,0.66,0.68,0.48,0.34,0.30,0.20,Upgrade
8,P/TBV Ratio,0.83,0.83,1.02,1.04,1.20,-,0.99,0.98,0.82,0.00,0.80,0.62,1.07,0.92,0.71,0.69,0.70,0.50,0.36,0.31,0.21,Upgrade
9,P/FCF Ratio,-,-,11.77,10.50,-,10.77,0.00,0.00,0.00,0.00,-30.09,-,-,-12.66,-,-,-,-,59.82,-27.50,-,Upgrade
10,P/OCF Ratio,12.31,12.31,10.21,9.58,-,9.75,0.00,0.00,0.00,0.00,-152.35,-,-,-33.12,-,-,-,-,10.41,19.07,-,Upgrade
11,EV/Sales Ratio,1.41,1.29,1.83,2.18,2.74,2.75,0.00,0.00,0.00,0.00,2.36,2.00,3.50,3.62,3.32,3.02,2.85,1.56,1.07,1.01,0.79,Upgrade
12,EV/EBITDA Ratio,6.40,6.00,7.45,8.13,9.68,9.89,0.00,0.00,0.00,0.00,16.33,14.36,23.77,28.45,28.28,33.30,-,16.65,10.21,8.26,5.24,Upgrade
13,EV/EBIT Ratio,11.31,10.82,12.90,14.65,18.00,21.06,0.01,0.01,0.01,0.01,369.91,-,-,-573.02,-91.79,-75.55,-,-,69.44,-,23.90,Upgrade
