,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,59571,60299,62850,80156,118868,138148,113555,120235,137086,122512,112340
1,Market Cap Growth,-24.77%,-24.77%,-47.13%,-41.98%,4.68%,14.90%,-17.17%,-1.86%,22.03%,-15.14%,-32.79%
2,Enterprise Value,101010,102406,105870,126652,171611,191635,166505,176048,194481,179661,160239
3,Last Close Price,19.62,19.86,20.10,25.02,36.34,41.68,33.62,35.03,39.24,34.53,30.91
4,PE Ratio,67.66,67.68,-,16.82,-21.29,-,-,27.38,-318.80,-,-
5,PS Ratio,4.61,4.67,4.71,6.02,9.34,11.09,7.69,7.49,8.45,7.90,7.85
6,PB Ratio,0.32,0.31,0.33,0.41,0.61,0.71,0.56,0.57,0.65,0.59,0.53
7,P/FCF Ratio,-,-,10.56,13.67,18.87,20.66,14.52,15.09,18.13,25.40,18.28
8,P/OCF Ratio,-,-,10.56,13.67,18.87,20.66,14.52,15.09,18.13,25.40,18.28
9,EV/Sales Ratio,7.82,7.93,7.94,9.52,13.49,15.38,11.27,10.97,11.99,11.58,11.19
10,EV/EBITDA Ratio,10.43,10.31,10.37,12.37,17.88,21.01,17.73,18.74,19.97,17.50,14.24
11,EV/EBIT Ratio,10.71,10.57,10.62,12.67,18.38,21.68,18.33,19.42,20.61,18.01,14.63
12,EV/FCF Ratio,-,-,17.79,21.59,27.24,28.65,21.28,22.09,25.72,37.24,26.08
13,Debt / Equity Ratio,0.19,0.19,0.20,0.20,0.22,0.25,0.25,0.24,0.25,0.26,0.27
14,Debt / FCF Ratio,-,-,6.39,6.81,6.84,7.41,6.53,6.27,7.11,11.36,9.46
15,Earnings Yield,1.50%,1.48%,3.04%,5.95%,-4.70%,-6.41%,-0.04%,3.65%,-0.31%,-6.41%,-6.69%
16,FCF Yield,-,9.47%,7.32%,5.30%,4.84%,6.89%,6.63%,5.52%,3.94%,5.47%,
17,Dividend Yield,6.32%,6.24%,6.22%,5.12%,3.52%,3.14%,3.99%,3.74%,3.47%,4.26%,5.53%
18,Total Shareholder Return,6.32%,6.24%,6.22%,5.12%,3.52%,3.14%,3.99%,3.74%,3.47%,4.26%,5.53%
