,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,270.88,252.6,356.77,380.12,339.34,360.46,397.88,372.36,472.11,475.77,36.24,62.7,-,122.04,-,91.23,91.23,56.95,56.95
1,Trading Asset Securities,54.4,54.4,-,0,15,15,-,100,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,325.28,307,356.77,380.12,354.34,375.46,397.88,472.36,472.11,475.77,36.24,62.7,-,122.04,91.23,91.23,91.23,56.95,56.95
3,Cash Growth,-8.20%,-18.23%,-10.33%,-19.53%,-24.94%,-21.08%,997.81%,653.33%,-,289.84%,-60.27%,-31.27%,-,114.30%,60.19%,-,-,-,-
4,Accounts Receivable,274.63,257.44,213.93,170.82,203.11,185.1,198.7,191.11,192.55,193.19,183.67,210.75,-,197.58,-,194.27,194.27,207.48,207.48
5,Other Receivables,6.8,6.84,5,15.34,-,-,-,27.98,-,-,-0,0,-,1.04,-,1.04,1.04,2.07,2.07
6,Receivables,281.43,264.28,218.93,186.15,203.11,185.1,198.7,219.09,192.55,193.19,183.67,210.75,-,198.61,-,195.3,195.3,209.55,209.55
7,Inventory,179.5,195.33,206.31,209.97,186.17,183.57,200.27,195.9,173.57,178.06,163.7,158.27,-,126.28,-,108.42,108.42,97.65,97.65
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,3.12,1,1,-,-,-,-,-,-,-
9,Other Current Assets,4.42,3.84,4.3,7.57,9.38,4.58,18.7,15.16,7.75,7.49,6.46,3.94,-,1.96,-,2.55,2.55,2.73,2.73
10,Total Current Assets,790.62,770.46,786.3,783.81,753,748.72,815.56,902.5,845.98,857.64,391.08,436.66,-,448.89,-,397.5,397.5,366.89,366.89
11,"Property, Plant & Equipment",743.16,749.49,786.16,794.16,707.87,682.22,670.94,658.45,506.48,481.05,460.89,415.41,-,335.04,-,284.98,284.98,228.78,228.78
12,Long-Term Investments,-,-,-,-,-,-,-,-,5.66,5.66,5.66,5.66,-,5.66,-,5.66,5.66,5.66,5.66
13,Other Intangible Assets,110.66,111.43,91.25,91.91,92.6,93.34,94.09,94.83,95.58,96.32,96.79,97.53,-,98.99,-,96.74,96.74,98.03,98.03
14,Long-Term Deferred Tax Assets,-,-,0.5,0.42,9.09,11.69,12.77,13.28,1.78,1.92,1.51,1.66,-,1.65,-,1.28,1.28,1.35,1.35
15,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,2.61,1.45,0.73,-,-,-,-,-,-,-,-
16,Other Long-Term Assets,27.65,35.17,11.94,16.63,57.82,57.23,45.48,24.22,114.06,103.88,52.24,33.23,-,22.86,-,9.07,9.07,2.61,2.61
17,Total Assets,1672,1667,1676,1687,1620,1593,1639,1693,1572,1548,1009,990.15,-,913.11,-,795.23,795.23,703.32,703.32
18,Accounts Payable,283.65,293.92,301.44,316.84,264.79,261.65,278.16,328.71,250.54,248.9,248.61,278.98,-,281.3,-,228.3,228.3,211.48,211.48
19,Accrued Expenses,12.41,18.85,8.99,19.04,13.12,15.63,8.59,17.13,10.51,12.58,7.18,15.12,-,14.05,-,13.15,13.15,10.16,10.16
20,Short-Term Debt,39.84,33.72,19,16.7,8.07,5.14,4,15.92,4,4,4,2,-,2,-,-,-,17.02,17.02
21,Current Income Taxes Payable,5.48,0.02,4.07,0.01,4.25,0.06,4.99,0.14,8.14,3.24,2.83,3.38,-,2.8,-,1.81,1.81,2.3,2.3
22,Current Unearned Revenue,1.19,0.91,1.94,2.06,2.62,1.38,1.82,0.15,0.6,2.81,3.38,1.18,-,0.62,-,0.27,0.27,0.36,0.36
23,Other Current Liabilities,0.21,0.18,0.51,0.28,0.37,0.23,0.28,0.06,0.12,0.41,0.04,0.19,-,0.12,-,0.34,0.34,1.49,1.49
24,Total Current Liabilities,342.78,347.59,335.94,354.93,293.21,284.09,297.83,362.11,273.92,271.93,266.04,300.85,-,300.9,-,243.87,243.87,242.81,242.81
25,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,193.65,154.44,-,119.09,-,95.46,95.46,45.19,45.19
26,Long-Term Unearned Revenue,15.99,16.7,13.07,13.66,1.6,5.88,2.06,2.3,2.53,2.76,3,3.23,-,3.37,-,3.82,3.82,4.27,4.27
27,Long-Term Deferred Tax Liabilities,1.24,0.83,-,-,8.94,9.17,9.4,9.64,-,-,-,-,-,-,-,-,-,-,-
28,Other Long-Term Liabilities,-,-,-,-,-,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Total Liabilities,360,365.12,349.01,368.59,303.75,299.3,309.3,374.04,276.45,274.7,462.69,458.53,-,423.35,-,343.15,343.15,292.27,292.27
30,Common Stock,100,100,100,100,100,100,100,100,100,100,75,75,-,75,-,75,75,75,75
31,Additional Paid-In Capital,883.21,883.21,883.21,883.21,883.21,883.21,883.21,883.21,883.21,883.21,202.23,202.23,-,202.23,-,202.23,202.23,202.23,202.23
32,Retained Earnings,337.8,327.09,343.95,335.14,333.43,310.69,346.32,336.04,312.49,290.02,268.99,254.4,-,212.52,-,174.85,174.85,133.82,133.82
33,Treasury Stock,-8.91,-8.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Shareholders' Equity,1312,1301,1327,1318,1317,1294,1330,1319,1296,1273,546.22,531.63,-,489.75,452.08,452.08,452.08,411.05,411.05
35,Total Liabilities & Equity,1672,1667,1676,1687,1620,1593,1639,1693,1572,1548,1009,990.15,-,913.11,-,795.23,795.23,703.32,703.32
36,Total Debt,39.84,33.72,19,16.7,8.07,5.14,4,15.92,4,4,197.65,156.44,-,121.09,95.46,95.46,95.46,62.21,62.21
37,Net Cash (Debt),285.44,273.28,337.77,363.41,346.27,370.32,393.88,456.44,468.11,471.77,-161.41,-93.74,-,0.95,-4.24,-4.24,-4.24,-5.26,-5.26
38,Net Cash Growth,-17.57%,-26.20%,-14.25%,-20.38%,-26.03%,-21.50%,-,-,-,49399.73%,-,-,-,-,-,-,-,-,-
39,Net Cash Per Share,2.96,2.68,3.45,3.70,3.42,3.81,3.83,4.62,4.61,5.31,-2.10,-1.24,-,0.01,-0.06,-0.06,-0.06,-0.07,-0.07
40,Filing Date Shares Outstanding,99.44,99.44,100,99.79,100,100,100,100,100,100,76.77,75,73.96,75,74.56,75,75,75,75
41,Total Common Shares Outstanding,99.44,99.44,100,100,100,100,100,100,100,100,76.77,75,73.96,75,74.56,75,75,75,75
42,Working Capital,447.85,422.87,450.36,428.88,459.8,464.63,517.73,540.39,572.06,585.7,125.04,135.8,-,148,-,153.63,153.63,124.08,124.08
43,Book Value Per Share,13.20,13.09,13.27,13.18,13.17,12.94,13.30,13.19,12.96,12.73,7.11,7.09,-,6.53,6.03,6.03,6.03,5.48,5.48
44,Tangible Book Value,1201,1190,1236,1226,1224,1201,1235,1224,1200,1177,449.42,434.1,-,390.76,355.34,355.34,355.34,313.02,313.02
45,Tangible Book Value Per Share,12.08,11.97,12.36,12.26,12.24,12.01,12.35,12.24,12.00,11.77,5.85,5.79,-,5.21,4.74,4.74,4.74,4.17,4.17
46,Buildings,-,396.91,-,457.76,-,259.92,-,259.92,-,93.74,-,93.74,-,93.74,-,93.74,93.74,93.74,93.74
47,Machinery,-,717.36,-,707,-,565.37,-,545.73,-,406.64,-,399.44,-,386.11,-,364.28,364.28,375.79,375.79
48,Construction In Progress,-,22.05,-,21.56,-,219.85,-,193.42,-,309.08,-,238.22,-,165.65,-,124.8,124.8,61.87,61.87
