,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,154.06,157.53,160.34,143.45,177.83,172.96,148.98,163.13,168.12,160.75,157.11,160.63,153.98,183.64,138.92,142.19,142.19,121.43,121.43
1,Other Revenue,-3.25,3.25,-,7.54,-2.6,2.6,-,4.44,-2.52,2.52,-,2.6,-1.66,1.66,-,0.99,0.99,0.24,0.24
2,Revenue,150.81,160.78,160.34,150.99,175.23,175.56,148.98,167.57,165.6,163.27,157.11,163.24,152.32,185.29,138.92,143.18,143.18,121.68,121.68
3,Revenue Growth (YoY),-13.93%,-8.42%,7.62%,-9.89%,5.81%,7.52%,-5.17%,2.65%,8.72%,-11.88%,13.10%,14.01%,6.39%,52.28%,14.17%,-,-,-,-
4,Cost of Revenue,125.46,128.65,135.66,128.4,144.54,146.15,127.83,140.42,130.44,128.46,128.97,136.34,116.94,143.74,111.79,108.84,108.84,94.15,94.15
5,Gross Profit,25.35,32.13,24.68,22.59,30.69,29.41,21.15,27.14,35.16,34.81,28.14,26.89,35.38,41.56,27.13,34.34,34.34,27.53,27.53
6,"Selling, General & Admin",8.52,10.15,10.98,12.59,10,8.16,6.04,8.13,7.55,6.85,5.87,0.92,7.19,7.12,5.21,6.21,6.21,5.31,5.31
7,Research & Development,8.27,7.62,6.23,7.87,7.11,7.93,6.77,8.37,6.66,6.14,6.52,6.27,7.89,5.92,5.48,5.18,5.18,4.54,4.54
8,Other Operating Expenses,0.3,1.57,0.23,-3.72,0.68,0.37,0.95,6.9,0.14,-2.89,0.62,2.33,0.85,0.66,1.11,4.84,1.19,-0.07,-0.07
9,Operating Expenses,17.44,18.71,18.97,15.66,17.65,15.99,13.76,22.86,16.2,10.14,13.01,9.69,15,15.3,12.01,15.59,12.53,10.22,10.22
10,Operating Income,7.9,13.41,5.72,6.92,13.04,13.42,7.39,4.28,18.95,24.66,15.13,17.2,20.38,26.26,15.12,18.75,21.81,17.31,17.31
11,Interest Expense,-,-2.46,-,-0.29,-,-0.07,-,-0.23,-,-0.06,-,-0.02,-0.02,-,-0.03,-0.04,-0.04,-0.25,-0.25
