,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2381,2053,2433,1819,2479,2590,2970,2674,2202,2646,2523,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-20.72%,-20.72%,-18.08%,-31.97%,12.58%,-2.12%,17.72%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2095,1780,2095,1473,2133,2220,2576,2206,1734,2174,2684,-,-,-,-,-,-,-,-,-
3,Last Close Price,23.94,20.65,24.38,17.88,24.37,25.46,29.20,25.80,21.24,25.53,24.34,-,-,-,-,-,-,-,-,-
4,PE Ratio,55.71,59.85,63.84,46.16,60.65,41.30,42.03,34.58,26.97,32.18,32.55,-,-,-,-,-,-,-,-,-
5,PS Ratio,3.80,3.30,3.76,2.75,3.81,3.88,4.52,4.14,3.37,4.08,3.97,-,-,-,-,-,-,-,-,-
6,PB Ratio,1.81,1.56,1.87,1.37,1.88,1.97,2.30,2.01,1.67,2.04,1.98,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.71,1.71,2.04,1.47,2.02,2.12,2.47,2.16,1.80,2.20,2.14,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-139.20,-,-,-76.80,-,-45.92,-,-,-13.31,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,25.37,25.37,-,-,18.15,28.57,25.14,-,32.89,120.16,-314.93,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.36,2.86,3.24,2.22,3.28,3.33,3.92,3.42,2.65,3.35,4.22,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,19.14,18.98,22.85,17.20,26.65,31.66,33.78,26.90,19.27,21.08,25.66,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,64.84,52.42,53.59,37.67,52.31,58.21,58.49,39.90,27.51,28.63,34.69,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-142.03,-120.68,-,-,-66.07,-,-39.83,-,-,-10.93,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.03,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.36,0.29,-,0.25,0.21,0.21,0.21,0.15,0.15
15,Debt / EBITDA Ratio,0.36,0.46,0.27,0.24,0.20,0.10,0.05,0.07,0.37,0.04,0.03,2.25,1.63,-,0.91,1.09,0.92,0.84,0.65,0.65
16,Debt / FCF Ratio,-,-2.70,-,-,-0.52,-,-0.08,-,-,-0.02,-,-,-,-,-9.22,-,-,-,-,-
17,Asset Turnover,0.36,0.38,0.38,0.37,0.44,0.43,0.36,0.41,0.42,0.51,0.63,-,-,-,-,0.72,0.76,0.69,-,
18,Inventory Turnover,2.83,2.68,2.56,2.61,2.59,3.13,3.05,2.58,3.04,2.97,3.01,3.20,-,-,-,-,4.02,4.23,3.86,-
19,Quick Ratio,1.77,1.77,1.64,1.71,1.60,1.90,1.97,2.00,1.91,2.43,2.46,0.83,0.91,-,1.07,-,1.17,1.17,1.10,1.10
20,Current Ratio,2.31,2.31,2.22,2.34,2.21,2.57,2.64,2.74,2.49,3.09,3.15,1.47,1.45,-,1.49,-,1.63,1.63,1.51,1.51
21,Return on Equity (ROE),3.28%,3.98%,2.66%,0.52%,4.45%,4.38%,3.11%,7.20%,7.00%,9.25%,10.83%,-,-,20.60%,11.87%,18.15%,19.02%,14.71%,-,
22,Return on Assets (ROA),1.18%,2.01%,0.85%,1.05%,2.03%,2.08%,1.11%,0.66%,3.04%,4.82%,3.78%,-,-,-,-,5.89%,7.28%,6.15%,-,
23,Return on Capital (ROIC),1.47%,2.50%,1.07%,1.30%,2.48%,2.55%,1.38%,0.81%,3.68%,6.10%,5.28%,-,-,11.33%,6.90%,8.56%,10.68%,9.14%,-,
24,Return on Capital Employed (ROCE),2.43%,2.55%,2.96%,2.92%,3.06%,2.87%,3.36%,4.12%,4.73%,5.85%,6.06%,10.63%,11.46%,-,13.38%,-,13.63%,10.23%,7.52%,3.76%
25,Earnings Yield,1.79%,1.67%,1.57%,2.17%,1.65%,2.42%,2.38%,2.89%,3.71%,3.11%,3.07%,-,-,-,-,-,-,-,-,-
26,FCF Yield,-0.62%,-0.72%,-2.52%,0.81%,-1.30%,-3.28%,-2.18%,-6.40%,-7.13%,-7.51%,-8.88%,-,-,-,-,-,-,-,-,-
27,Dividend Yield,1.22%,-,-,-,1.23%,-,-,-,2.35%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,69.35%,0.99%,229.74%,1.28%,-,5.77%,348.22%,0.35%,0.19%,0.17%,4.11%,14.25%,7.25%,8.95%,-,20.75%,4.46%,4.46%,4.07%,4.07%
29,Buyback Yield / Dilution,1.04%,4.71%,-4.90%,4.79%,0.47%,0.19%,-9.30%,-33.92%,-30.81%,-37.17%,-16.77%,-2.98%,-0.72%,1.39%,-1.53%,0.59%,-,-,-,-
30,Total Shareholder Return,2.26%,4.71%,-4.90%,4.79%,1.70%,0.19%,-9.30%,-33.92%,-28.45%,-37.17%,-16.77%,-2.98%,-0.72%,1.39%,-1.53%,0.59%,-,-,-,-
