,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,368.91,333.67,401.69,347.91,199.69,278.08,414.66,389.78,510.79,337.15,821.52,387.57,581.37,476.7,672.81,421.08,560.45,430.03,544.89,286.95
1,Other Revenue,-,-0.94,0.94,-,1.33,-0.94,0.94,-,0.93,-0.49,0.49,-,1.58,-1.42,1.42,-,1.47,-0.14,0.08,0.06
2,Revenue,368.91,332.74,402.63,347.91,201.02,277.14,415.6,389.78,511.73,336.66,822.01,387.57,582.95,475.28,674.24,421.08,561.91,429.89,544.97,287.01
3,Revenue Growth (YoY),83.52%,20.06%,-3.12%,-10.74%,-60.72%,-17.68%,-49.44%,0.57%,-12.22%,-29.16%,21.92%,-7.96%,3.74%,10.56%,23.72%,46.71%,-,-,-,-
4,Cost of Revenue,-382.76,100.99,140.71,141.06,115.13,74.69,169.02,101.46,162.56,75.88,177.94,73.12,123.99,84.83,134.88,65.4,120.34,63.92,95.83,58.88
5,Gross Profit,751.67,231.74,261.92,206.86,85.89,202.45,246.58,288.32,349.16,260.78,644.07,314.46,458.96,390.45,539.36,355.68,441.57,365.97,449.14,228.13
6,"Selling, General & Admin",-436.44,117.55,169.41,149.49,111.4,147.68,192.13,170.6,185.4,192.2,237.5,171.36,212.12,223.92,208.45,182.87,210.05,191.98,181.47,127.25
7,Research & Development,-91.16,27.51,34.12,29.53,43.56,24.92,34.39,27.33,27.1,30.18,40.32,20.06,39.55,30.69,26.82,24.18,22.54,26.2,15.82,17.91
8,Other Operating Expenses,1177,-3.41,4.91,1.72,-1.23,2.33,5.18,1.91,17.9,0.38,6.68,3.93,21.09,-0,4.78,5.39,28.41,-8.42,17.51,2.75
9,Operating Expenses,659.95,134.79,207.98,177.73,160.31,165.47,233.31,195.83,240.81,219.9,294.56,192.76,267.66,252.32,243.15,220.85,263.78,209.65,203.27,160.85
10,Operating Income,91.72,96.96,53.94,29.13,-74.42,36.98,13.27,92.49,108.36,40.88,349.51,121.7,191.3,138.13,296.2,134.83,177.79,156.32,245.86,67.28
11,Interest Expense,-35.27,-0.07,-,-0.16,-0.64,-0.04,-0.27,-,-0.61,-,-0.41,-,-0.61,-,-0.42,-,-,-,-,-
12,Interest & Investment Income,0.22,9.95,13.03,12.29,17.84,9.96,10.02,18.29,11.23,17.46,20.76,15.54,20.79,12.16,6.78,3.62,4.42,2.54,3.58,4.87
13,Currency Exchange Gain (Loss),-,0.7,-0.7,-,-1.24,-0.18,0.18,-,2.18,-1.5,1.5,-,-0.51,-0.02,0.02,-,-2.44,-0.89,-0.81,1.7
14,Other Non Operating Income (Expenses),1.73,-2.27,-0.64,0.42,9.76,1.51,0,-0.04,3.89,2.48,-0.19,-0.16,-5.46,-0.67,-0.92,0.77,0.68,-0.75,-0.1,-0.18
15,EBT Excluding Unusual Items,58.4,105.27,65.64,41.68,-48.71,48.24,23.21,110.75,125.04,59.33,371.17,137.07,205.5,149.6,301.67,139.22,180.45,157.21,248.54,73.68
16,Impairment of Goodwill,-,0.12,-0.12,-,-0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-0.09,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,0.12,0,-0.11,-0.01,-0.08,0,-0.01,0.1,0.11,0.04,0.07,0,-0.16,0.14,-0.14,0.05,1.57,-2.02,-0,-
19,Asset Writedown,12.49,-12.49,0.19,-0.19,39.35,-39.35,0.79,-0.79,6.02,-6.02,2.98,-2.98,3.43,-3.43,9.53,-9.53,15.86,-15.83,-1.62,-
20,Other Unusual Items,-,-4.61,4.61,-,-1.71,-,-,-,13.38,-,-,-,14.05,-,-,-,8.2,-,-,-
21,Pretax Income,70.93,88.38,70.2,41.48,-11.31,8.89,23.99,110.05,144.55,53.35,374.22,134.09,222.81,146.31,311.06,129.74,206.08,139.36,246.91,73.68
22,Income Tax Expense,17.54,16.12,9.88,5.63,-2.52,-1.49,6.58,15.96,28.38,2.81,55.48,19.19,27.34,20.53,52.42,18.31,29.96,22.95,33.32,18.09
23,Earnings From Continuing Operations,53.39,72.26,60.32,35.85,-8.78,10.38,17.41,94.09,116.16,50.54,318.75,114.91,195.47,125.79,258.64,111.44,176.12,116.41,213.6,55.6
24,Minority Interest in Earnings,4.13,-1.09,-2.09,-0.95,-0.91,-0.13,0.21,0.05,0.01,-0.02,0.31,0.05,0.5,-0.59,-0.71,-0.22,-0.93,-0.98,-1,-0.4
25,Net Income,57.52,71.16,58.22,34.91,-9.69,10.25,17.62,94.14,116.18,50.52,319.05,114.95,195.97,125.2,257.93,111.22,175.19,115.43,212.6,55.19
26,Net Income to Common,57.52,71.16,58.22,34.91,-9.69,10.25,17.62,94.14,116.18,50.52,319.05,114.95,195.97,125.2,257.93,111.22,175.19,115.43,212.6,55.19
27,Net Income Growth,-,594.19%,230.47%,-62.92%,-,-79.71%,-94.48%,-18.11%,-40.72%,-59.65%,23.70%,3.36%,11.86%,8.47%,21.32%,101.51%,-,-,-,-
