,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,10814,10020,11291,7896,10197,16580,16184,17324,22888,20876,24800,19276,22212,25488,30040,42420,-,-,-,-,-
1,Market Cap Growth,-39.57%,-39.57%,-30.24%,-54.42%,-55.45%,-20.58%,-34.74%,-10.13%,3.04%,-18.09%,-17.44%,-54.56%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8834,8039,8128,6095,7133,14778,13152,15268,19092,18239,21091,16627,18575,22115,26727,40778,-,-,-,-,-
3,Last Close Price,27.22,25.22,28.22,19.61,25.28,41.01,40.03,42.85,56.12,51.18,60.80,47.26,53.83,61.77,72.81,102.81,-,-,-,-,-
4,PE Ratio,49.49,45.17,73.03,84.28,192.09,-,67.95,62.22,39.47,34.75,36.44,25.53,32.00,36.92,44.87,64.30,-,-,-,-,-
5,Forward PE,37.29,36.82,44.28,29.58,13.52,23.16,22.89,26.15,22.47,21.46,27.19,21.00,23.49,28.51,35.59,-,-,-,-,-,-
6,PS Ratio,7.56,6.90,8.79,6.43,8.21,12.92,10.15,10.48,11.11,10.14,11.65,8.50,10.48,11.84,14.09,20.32,-,-,-,-,-
7,PB Ratio,2.76,2.55,2.88,2.02,2.62,4.28,4.11,4.41,5.62,4.17,5.20,4.08,4.79,5.62,6.92,10.01,-,-,-,-,-
8,P/TBV Ratio,2.65,2.65,2.99,2.10,2.73,4.46,4.27,4.58,5.76,4.26,5.31,4.17,4.90,5.75,7.09,10.28,-,-,-,-,-
9,P/FCF Ratio,-,-,59.44,46.17,181.70,216.83,81.74,229.31,89.86,53.15,-,28.36,28.10,37.71,46.57,68.92,-,-,-,-,-
10,P/OCF Ratio,-,-,52.25,38.35,100.93,138.81,68.41,150.13,63.47,41.05,-,23.17,24.52,32.33,40.33,61.46,-,-,-,-,-
11,EV/Sales Ratio,6.08,5.54,6.33,4.96,5.74,11.51,8.25,9.23,9.27,8.86,9.91,7.33,8.76,10.27,12.53,19.54,-,-,-,-,-
12,EV/EBITDA Ratio,26.92,24.55,50.38,60.04,115.86,-,42.71,49.17,29.53,27.04,27.90,19.55,23.41,27.51,33.92,50.11,-,-,-,-,-
13,EV/EBIT Ratio,32.51,29.58,76.97,133.57,1437.69,-,52.38,59.87,32.29,29.40,29.98,20.77,24.86,29.08,35.78,53.29,-,-,-,-,-
14,EV/FCF Ratio,-,-,42.79,35.64,127.10,193.26,66.43,202.09,74.96,46.43,-,24.46,23.50,32.72,41.43,66.26,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,-,-,-,-,-
16,Debt / EBITDA Ratio,0.02,0.02,0.01,0.06,0.05,-,0.06,0.11,0.03,0.03,0.07,0.01,0.03,0.02,0.04,0.02,-,-,-,-,-
17,Debt / FCF Ratio,-,-,0.03,0.10,0.17,0.14,0.06,0.18,0.05,0.04,-,0.02,0.02,0.03,0.04,0.04,-,-,-,-,-
18,Asset Turnover,-,0.26,0.32,0.27,0.16,0.21,0.31,0.27,0.35,0.24,0.58,0.28,0.44,0.37,0.65,0.52,-,-,-,-,
19,Inventory Turnover,-,-,0.54,0.75,0.75,0.64,0.44,0.99,0.59,0.99,0.49,1.20,0.50,0.89,0.62,0.97,0.47,-,-,-,-
20,Quick Ratio,-,-,2.34,3.29,2.11,3.17,2.06,3.20,2.12,5.10,4.24,4.80,4.14,5.57,5.76,5.25,3.60,3.21,-,3.13,-
21,Current Ratio,-,-,4.38,4.05,4.10,3.92,3.91,3.84,3.76,5.91,6.58,5.51,6.51,6.40,6.71,6.08,4.69,4.17,-,3.98,-
22,Return on Equity (ROE),5.44%,7.39%,6.19%,3.69%,-0.90%,1.06%,1.74%,8.29%,9.51%,4.26%,27.25%,10.02%,17.61%,11.73%,30.36%,17.68%,-,-,42.25%,-,
23,Return on Assets (ROA),-,4.79%,2.66%,1.43%,-3.63%,1.79%,0.62%,4.04%,4.66%,1.80%,15.53%,5.58%,9.07%,6.74%,17.74%,10.50%,-,-,-,-,
24,Return on Capital (ROIC),5.83%,6.18%,3.45%,1.87%,-4.75%,2.34%,0.83%,5.08%,5.53%,2.15%,18.61%,6.61%,10.72%,8.00%,21.65%,13.37%,-,-,30.40%,-,
25,Return on Capital Employed (ROCE),-,-,2.61%,1.13%,0.12%,-,6.20%,6.28%,14.12%,12.10%,14.41%,16.51%,15.68%,16.29%,16.66%,17.49%,26.60%,25.25%,-,13.87%,-
26,Earnings Yield,2.05%,2.21%,1.37%,1.19%,0.52%,0.68%,1.47%,1.61%,2.53%,2.88%,2.74%,3.92%,3.12%,2.71%,2.23%,1.56%,-,-,-,-,-
27,FCF Yield,-,1.68%,2.17%,0.55%,0.46%,1.22%,0.44%,1.11%,1.88%,2.03%,3.53%,3.56%,2.65%,2.15%,1.45%,-,-,-,-,-,
28,Dividend Yield,0.52%,-,0.85%,0.97%,-,0.29%,-,-,-,0.80%,-,-,-,0.84%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,54.74%,15.53%,-,-,-,930.75%,-,-,6.81%,65.19%,-,-,-,-,-,-,-,79.12%,1144.74%
30,Buyback Yield / Dilution,-0.54%,3.00%,-2.58%,-3.93%,1.12%,-5.79%,5.56%,-1.52%,1.05%,0.38%,-1.68%,-11.71%,-10.49%,-12.52%,-10.53%,0.16%,-,-,-,-,-
31,Total Shareholder Return,-0.02%,3.00%,-1.73%,-2.96%,1.12%,-5.50%,5.56%,-1.52%,1.05%,1.18%,-1.68%,-11.71%,-10.49%,-11.68%,-10.53%,0.16%,-,-,-,-,-
