,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,1946,1986,1817,1860,1818,1784,2069,2717,2651,2629,2662,2560,3406,3350,1653,1601,-,1338,-
1,Short-Term Investments,-,-,1202,-,1219,-,1265,-,1195,-,1097,-,1091,-,-,-,-,-,-,-
2,Trading Asset Securities,-,50.09,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1996,1996,3188,1817,3080,1818,3049,2069,3912,2651,3726,2672,3660,3406,3350,1653,1601,-,1338,1812
4,Cash Growth,-35.18%,9.79%,4.55%,-12.18%,-21.27%,-31.42%,-18.15%,-22.55%,6.88%,-22.17%,11.22%,61.65%,128.57%,-,150.37%,-8.80%,-,-,-,-
5,Accounts Receivable,-,269.39,313.41,354.96,361.99,451.28,577.17,561.47,620.13,469.96,610.6,366.49,427.29,402.73,464.25,356.7,349.96,-,370.36,-
6,Other Receivables,-,1.98,3.96,2.67,2.2,11.88,4.22,4.31,2.89,1.41,2.04,1.46,1.57,2.07,1.75,2.24,9.34,-,10.25,-
7,Receivables,-,271.37,317.37,357.63,364.18,463.16,581.39,565.78,623.02,471.37,612.64,367.96,428.86,404.8,466,358.94,359.3,-,380.61,-
8,Inventory,-,743.56,744.8,754.05,753.78,694.71,660.49,705.21,666.62,652.43,581.32,603.53,564.9,550.41,544.95,565.85,555.62,-,432.22,-
