,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,495261,497280,596196,606880,512112,414771,336712,347435,324426,310288,294589,276312,260677,251257,159562,250395,207593,187455,238985,247250,Upgrade
1,Short-Term Investments,92581,18019,75085,75297,55859,58297,31271,82279,34754,35153,36293,90086,60387,38631,24780,78912,27836,129074,102656,214918,Upgrade
2,Trading Asset Securities,569.91,569.91,571.16,571.16,571.16,571.16,568.79,568.79,583.44,583.44,611.12,611.12,580.63,566.7,564.92,562.28,562.28,98003,100625,100625,Upgrade
3,Cash & Short-Term Investments,588411,515868,671853,682748,568542,473639,368552,430283,359763,346024,331493,367009,321645,290455,184907,329869,235991,414533,442266,562793,Upgrade
4,Cash Growth,3.49%,8.92%,82.30%,58.67%,58.03%,36.88%,11.18%,17.24%,11.85%,19.13%,79.28%,11.26%,36.30%,-29.93%,-58.19%,-41.39%,-57.88%,-13.90%,-13.22%,-15.83%,Upgrade
5,Accounts Receivable,320364,297767,269947,261958,240512,292238,257982,270377,275945,336357,396425,356928,385010,363796,308325,338186,357133,283598,314762,299826,Upgrade
6,Other Receivables,122285,58533,118271,24799,122572,48301,129672,11979,106028,40556,74588,10900,16113,18603,29036,13050,37870,24653,35094,31261,Upgrade
7,Receivables,442650,400725,388218,286757,363083,340538,387654,282356,381973,376913,471013,367829,401123,382399,417195,351236,395003,311251,352856,331088,Upgrade
8,Inventory,55665,71648,60414,57963,95236,114424,126376,113945,109009,121505,116369,107957,154142,100125,76452,59245,44318,35351,35618,21575,Upgrade
9,Prepaid Expenses,7166,9476,9456,8951,7646,8807,8592,6479,7075,7923,12266,12013,8982,10057,10792,12005,14765,18354,10282,5825,Upgrade
10,Other Current Assets,72011,219724,84402,134839,132210,204702,121602,161148,143771,239935,192826,141815,291145,248318,223165,145827,166916,171765,170281,113662,Upgrade
11,Total Current Assets,1165904,1217442,1214342,1171257,1166718,1142110,1012776,994212,1001590,1092300,1123967,996622,1177037,1031356,912510,898183,856994,951254,1011303,1034943,Upgrade
12,"Property, Plant & Equipment",1167927,1033790,1012427,1031617,1049537,1054585,1101273,1093026,1076154,1023075,969385,951810,863792,850570,722099,712615,717926,721928,709281,660689,Upgrade
13,Long-Term Investments,600563,577424,573314,554190,527334,504692,495992,529890,527745,508575,508725,548145,538507,539009,571202,570353,560075,588391,383508,410346,Upgrade
14,Goodwill,15999,18562,21125,23687,26250,28812,31375,33938,36500,39063,41626,44188,46751,49314,51876,54439,57002,59564,62127,64689,Upgrade
15,Other Intangible Assets,49127,30625,31155,31685,32217,26665,64250,59906,59863,58190,58350,58511,58431,58396,58554,58725,71128,71304,71480,71656,Upgrade
16,Long-Term Deferred Tax Assets,14489,15077,15331,15584,17520,17070,15861,15978,13605,13442,12904,14055,13670,14919,16700,19653,17499,26496,13571,14063,Upgrade
17,Other Long-Term Assets,40511,42956,33422,40657,40219,43530,49801,57085,62123,67200,74696,70860,64871,69591,57672,25256,26590,28533,25948,19069,Upgrade
18,Total Assets,3054520,2935876,2901115,2868678,2859794,2817463,2771328,2784035,2777582,2801845,2789654,2684191,2763057,2613155,2390614,2339223,2307213,2447470,2277218,2275457,Upgrade
19,Accounts Payable,102286,106267,110284,122008,102180,109904,97745,135044,114531,176071,199377,217387,222952,217450,-,172566,169484,145205,166840,188157,Upgrade
20,Accrued Expenses,108760,104243,90947,83492,105734,85013,103494,69630,98912,94716,88838,87978,144489,88714,60562,73183,95042,77253,51259,69069,Upgrade
21,Short-Term Debt,108923,792.24,3028,5288,15137,10756,33154,36168,52148,53689,42595,32829,34149,26310,42436,45892,15799,185604,28373,15358,Upgrade
22,Current Portion of Long-Term Debt,24837,18889,25036,18778,20956,18587,12899,21268,15871,21544,34364,19994,28883,12885,12807,12902,13662,10734,9368,7131,Upgrade
23,Current Portion of Leases,-,13910,-,10239,-,10239,-,10239,-,10239,-,12620,-,-,-,-,-,-,-,-,Upgrade
24,Current Income Taxes Payable,16677,1109,13829,35547,23290,18756,8502,16397,13321,15813,11852,9577,10466,13416,8715,7917,11619,7487,4977,6571,Upgrade
25,Current Unearned Revenue,37644,36764,37616,37833,42431,36852,38161,37364,37598,36436,36742,36801,37271,43821,37273,37490,39494,36785,37549,38283,Upgrade
26,Other Current Liabilities,169627,181684,191701,167807,155501,176672,143432,158477,155013,170961,177900,153469,235485,204934,337869,159067,178669,142982,137661,133959,Upgrade
27,Total Current Liabilities,568754,463659,472441,480993,465228,466779,437388,484587,487393,579468,591668,570655,713697,607529,499662,509016,523769,606051,436027,458530,Upgrade
28,Long-Term Debt,86883,74876,87210,84767,101926,92980,114901,106945,157386,139911,191726,146191,149628,172865,127359,129707,133190,118769,104592,80311,Upgrade
29,Long-Term Leases,-,14683,-,5120,-,10239,-,15359,-,20479,-,25598,-,-,-,-,-,-,-,-,Upgrade
30,Long-Term Deferred Tax Liabilities,7395,2444,2433,2436,2439,2511,8426,8410,8564,8383,8386,8388,8391,8393,8396,8399,10675,10678,10681,10683,Upgrade
31,Other Long-Term Liabilities,45472,37219,38691,40718,41986,41150,44465,45020,44790,45945,47309,48328,49165,49167,49167,47861,29139,23398,23999,25093,Upgrade
32,Total Liabilities,708504,592881,600775,614033,611579,613660,605181,660321,698134,794186,839088,799161,920881,837955,684585,694984,696773,758896,575300,574618,Upgrade
33,Common Stock,982534,982534,982534,982534,982534,982534,982534,982534,982534,982534,982534,982534,982534,982534,982534,982534,982534,982534,982534,982534,Upgrade
34,Retained Earnings,1295993,1241737,1200927,1157852,1151796,1109482,1071491,1031709,990953,923448,869535,807430,766462,703551,637827,579745,533011,497039,507908,510144,Upgrade
35,Comprehensive Income & Other,-56530,-2033,-2033,-2033,-2033,-2033,-2033,-2033,-2033,-2033,-2033,-2033,-2033,-2033,-2033,-2033,-2033,-2033,-2033,-2033,Upgrade
36,Total Common Equity,2221996,2222237,2181427,2138353,2132297,2089983,2051991,2012209,1971453,1903948,1850035,1787931,1746963,1684052,1618327,1560245,1513512,1477540,1488408,1490645,Upgrade
37,Minority Interest,124020,120757,118913,116292,115919,113821,114156,111505,107995,103711,100530,97099,95213,91148,87702,83994,96928,211034,213510,210193,Upgrade
38,Shareholders' Equity,2346016,2342994,2300340,2254645,2248215,2203804,2166147,2123714,2079448,2007660,1950566,1885030,1842176,1775200,1706029,1644239,1610440,1688574,1701918,1700838,Upgrade
39,Total Liabilities & Equity,3054520,2935876,2901115,2868678,2859794,2817463,2771328,2784035,2777582,2801845,2789654,2684191,2763057,2613155,2390614,2339223,2307213,2447470,2277218,2275457,Upgrade
40,Total Debt,220644,123151,115274,124192,138019,142801,160955,189979,225405,245863,268686,237232,212661,212060,182603,188501,162652,315107,142333,102801,Upgrade
41,Net Cash (Debt),367767,392717,556578,558556,430523,330837,207597,240304,134359,100161,62808,129776,108984,78395,2304,141368,73339,99426,299933,459992,Upgrade
