,Fiscal Quarter,Q3 2022,Q3 2021,Q2 2015,Q1 2015,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,+6 Quarters
,Period Ending,"Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jan '13 Jan 1, 2013","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010","Sep '10 Sep 30, 2010",+6 Quarters
0,Revenue,202960,20400,16512,16512,13408,13408,15324,13891,13783,13880,14963,12470,11473,14328,12520,14042,17500,15437,35537,14503,Upgrade
1,Revenue Growth (YoY),1413.67%,52.14%,7.75%,18.87%,-2.72%,-3.40%,2.42%,11.39%,20.14%,-3.13%,19.51%,-11.20%,-34.44%,-7.18%,-64.77%,-3.18%,40.14%,56.05%,176.36%,-3.44%,Upgrade
2,Cost of Revenue,138638,27013,13767,13767,8750,8750,9857,8222,8422,8112,10067,7641,7770,8367,7616,9918,12602,9739,27376,11357,Upgrade
3,Gross Profit,64322,-6613,2745,2745,4658,4658,5467,5668,5362,5768,4895,4829,3703,5961,4904,4124,4898,5698,8161,3146,Upgrade
4,"Selling, General & Admin",34207,15991,5063,5063,4395,4395,4122,3783,3322,3281,3647,2918,3027,3372,3992,3103,3131,3568,3070,2801,Upgrade
5,Operating Expenses,34207,15991,5063,5063,4395,4395,4122,3783,3322,3281,3647,2918,3027,3372,3992,3103,3131,3568,3070,2801,Upgrade
6,Operating Income,30114,-22604,-2318,-2318,262.86,262.86,1345,1885,2040,2487,1248,1910,675.36,2589,911.51,1021,1767,2130,5091,345.27,Upgrade
7,Interest Expense,-29125,-16528,-985.7,-985.7,-1154,-1154,-4572,-1250,-1747,-1877,-5834,-1171,-1283,-1359,-1480,-1230,-927.6,-920.52,-619.98,-309.2,Upgrade
8,Interest & Investment Income,4248,41177,25.58,25.58,6.47,6.47,-,1186,1079,1172,-,951.17,1289,995.96,727.96,721.79,694.27,681.59,592.63,658.96,Upgrade
9,Earnings From Equity Investments,-,-,450.03,450.03,-,-,-678.28,-,-1059,-,-1379,-,-,-,-,-,-,-,-,-,Upgrade
10,Currency Exchange Gain (Loss),-,-,0.11,0.11,0.21,0.21,0.32,-0.04,-0.12,-0.19,-3.49,-0.66,-0.33,-1.17,16.57,-0.72,-1.72,-1.07,9.8,-,Upgrade
11,Other Non Operating Income (Expenses),-1973,408.92,28.82,28.82,567.44,567.44,4345,-540.66,-2020,-321.91,3490,8.93,-37.18,36.46,206.05,57.52,38.67,92.19,-62.61,325.45,Upgrade
12,EBT Excluding Unusual Items,3265,2455,-2799,-2799,-317.21,-317.21,440.59,1280,-1708,1459,-2478,1699,644.38,2262,382.35,569.84,1570,1982,5011,1020,Upgrade
13,Gain (Loss) on Sale of Investments,1124,-1645,-,-,-,-,-70.27,-,-,-,-319.9,-,-,-,-67,-,-,-,-34,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,119.99,119.99,-,-,-,-,-,-,80.46,-,-,-,6.98,-23.04,-,-,191.77,-,Upgrade
15,Other Unusual Items,-,-,-,-,-,-,34.36,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Pretax Income,4389,809.38,-2679,-2679,-317.21,-317.21,404.67,1280,-1708,1459,-2718,1699,644.38,2262,322.33,546.8,1570,1982,5169,1020,Upgrade
17,Income Tax Expense,3414,-649.81,327.15,327.15,195.75,195.75,-223.93,631.75,142.79,424.56,-310.63,328.12,186.01,548.91,347.09,140.44,484.77,476.67,1793,44.31,Upgrade
18,Earnings From Continuing Operations,975.07,1459,-3006,-3006,-512.96,-512.96,628.61,648.7,-1851,1035,-2407,1370,458.37,1713,-24.76,406.36,1085,1505,3377,976.17,Upgrade
19,Minority Interest in Earnings,216.59,-914.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97.79,-97.79,-,-,Upgrade
