,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,296,317,212,221,218,243,273,334,271,260,286,Upgrade
1,Market Cap Growth,43.41%,43.41%,-2.59%,-9.18%,-20.17%,-27.27%,0.61%,28.66%,-5.20%,-17.37%,-17.62%,Upgrade
2,Enterprise Value,271,236,200,298,354,376,711,976,1084,1083,1035,Upgrade
3,Last Close Price,0.17,0.16,0.11,0.11,0.11,0.13,0.14,0.18,0.14,0.14,0.15,Upgrade
4,PE Ratio,6.22,-,1.40,1.86,3.97,-,2.98,-1.49,-,-9.40,-,Upgrade
5,Forward PE,-,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,Upgrade
6,PS Ratio,0.34,0.37,0.22,0.25,0.27,0.31,0.30,0.28,0.25,0.27,0.25,Upgrade
7,PB Ratio,0.15,0.15,0.09,0.10,0.10,0.11,0.12,0.16,0.12,0.12,0.13,Upgrade
8,P/TBV Ratio,0.18,0.18,0.11,0.13,0.12,0.13,0.14,0.18,0.14,0.13,0.15,Upgrade
9,P/FCF Ratio,6.91,-,0.87,1.45,8.08,0.59,0.68,-,1.11,-,-,Upgrade
10,P/OCF Ratio,5.68,-,0.84,1.43,3.02,0.46,0.57,0.47,0.48,-,-,Upgrade
11,PEG Ratio,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,Upgrade
12,EV/Sales Ratio,0.32,0.28,0.21,0.34,0.44,0.48,0.78,0.81,0.98,1.11,0.90,Upgrade
13,EV/EBITDA Ratio,1.18,1.03,0.79,1.46,1.73,1.65,3.13,5.96,14.30,20.54,14.79,Upgrade
14,EV/EBIT Ratio,1.62,1.42,1.05,2.08,2.39,2.41,4.52,8.15,26.95,-,19.23,Upgrade
15,EV/FCF Ratio,6.33,-,0.82,1.95,13.11,0.92,1.77,-,4.45,-,-,Upgrade
16,Debt / Equity Ratio,0.14,0.14,0.13,0.09,0.14,0.20,0.19,0.30,0.37,0.41,0.47,Upgrade
17,Debt / FCF Ratio,7.16,-,1.24,1.21,10.82,1.05,1.05,-,3.29,-,-,Upgrade
18,Return on Capital Employed (ROCE),7.72%,7.72%,8.35%,6.65%,6.89%,7.04%,6.76%,5.43%,1.80%,-,2.24%,Upgrade
19,Earnings Yield,15.87%,14.83%,71.22%,53.64%,25.16%,18.76%,33.52%,-67.28%,-77.54%,-10.64%,-19.93%,Upgrade
20,FCF Yield,14.47%,13.53%,114.88%,69.14%,12.38%,168.30%,147.39%,145.42%,89.82%,-166.29%,5.41%,Upgrade
21,Dividend Yield,13.20%,-,-,-,-,-,-,-,-,-,-,Upgrade
22,Buyback Yield / Dilution,-0.68%,-0.92%,-0.44%,-1.71%,-2.21%,-0.01%,-0.07%,-,-,-,-,Upgrade
23,Total Shareholder Return,12.52%,-0.92%,-0.44%,-1.71%,-2.21%,-0.01%,-0.07%,-,-,-,-,Upgrade
