,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,447,562,619,638,704,723,761,761,685,666,714,Upgrade
1,Market Cap Growth,-11.94%,-11.94%,-12.16%,-11.84%,-7.50%,-5.00%,11.11%,14.29%,-4.00%,4.48%,19.05%,Upgrade
2,Enterprise Value,442,549,696,621,774,592,786,570,629,482,499,Upgrade
3,Last Close Price,0.23,0.29,0.33,0.34,0.35,0.36,0.36,0.36,0.31,0.30,0.30,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-28.73,-,-,-,Upgrade
5,PS Ratio,1.12,1.40,1.25,1.06,1.06,0.93,0.86,0.83,0.88,0.90,0.88,Upgrade
6,PB Ratio,0.35,0.40,0.43,0.42,0.44,0.47,0.45,0.45,0.40,0.40,0.40,Upgrade
7,P/TBV Ratio,0.43,0.43,0.47,0.46,0.49,0.51,0.49,0.49,0.43,0.43,0.43,Upgrade
8,P/FCF Ratio,8.85,-,7.22,8.76,-23.78,-,37.70,-,-559.91,-,8.09,Upgrade
9,P/OCF Ratio,10.82,-,6.90,9.30,-40.38,-,19.77,-,26.88,-,6.73,Upgrade
10,EV/Sales Ratio,1.10,1.37,1.40,1.04,1.16,0.76,0.89,0.62,0.80,0.65,0.62,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,24.28,-,-24.23,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,492.94,-,-11.35,Upgrade
13,EV/FCF Ratio,8.75,-,8.13,8.53,-26.14,-,38.91,-,-513.88,-,5.65,Upgrade
14,Debt / Equity Ratio,0.12,0.12,0.12,0.18,0.19,0.19,0.16,0.17,0.16,0.14,0.12,Upgrade
15,Debt / FCF Ratio,3.34,-,2.09,3.72,-10.06,-,13.50,-,-224.24,-,2.49,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,0.07%,-,-2.42%,Upgrade
17,Earnings Yield,-17.60%,-14.02%,-11.08%,-8.05%,-13.36%,-9.82%,-2.71%,-3.48%,-13.75%,-40.33%,32.89%,Upgrade
18,FCF Yield,11.30%,9.00%,13.84%,11.42%,-4.21%,0.64%,2.65%,-5.39%,-0.18%,6.04%,12.36%,Upgrade
