,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,25.66,21.9,5.63,7.66,125.56,90.29,189.85,111.64,187.19,81.83,Upgrade
1,Short-Term Investments,315.47,450.39,444.4,466.64,434.95,406.65,362.58,372.06,94.2,49.18,Upgrade
2,Cash & Short-Term Investments,341.13,472.28,450.03,474.3,560.51,496.95,552.44,483.7,281.39,131.01,Upgrade
3,Cash Growth,-24.20%,-0.43%,-19.71%,-4.56%,1.46%,2.74%,96.32%,269.22%,96.03%,63.50%,Upgrade
4,Accounts Receivable,27.94,30.85,31.18,43.21,35.3,68.92,79.55,77.81,92.68,102.63,Upgrade
5,Other Receivables,7.89,8.7,3.61,4.01,7.63,4.09,4.44,45.86,32.21,19.6,Upgrade
6,Receivables,35.84,39.55,34.8,47.22,42.93,73.01,125.44,151.67,153.59,248.56,Upgrade
7,Inventory,268.37,231.98,54.21,48.34,67.59,191.2,60.66,49.99,36.16,51.4,Upgrade
8,Other Current Assets,83.24,39,42.63,60.51,42.52,61.62,-,0.08,85.46,63.26,Upgrade
9,Total Current Assets,728.57,782.8,581.66,630.36,713.55,822.78,738.54,685.44,556.6,494.22,Upgrade
10,"Property, Plant & Equipment",234.11,220.63,175.82,194.14,205,217.39,221.94,210.24,173.97,169.1,Upgrade
11,Long-Term Investments,33,34.8,149.83,43.34,43.39,44.6,38.25,40.84,31.4,140.19,Upgrade
12,Goodwill,47.56,61.59,12.52,13.06,13.57,14.21,13.94,13.91,-,-,Upgrade
13,Other Intangible Assets,14.42,22.05,6.08,6.77,7.47,8.27,8.48,8.91,0.4,0.4,Upgrade
14,Long-Term Deferred Tax Assets,5.17,5.31,5.22,5.79,-,-,-,-,-,-,Upgrade
15,Other Long-Term Assets,53.96,26.53,24.77,141.18,29.68,6.43,3.16,10.07,4,-,Upgrade
16,Total Assets,1117,1154,955.9,1035,1013,1114,1024,969.41,766.38,803.91,Upgrade
17,Accounts Payable,95.88,114.33,126.15,158.72,136.87,164.46,126.54,116.45,109.25,112.31,Upgrade
18,Accrued Expenses,3.27,5.79,1.18,6.41,0.97,8.02,2.59,11.49,6.59,6.88,Upgrade
19,Short-Term Debt,-,124.73,163.21,178.44,131.25,136.68,138.47,78.24,56.11,37.03,Upgrade
20,Current Portion of Long-Term Debt,154.43,17.08,-,-,-,-,-,-,-,-,Upgrade
21,Current Portion of Leases,0.38,0.08,0.86,1.03,0.49,0.52,2.84,3.48,1.16,0.06,Upgrade
22,Current Income Taxes Payable,-,0.01,-,-,-,7.63,10.6,13.6,7.62,19.05,Upgrade
23,Current Unearned Revenue,25.5,17.21,25.28,15.18,19.6,15.88,17.66,11.7,25.6,16.6,Upgrade
24,Other Current Liabilities,56.7,58.09,70.15,58.49,55.85,55.75,11.96,54.86,3.08,58.9,Upgrade
