,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,33851,27471,31193,35304,32043,-
1,Market Cap Growth,-22.19%,-22.19%,-2.65%,-,-,-
2,Enterprise Value,77308,63843,62248,51031,33343,-
3,Last Close Price,19.10,15.50,17.60,19.92,18.08,-
4,PE Ratio,79.39,64.42,96.18,48.66,40.98,-
5,Forward PE,32.54,24.11,19.01,13.17,13.80,-
6,PS Ratio,1.16,0.94,1.05,1.39,1.39,-
7,PB Ratio,0.90,0.54,0.61,0.73,0.68,-
8,P/TBV Ratio,0.76,0.76,0.84,0.99,0.85,-
9,P/OCF Ratio,3.72,3.72,9.76,-,13.44,-
10,PEG Ratio,0.28,0.60,0.56,0.13,-,-
11,EV/Sales Ratio,2.65,2.19,2.09,2.01,1.45,-
12,EV/EBITDA Ratio,24.83,20.94,24.84,24.02,19.56,-
13,EV/EBIT Ratio,76.69,63.32,91.95,71.22,48.15,-
14,Debt / Equity Ratio,0.79,0.79,0.63,0.60,0.43,0.21
15,Return on Capital Employed (ROCE),1.24%,1.24%,0.90%,0.99%,1.06%,-
16,Earnings Yield,1.26%,1.55%,1.04%,2.06%,2.44%,-
17,FCF Yield,-22.51%,-27.74%,-59.57%,-100.83%,-99.40%,-
18,Buyback Yield / Dilution,-4.13%,-,-8.61%,-17.65%,-,-
19,Total Shareholder Return,-4.13%,-,-8.61%,-17.65%,-,-
