,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,12469,14711,12295,11208,9167
1,Revenue Growth (YoY),1.42%,31.26%,34.12%,-,-
2,Cost of Revenue,10648,12912,11446,10190,8350
3,Gross Profit,1822,1799,848.48,1018,817.34
4,"Selling, General & Admin",722.5,598.02,420.89,509.7,369.54
5,Research & Development,542.23,821.39,170.57,459.48,205.28
6,Other Operating Expenses,-74.49,1.08,-39.88,-334.9,23.12
7,Operating Expenses,1221,1461,572.2,631.36,591.55
8,Operating Income,600.14,338.24,276.28,386.82,225.79
9,Interest Expense,-297.54,-192.15,-138.29,-51.48,-13.74
10,Interest & Investment Income,72.27,57.76,77.69,85.81,98.44
11,Earnings From Equity Investments,-0.11,-0.14,-0.02,-0.43,-0.39
12,Currency Exchange Gain (Loss),-5.86,-9.51,41.07,-53.58,9.99
13,Other Non Operating Income (Expenses),0.62,0.51,0.37,-2.83,-0.33
14,EBT Excluding Unusual Items,369.53,194.71,257.1,364.31,319.76
15,Gain (Loss) on Sale of Investments,-8.68,2.06,-32,-29.35,-9.43
16,Gain (Loss) on Sale of Assets,-0.57,-0.16,0.16,0.64,-0.02
17,Legal Settlements,-,8.4,-,-,-
18,Other Unusual Items,-,1.33,0.23,-,-1.13
19,Pretax Income,361.12,207.14,226.47,336.27,309.36
20,Income Tax Expense,-56.18,36.46,-40.02,-191.58,143.67
21,Earnings From Continuing Operations,417.31,170.68,266.49,527.84,165.7
22,Minority Interest in Earnings,-168.32,-22.82,-119.97,-2.94,1.02
23,Net Income,248.99,147.86,146.52,524.91,166.72
24,Net Income to Common,248.99,147.86,146.52,524.91,166.72
25,Net Income Growth,69.94%,-71.83%,-12.12%,-,-
26,Shares Outstanding (Basic),1772,1772,1772,1632,1506
27,Shares Outstanding (Diluted),1772,1772,1772,1632,1506
28,Shares Change (YoY),-,8.61%,17.65%,-,-
29,EPS (Basic),0.14,0.08,0.08,0.32,0.11
30,EPS (Diluted),0.14,0.08,0.08,0.32,0.11
31,EPS Growth,69.94%,-74.07%,-25.30%,-,-
32,Free Cash Flow,-6450,-640.63,-16225,-16718,-11456
33,Free Cash Flow Per Share,-3.64,-0.36,-9.15,-10.25,-7.60
34,Operating Margin,4.81%,2.30%,2.25%,3.45%,2.46%
35,Profit Margin,2.00%,1.01%,1.19%,4.68%,1.82%
36,Free Cash Flow Margin,-51.73%,-4.35%,-131.97%,-149.17%,-124.96%
37,EBITDA,1632,1205,1069,896.66,611.47
38,D&A For EBITDA,1032,867.15,792.98,509.84,385.68
39,EBIT,600.14,338.24,276.28,386.82,225.79
