,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,8996,7834,8445,10932,-
1,Short-Term Investments,702.23,104.93,167.59,101.43,-
2,Trading Asset Securities,-,38.75,-,75.66,-
3,Cash & Short-Term Investments,9698,7978,8612,11109,6372
4,Cash Growth,12.61%,-28.19%,35.15%,-,-
5,Accounts Receivable,8725,7062,6222,6287,-
6,Other Receivables,5542,7187,5935,4496,-
7,Receivables,14267,14249,12157,10783,-
8,Inventory,4582,7126,10005,11822,-
9,Restricted Cash,0.3,0.27,0.26,0.3,-
10,Other Current Assets,3436,2758,2679,3645,-
11,Total Current Assets,31983,32111,33453,37359,-
12,"Property, Plant & Equipment",75027,69481,62325,47146,-
13,Long-Term Investments,773.82,655.46,749.99,686.92,-
14,Other Intangible Assets,1400,1015,1369,894.78,-
15,Long-Term Deferred Tax Assets,707.08,568.1,566.61,582.38,-
16,Long-Term Deferred Charges,-,342.78,-,478.5,-
17,Other Long-Term Assets,1372,1255,1816,3313,-
18,Total Assets,111263,105429,100281,90461,-
19,Accounts Payable,17847,19959,18012,21647,-
20,Accrued Expenses,6426,699.28,9000,742.68,-
21,Current Portion of Long-Term Debt,10801,8115,5829,2480,-
22,Current Portion of Leases,24.34,17.04,26.42,23.97,-
23,Current Income Taxes Payable,19.19,75.73,30.7,63.37,-
24,Current Unearned Revenue,183.26,616.96,283.01,490.53,-
25,Other Current Liabilities,459.11,7339,50.11,7328,-
26,Total Current Liabilities,35761,36821,33232,32775,-
27,Long-Term Debt,26714,21056,21015,15228,-
28,Long-Term Leases,70.31,65.77,76.86,92.45,-
29,Long-Term Unearned Revenue,251.45,192.85,337.5,679.25,-
30,Long-Term Deferred Tax Liabilities,9.22,11.95,8.1,110.67,-
31,Other Long-Term Liabilities,1089,895.29,705.81,-,-
32,Total Liabilities,63894,59043,55375,48885,-
33,Common Stock,1772,1772,1772,1772,-
34,Retained Earnings,946.27,714.8,575.37,434,-
35,Comprehensive Income & Other,32117,32159,32152,32173,-
36,Total Common Equity,34836,34646,34500,34379,22685
37,Minority Interest,12533,11740,10406,7196,-
38,Shareholders' Equity,47369,46386,44906,41575,24879
39,Total Liabilities & Equity,111263,105429,100281,90461,-
40,Total Debt,37610,29254,26947,17824,5230
41,Net Cash (Debt),-27912,-21276,-18335,-6715,1142
42,Net Cash Per Share,-15.75,-12.00,-10.35,-4.12,0.76
43,Filing Date Shares Outstanding,1772,1772,1772,1772,1506
44,Total Common Shares Outstanding,1772,1772,1772,1772,1506
45,Working Capital,-3778,-4710,221.61,4584,-
46,Book Value Per Share,19.66,19.55,19.47,19.40,12.80
47,Tangible Book Value,33436,33631,33130,33485,21833
48,Tangible Book Value Per Share,18.87,18.98,18.69,18.89,12.32
49,Buildings,-,11296,-,9895,-
50,Machinery,-,12344,-,6434,-
51,Construction In Progress,-,46211,-,30106,-
52,Leasehold Improvements,-,178.89,-,84.24,-
