,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,109199,47909,124993,159532,252882,306121,390943,603085,419914,185713,127705
1,Market Cap Growth,-69.97%,-69.97%,-50.57%,-47.89%,-35.31%,-49.24%,-6.90%,224.74%,228.82%,113.76%,107.71%
2,Enterprise Value,108151,44608,122776,155997,247673,298261,380146,597368,418224,180743,124541
3,Last Close Price,26.65,11.54,29.60,37.55,59.85,71.80,92.55,142.30,102.80,47.27,32.88
4,PE Ratio,41.34,16.94,33.37,35.56,50.61,64.03,93.99,179.42,209.36,130.22,112.60
5,Forward PE,24.48,10.17,22.71,24.77,37.41,52.70,77.91,174.38,168.15,109.12,80.23
6,PS Ratio,5.99,2.60,6.66,8.92,14.65,19.96,30.95,62.10,63.00,39.18,28.66
7,PB Ratio,2.53,1.00,2.58,3.78,6.18,7.37,9.74,14.93,16.92,12.29,8.85
8,P/TBV Ratio,1.15,1.15,2.96,4.14,6.78,8.07,10.56,16.02,17.69,12.98,9.37
9,P/FCF Ratio,-,-,-,116.37,-684.66,-,-103.52,-,-,-,-
10,P/OCF Ratio,13.85,34.24,-,21.60,40.37,63.88,92.82,223.00,187.95,119.47,94.50
11,PEG Ratio,2.64,0.55,1.39,0.80,1.03,1.45,1.99,4.56,3.92,3.77,1.75
12,EV/Sales Ratio,5.88,2.43,6.54,8.72,14.35,19.45,30.10,61.51,62.75,38.13,27.95
13,EV/EBITDA Ratio,21.26,8.76,21.77,28.76,43.22,55.36,85.50,157.38,198.82,142.39,97.54
14,EV/EBIT Ratio,29.17,12.03,28.34,34.63,50.36,63.44,97.69,178.15,234.41,178.80,117.44
15,EV/FCF Ratio,-322.63,-,-,113.79,-670.56,-,-100.66,-,-,-,-
16,Debt / Equity Ratio,0.10,0.10,0.10,0.14,0.12,0.12,0.13,0.14,0.16,0.27,0.17
17,Debt / FCF Ratio,-,-,-,4.21,-13.53,-,-1.40,-,-,-,-
18,Return on Capital Employed (ROCE),7.00%,7.00%,8.04%,9.47%,10.81%,10.43%,8.86%,7.31%,6.14%,5.25%,6.44%
19,Earnings Yield,2.59%,5.90%,3.00%,2.81%,1.98%,1.56%,1.06%,0.56%,0.48%,0.77%,0.89%
20,FCF Yield,-0.31%,-1.27%,-,0.86%,-0.15%,-0.39%,-0.97%,-0.98%,-1.17%,-2.34%,-1.75%
21,Buyback Yield / Dilution,1.28%,2.16%,0.40%,0.83%,1.58%,0.49%,-3.81%,-6.33%,-6.66%,-3.94%,-0.54%
22,Total Shareholder Return,1.28%,2.16%,0.40%,0.83%,1.58%,0.49%,-3.81%,-6.33%,-6.66%,-3.94%,-0.54%
