,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,623,672,432,619,1494,4257,5016,6111,6008,2098,3014,Upgrade
1,Market Cap Growth,8.68%,8.68%,-71.09%,-85.46%,-70.21%,-30.34%,-16.52%,191.28%,99.37%,-63.33%,-46.44%,Upgrade
2,Enterprise Value,4058,3907,6055,7959,10049,14831,24649,43544,47687,46677,54464,Upgrade
3,PE Ratio,-,-,-,-,-,-,-,-3.74,-,-26.11,-,Upgrade
4,PS Ratio,0.55,0.69,0.47,0.72,1.42,2.49,1.44,1.21,1.01,0.34,0.45,Upgrade
5,PB Ratio,0.30,0.13,0.08,0.10,0.22,0.55,0.59,0.55,0.59,0.19,0.27,Upgrade
6,P/FCF Ratio,-,-,-,0.85,2.35,-0.97,-,1.27,1.75,3.11,-2.12,Upgrade
7,P/OCF Ratio,-,-,1.00,0.68,1.05,-20.19,-,1.10,1.19,0.79,1.15,Upgrade
8,EV/Sales Ratio,4.17,4.02,6.61,9.28,9.57,8.67,7.06,8.63,7.99,7.53,8.04,Upgrade
9,EV/EBITDA Ratio,-,-,-,31.01,54.04,21.95,10.32,11.44,9.93,9.11,9.93,Upgrade
10,EV/EBIT Ratio,-,-,-,-282.04,-,-,18.35,18.26,14.97,13.38,14.94,Upgrade
11,EV/FCF Ratio,-5.15,-,-,10.91,15.83,-3.40,-,9.02,13.87,69.28,-38.31,Upgrade
12,Debt / Equity Ratio,0.11,0.11,0.11,0.55,0.76,0.77,0.95,1.46,3.42,3.44,3.75,Upgrade
13,Debt / FCF Ratio,-,-,-,4.77,8.04,-1.36,-,3.37,10.07,56.97,-29.43,Upgrade
14,Return on Capital Employed (ROCE),-,-,-,-0.33%,-,-,8.92%,11.40%,12.44%,10.32%,9.23%,Upgrade
15,Earnings Yield,-193.73%,-179.60%,-297.29%,-208.67%,-112.92%,-37.34%,-19.34%,-26.72%,-27.05%,-3.83%,10.94%,Upgrade
16,Earnings Yield,-193.73%,-179.60%,-297.29%,-208.67%,-112.92%,-37.34%,-19.34%,-26.72%,-27.05%,-3.83%,10.94%,Upgrade
17,FCF Yield,-126.52%,-117.30%,-31.31%,117.87%,42.49%,-102.61%,-57.70%,79.00%,57.23%,32.11%,-47.18%,Upgrade
18,Buyback Yield / Dilution,-3.76%,-5.71%,-1.77%,-10.80%,-9.94%,-2.14%,-9.41%,-8.17%,-,-,4.29%,Upgrade
19,Total Shareholder Return,-3.76%,-5.71%,-1.77%,-10.80%,-9.94%,-2.14%,-9.41%,-8.17%,-,-,4.29%,Upgrade
